Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	PD-L1
TCGA-D7-A74A-01A-11R-A32D-31	0	0.010575707	0.087510944	0.177472631	0	0.272330873	0.052256418	0.035299059	0.086417743	0	0	0.025007544	0.006350878	0.005918362	0.067376655	0.083151119	0.061750379	0.02226537	0	0.006316317	0	0	0.455484884
TCGA-CG-4441-01A-01R-1802-13	0.040106024	0	0.05370329	0.036757924	0	0.184618746	0.024776612	8.04E-05	0.036831568	0	0	0.042413636	0	0.22754564	0.076001629	0.140131631	0	0	0	0.058977439	0	0.078055439	1.381769289
TCGA-BR-8591-01A-11R-2402-13	0.038879939	0	0.063865197	0.038498531	0	0.129971882	0.021204488	0.047649855	0.079117141	0.004494174	0	0.06466627	0	0.223431282	0.135154071	0.112120169	0	0	0	0.029136485	0	0.011810516	2.036057197
TCGA-VQ-A91E-01A-31R-A414-31	0.072290722	0	0.198233023	0.126911913	0	0.267752338	0.100941205	0.02703981	0.017562201	0	0.026902725	0	0.004835257	0.037431185	0.035100233	0.043215004	0	0.002823103	0	0.026586206	0	0.012375075	1.340895761
TCGA-D7-A6F0-01A-11R-A31P-31	0.017372687	0	0.080809829	0.091291134	0	0.160543165	0.03006027	0.035215815	0.044363876	0	0	0.045910423	0	0.167950103	0.084757263	0.162702494	0.052025772	0	0.026997171	0	0	0	1.229974033
TCGA-IN-A6RI-01A-11R-A32D-31	0.12357033	0	0.054114351	0.002476983	0	0.190832659	0	0.037383511	0.083679055	0	0	0.005988137	0	0.235902388	0.011358366	0.112240271	0	0.052687987	0	0.077017305	0	0.012748658	0.403989118
TCGA-B7-A5TI-01A-11R-A31P-31	0.059930486	0	0.101870181	0.102845658	0	0.124088351	0.044275508	0.038091965	0.086016325	0	0	2.74E-05	0	0.110773235	0.130916031	0.121926106	0.029934567	0	0.049304172	0	0	0	0.527346536
TCGA-BR-A4J6-01A-11R-A251-31	0.04800965	0	0.396256815	0.094604291	0	0.221121236	0.024260253	0.0014682	0.036309749	0	0	0.023533189	0.006101996	0.008426628	0.008865369	0.070663317	0.017239361	0.021044223	0.022095723	0	0	0	0.331776173
TCGA-FP-7829-01A-11R-2055-13	0.023966454	0	0	0	0	0.257055078	0	0.020551227	0.065505231	0	0.042512845	0	0	0.360963179	0.006275677	0.133428784	0.01780599	0	0	0.050254401	0	0.021681134	0.308919147
TCGA-VQ-A8E7-01B-11R-A414-31	0.048263571	0	0.036667802	0.043865386	0	0.27555209	0.04146712	0.011353835	0.024257201	0	0.065877892	0	0	0.16278768	0.080424325	0.127315503	0	0.003019573	0.052597835	0.008527482	0	0.018022706	0.483556867
TCGA-VQ-AA6K-01A-11R-A414-31	0.061367393	0	0.116345059	0.183232489	0	0.222821551	0.101801453	0.012784542	0.025623074	0	0.000830783	0.015315325	0.004793784	0.082298601	0.041579641	0.075919972	0.023155706	0.004272506	0.027112712	0.000745411	0	0	0.849277519
TCGA-RD-A8N0-01A-12R-A36D-31	0.02753782	0.191222959	0.113631679	0.17373172	0	0.161183195	0.006454189	0.053189968	0.09199056	0	0	0.026076992	0.002762227	0.01620717	0.028837729	0.037658835	0.013868532	0.00815659	0.047489836	0	0	0	1.852079998
