"","log2FC","t","B","PValue","FDR"
"GUCY2C",-2.90323326712943,-7.85658321365491,19.1792207768026,4.58545728244573e-13,3.16266928254623e-11
"UGT1A8",-3.18927464187273,-7.67277068209752,18.136458146186,1.33063831696127e-12,8.46017241327919e-11
"CXXC4",-1.86769757696367,-7.54598580205812,17.424019701913,2.7563266672889e-12,1.66741522229186e-10
"SMIM32",-3.81007986241476,-7.47029398796342,17.001434573897,4.24612969158708e-12,2.49639173042435e-10
"AQP7",-1.85531024645982,-7.25259766997954,15.7979440686731,1.45456009608109e-11,7.90851212128323e-10
"TM4SF20",-3.88961089324885,-7.12501280405127,15.1011414460319,2.96858232101243e-11,1.54516688863578e-09
"KCNK15",-2.81169787509776,-7.0921001900075,14.9224463652673,3.56474681507714e-11,1.81198679904924e-09
"RETREG1",-1.57703747944552,-7.08990494291074,14.9105431689396,3.60847223873029e-11,1.82944856176043e-09
"FABP1",-4.37811755583908,-6.66711529810358,12.6559636007051,3.64062280247131e-10,1.55495222060038e-08
"FUT6",-2.95888589691722,-6.6302761733143,12.4632242382099,4.43703419575315e-10,1.8745989278551e-08
"TRHDE",-2.22540464446337,-6.58888391172605,12.2474018109247,5.53758126457624e-10,2.29974571709071e-08
"CRYM",-1.69943581101073,-6.47398777395417,11.6524831029668,1.02020957991453e-09,4.07228441520486e-08
"C1orf115",-1.41887784146086,-6.45473073557887,11.5533789412171,1.12956964473685e-09,4.48131501943467e-08
"HMGCS2",-3.53848583526536,-6.45102796452756,11.5343432235853,1.15188194404573e-09,4.56056463809912e-08
"MUC20",-1.99739564442704,-6.45024728181164,11.5303306139565,1.1566412541778e-09,4.57013778143653e-08
"PLA2G4F",-2.05113412822621,-6.44144095181208,11.4850872911795,1.2116857432994e-09,4.76832540795585e-08
"NPC1L1",-2.84724719065034,-6.43223793452269,11.4378454489441,1.27196265537512e-09,4.9954605775185e-08
"CLDN3",-2.76302541008519,-6.35826952494635,11.0596199221031,1.87638406971848e-09,7.28134009082207e-08
"RXFP4",-2.05317754762939,-6.34432699487105,10.9886233879178,2.01848081595911e-09,7.77095208021811e-08
"NR1I2",-2.73942657668832,-6.25225600928603,10.5221823973439,3.26122036291435e-09,1.21018555634459e-07
"SLC16A9",-2.14399879516142,-6.15692639303087,10.0436775789198,5.33650148929802e-09,1.90426275264366e-07
"SOWAHA",-1.73452879882924,-6.07502909512019,9.6362794790709,8.11824470613634e-09,2.80136484697618e-07
"PLAAT1",-2.64209732672378,-6.06481125372314,9.58569296924641,8.55251770232444e-09,2.92871215845037e-07
"SEMA6A",-1.47191924259958,-6.00337241174958,9.28266661729025,1.16869214081965e-08,3.91953640836061e-07
"PPP1R14C",-2.34788368536329,-5.98616982235781,9.19817479649246,1.27503405080297e-08,4.22730426825576e-07
"PRAP1",-2.61422219700178,-5.98009072604196,9.16835412844361,1.31483660701309e-08,4.33518508991358e-07
"PPARGC1A",-1.85356249779537,-5.97682525589755,9.15234359816022,1.33671731664165e-08,4.38510677370225e-07
"C11orf53",-2.6395114457476,-5.97219972523843,9.12967436059925,1.36832327927906e-08,4.47375244359262e-07
"SPINK4",-3.38507698276296,-5.96022265240661,9.07102858471652,1.45360500487675e-08,4.71310898508128e-07
"FMO5",-1.41223155401537,-5.95396260038572,9.04040646410491,1.50023026650667e-08,4.8481779092622e-07
"MYO7B",-2.11736488604344,-5.93328126420507,8.93938816607697,1.6649265100185e-08,5.31877259395272e-07
"CHP2",-3.5562424110138,-5.92786161335096,8.91295346319992,1.71093703031621e-08,5.45682678018662e-07
"AKR1C4",-2.35104295631791,-5.90906740428758,8.82140502235639,1.88034905191072e-08,5.96789156816997e-07
"CCDC181",-1.10511595674948,-5.87291095212568,8.64581629613014,2.25372804398391e-08,7.08381927383607e-07
"KCNJ3",-2.63625822875225,-5.86197683481999,8.59285503421745,2.38030382586418e-08,7.43378406032686e-07
"MEP1A",-2.9155135716917,-5.83149303486703,8.4455435961798,2.77109080364818e-08,8.57017488401287e-07
"VIPR1",-1.41463547181501,-5.8276654905836,8.42708286971929,2.82439335593695e-08,8.68178486843044e-07
"IYD",-2.08577884631958,-5.8119797306822,8.3515119489887,3.05351543265534e-08,9.31274495781242e-07
"TRPC7",-2.25989704938771,-5.8115603051776,8.34949308359873,3.05988527082192e-08,9.31761319831093e-07
"TMEM229A",-2.89847605216875,-5.80618626233989,8.32363414615916,3.14266112142115e-08,9.55476673349213e-07
"SLC39A5",-2.12572603796137,-5.79635420587797,8.27636497140248,3.29981340908319e-08,9.97392201855083e-07
"USP2",-1.32390271357098,-5.79628386165556,8.27602697127027,3.30096502074073e-08,9.97392201855083e-07
"WFDC2",-2.57614050141254,-5.76741621638571,8.13754906663779,3.80832276807349e-08,1.13661547568848e-06
"HGD",-1.65696702312641,-5.76405371556612,8.12144901772415,3.87216552792317e-08,1.15214632529775e-06
"SLC17A4",-3.09691646099941,-5.74993058549996,8.05389403601603,4.15194514512526e-08,1.22976960982853e-06
"MAB21L3",-2.33678187951213,-5.73806730045237,7.9972338794249,4.40216082989112e-08,1.29993611556195e-06
"TFF3",-2.42936170825806,-5.72942632545208,7.95601293730415,4.59363769993702e-08,1.35034961242576e-06
"EFHC2",-1.49782583795189,-5.7245709283911,7.9328689453494,4.70477917840574e-08,1.38094112456093e-06
"ALG1L",-1.81261191346031,-5.7217198040791,7.91928473953858,4.77126333697608e-08,1.39208204894523e-06
"B3GNT7",-1.38345017376797,-5.65953201819347,7.62412126304827,6.47272599615204e-08,1.84979705298524e-06
"SLC34A2",-2.83421587630604,-5.6555663023931,7.60537236976128,6.59938112116373e-08,1.87904071824499e-06
"ALPI",-3.00435023777927,-5.64404231099631,7.55094027370957,6.98133283779167e-08,1.97777410247976e-06
"REEP6",-1.4167469817382,-5.62736613173383,7.47230553696533,7.57256122959536e-08,2.12981012450248e-06
