,log2FC,t,B,PValue,FDR,,,NKG7
NKG7,3.001600132,17.00039014,76.17803501,2.87E-38,5.60E-34,,,GBP1
GBP1,2.315437201,16.79464417,74.9165937,1.04E-37,8.80E-34,,,GBP4
GBP4,2.954493697,16.75266374,74.65866428,1.35E-37,8.80E-34,,,CD8A
CD8A,3.193844161,16.56619217,73.51078592,4.36E-37,2.13E-33,,,PRF1
PRF1,2.647461931,16.48108371,72.98570596,7.45E-37,2.91E-33,,,GZMB
GZMB,3.083354518,16.22017154,71.37154447,3.87E-36,1.26E-32,,,LAG3
LAG3,2.799702121,16.10840245,70.6780678,7.84E-36,2.19E-32,,,GBP5
GBP5,3.436111416,16.0671436,70.42177846,1.02E-35,2.49E-32,,,IRF1
IRF1,1.768763734,15.91984056,69.5054877,2.59E-35,5.62E-32,,,GZMH
GZMH,3.16428727,15.84961332,69.06794917,4.05E-35,7.90E-32,,,CD274
CD274,2.697708484,15.78625932,68.67285583,6.06E-35,1.07E-31,,,ZNF683
ZNF683,3.594249775,15.32299915,65.77341851,1.16E-33,1.89E-30,,,CXCL9
CXCL9,3.760885898,15.14670301,64.66547085,3.60E-33,5.40E-30,,,FASLG
FASLG,3.098902917,15.09532168,64.3421167,5.00E-33,6.97E-30,,,CCL5
CCL5,2.836897494,14.88022812,62.98640491,1.99E-32,2.59E-29,,,IDO1
IDO1,4.40854516,14.74794661,62.15105197,4.65E-32,5.43E-29,,,IL2RB
IL2RB,2.32522054,14.74552002,62.13571725,4.73E-32,5.43E-29,,,WARS
WARS,2.27180282,14.32602806,59.47926405,7.07E-31,7.66E-28,,,SLA2
SLA2,2.367399189,14.21731103,58.78915991,1.43E-30,1.47E-27,,,STAT1
STAT1,1.686059899,14.16208546,58.43836821,2.04E-30,1.99E-27,,,TBX21
TBX21,2.434681613,14.14962614,58.35920557,2.21E-30,2.05E-27,,,CXCL10
CXCL10,3.604937911,14.13304661,58.25385249,2.46E-30,2.18E-27,,,CXCR6
CXCR6,2.395268498,14.041397,57.67123333,4.45E-30,3.78E-27,,,PDCD1
PDCD1,2.668160315,14.00373312,57.43168843,5.68E-30,4.62E-27,,,IFNG
IFNG,3.8768194,13.97337021,57.23853133,6.91E-30,5.40E-27,,,CRTAM
CRTAM,3.181694147,13.94966782,57.08771733,8.06E-30,6.05E-27,,,GZMA
GZMA,2.776527285,13.82448847,56.29082594,1.81E-29,1.31E-26,,,JAKMIP1
JAKMIP1,2.47439929,13.78398797,56.03286316,2.36E-29,1.64E-26,,,APOBEC3H
APOBEC3H,2.5117401,13.67887283,55.36305538,4.66E-29,3.14E-26,,,CD96
CD96,2.309196366,13.33397161,53.16277016,4.37E-28,2.84E-25,,,ITGAE
ITGAE,1.306180326,13.30552068,52.98112397,5.26E-28,3.30E-25,,,IL18BP
IL18BP,1.777089793,13.30095734,52.95198739,5.42E-28,3.30E-25,,,UBE2L6
UBE2L6,1.710736404,13.07955349,51.53784666,2.28E-27,1.35E-24,,,TIGIT
TIGIT,2.371282686,13.01267235,51.11051025,3.53E-27,2.02E-24,,,APOBEC3G
APOBEC3G,2.142337473,12.97625027,50.87776885,4.47E-27,2.49E-24,,,TAP1
TAP1,1.781463822,12.91551009,50.48960225,6.63E-27,3.59E-24,,,CD2
CD2,2.294094423,12.83044378,49.94592903,1.15E-26,6.08E-24,,,CCR5
CCR5,2.344300996,12.75896536,49.48907119,1.83E-26,9.42E-24,,,SIRPG
SIRPG,2.546321473,12.74115685,49.37524521,2.06E-26,1.03E-23,,,GNLY
GNLY,2.562969698,12.72993186,49.30349869,2.21E-26,1.08E-23,,,SH2D1A
SH2D1A,2.564397138,12.64811712,48.78056624,3.77E-26,1.79E-23,,,HAPLN3
HAPLN3,1.905043774,12.63946034,48.72523568,3.99E-26,1.85E-23,,,CXCL11
CXCL11,3.396355735,12.61225495,48.55135169,4.76E-26,2.16E-23,,,GPR171
GPR171,2.394481572,12.58435066,48.37300392,5.71E-26,2.53E-23,,,LAP3
