,I,II,III,IV
HALLMARK_PANCREAS_BETA_CELLS,-0.056530589,0.098995578,0.008026835,0.062437078
HALLMARK_BILE_ACID_METABOLISM,-0.11115002,0.037098167,-0.01411548,-0.001109325
HALLMARK_FATTY_ACID_METABOLISM,-0.079804254,0.007566962,-0.034897373,-0.027259482
HALLMARK_XENOBIOTIC_METABOLISM,-0.027353302,0.022519651,-0.010482813,-0.005778726
HALLMARK_KRAS_SIGNALING_DN,-0.033318373,0.063080696,-0.010529809,0.096739123
HALLMARK_COAGULATION,-0.031416252,0.005217559,0.041589438,0.063490481
HALLMARK_MYOGENESIS,-0.108872655,0.014934895,-0.048065472,0.083495098
HALLMARK_ESTROGEN_RESPONSE_LATE,-0.059014301,0.020693833,-0.048008906,0.003268321
HALLMARK_PEROXISOME,-0.057345557,0.003507909,-0.020999524,-0.042794213
HALLMARK_ESTROGEN_RESPONSE_EARLY,-0.071994937,0.019925156,-0.028496446,0.013619376
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,-0.05541061,-0.062889132,0.04601063,0.060631807
HALLMARK_ANGIOGENESIS,-0.062464936,-0.008887357,0.095399754,0.011243002
HALLMARK_HYPOXIA,-0.048730934,-0.047348046,0.048008385,0.019890468
HALLMARK_SPERMATOGENESIS,-0.005989328,0.034440848,0.058805629,-0.021627203
HALLMARK_HEDGEHOG_SIGNALING,-0.07136314,-0.001681999,0.039089105,0.033509351
HALLMARK_UV_RESPONSE_DN,-0.101179849,-0.031704891,0.015400875,-0.016025604
