	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalues	rank	leading_edge	core_enrichment
HALLMARK_PANCREAS_BETA_CELLS	HALLMARK_PANCREAS_BETA_CELLS	HALLMARK_PANCREAS_BETA_CELLS	40	-0.682167148214283	-1.89738536592437	0.00120627261761158	0.0150784077201448	0.00888832455082217	3177	tags=50%, list=16%, signal=42%	PCSK2/ABCC8/PKLR/STXBP1/SYT13/FOXA2/GCG/NEUROG3/NKX6-1/DCX/NEUROD1/PCSK1/SCGN/INSM1/NKX2-2/PAX4/SST/CHGA/DPP4
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	200	-0.556561468901678	-1.82081458470832	0.00101936799184506	0.0150784077201448	0.00888832455082217	4973	tags=55%, list=25%, signal=41%	DAB2/MMP14/QSOX1/BDNF/ITGB1/APLP1/P3H1/IGFBP4/EDIL3/LOX/FBN1/MAGEE1/CTHRC1/NTM/COL4A1/THY1/MXRA5/AREG/LAMC2/COL1A1/FSTL1/MSX1/COL5A1/LAMA1/SGCD/GREM1/SNAI2/SGCB/VCAN/CAP2/SERPINE1/ITGB3/ITGA5/ECM1/CALU/COMP/COL5A3/GEM/PCOLCE/OXTR/FBLN2/TPM2/COL6A3/THBS1/LRP1/MEST/CADM1/LOXL2/SPARC/HTRA1/DST/PTHLH/COL1A2/FMOD/PRRX1/GAS1/FBLN1/TFPI2/LAMA2/ENO2/LUM/FERMT2/SLIT3/LAMC1/FN1/FAP/RGS4/THBS2/GJA1/PDLIM4/COL3A1/CCN1/NID2/CDH6/FBN2/POSTN/DCN/INHBA/SCG2/MMP2/TGFBI/SERPINE2/ADAM12/SNTB1/COL5A2/CDH2/NT5E/MATN2/COL12A1/SPOCK1/COL7A1/LRRC15/CXCL1/WNT5A/PLOD2/PTX3/PFN2/ANPEP/SLC6A8/SPP1/SGCG/MMP1/IL6/TNFRSF11B/CXCL6/CXCL8/MMP3/PRSS2
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS	36	-0.607772063077538	-1.67372493431344	0.0024390243902439	0.024390243902439	0.0143774069319641	4009	tags=58%, list=21%, signal=46%	FGFR1/FSTL1/MSX1/OLR1/VCAN/STC1/SLCO2A1/APOH/PGLYRP1/LUM/THBD/COL3A1/POSTN/PRG2/COL5A2/LPL/SERPINA5/SPP1/PF4/CXCL6
HALLMARK_COAGULATION	HALLMARK_COAGULATION	HALLMARK_COAGULATION	138	-0.512782077124038	-1.64051654342761	0.00104712041884817	0.0150784077201448	0.00888832455082217	3924	tags=38%, list=20%, signal=31%	CPQ/C8B/SERPINE1/ITGB3/C9/COMP/CPN1/SERPINB2/KLF7/HNF4A/PLG/ANG/THBS1/LRP1/F3/CD9/SPARC/HTRA1/TFPI2/CTSV/FN1/CTSK/THBD/PLAU/CPB2/LEFTY2/MMP2/F12/GNG12/GP9/F2/ACOX2/ITIH1/PROS1/MMP9/GDA/PROC/HPN/F11/RGN/F13B/APOC3/F10/MMP1/SERPINA1/HMGCS2/MMP10/DPP4/PF4/MEP1A/MMP8/MMP3
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA	HALLMARK_HYPOXIA	199	-0.483103414112254	-1.57955471553728	0.00101936799184506	0.0150784077201448	0.00888832455082217	4382	tags=36%, list=22%, signal=28%	NFIL3/ATP7A/HK2/DPYSL4/KLHL24/COL5A1/HDLBP/SERPINE1/ZNF292/GBE1/STC1/NCAN/P4HA1/CCN5/CP/KLF7/TPBG/AMPD3/FOS/SRPX/IER3/PGF/PGM1/F3/DUSP1/LXN/CDKN1C/PFKFB3/EFNA1/CHST3/ACKR3/PRKCA/ENO2/NDRG1/ANGPTL4/AKAP12/ADORA2B/PKLR/ALDOC/FOXO3/CCN1/SLC2A3/STC2/VLDLR/DCN/LALBA/DTNA/PPFIA4/P4HA2/CA12/TGFBI/BCAN/ALDOB/TKTL1/GPC3/PPP1R3C/KIF5A/IRS2/HOXB9/LDHC/HAS1/ADM/PLIN2/INHA/PKP1/IL6/PPARGC1A/IGFBP1/PCK1/B4GALNT2
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS	133	-0.456768375380354	-1.45564584689624	0.00420168067226891	0.0350140056022409	0.020639834881321	3332	tags=30%, list=17%, signal=25%	PACRG/HSPA2/CRISP2/NPHP1/CCNA1/PDHA2/TULP2/GSG1/ZPBP/HBZ/NOS1/MLF1/GSTM3/ACRBP/ZC2HC1C/GRM8/ADAM2/DMRT1/TKTL1/SCG5/HTR5A/PGK2/HOXB1/SLC12A2/THEG/ALOX15/TCP11/ODF1/LDHC/PAPOLB/MEP1B/YBX2/CLGN/IL13RA2/PCSK1N/TEKT2/TUBA3C/CST8/MTNR1A
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING	36	-0.505738390830743	-1.39273751854728	0.0621951219512195	0.129573170731707	0.0763799743260591	6624	tags=64%, list=34%, signal=42%	RTN1/CNTFR/L1CAM/NF1/HEY1/NRP1/UNC5C/CELSR1/ETS2/THY1/SLIT1/CRMP1/PLG/CDK6/PTCH1/VLDLR/ACHE/ADGRG1/SCG2/OPHN1/NKX6-1/NRCAM
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	112	-0.436458982412654	-1.37359427092479	0.0178947368421053	0.0813397129186603	0.0479476202467892	4914	tags=39%, list=25%, signal=30%	SLCO1A2/FADS2/PEX11A/PFKM/PNPLA8/DIO2/SLC35B2/AMACR/PEX1/SLC29A1/CYP46A1/ACSL1/MLYCD/BMP6/NR3C2/EFHC1/HSD17B11/PHYH/TTR/PEX6/ABCA5/AR/CYP7B1/FADS1/ABCG4/SOAT2/PIPOX/NEDD4/GC/ABCA4/CYP7A1/CYP27A1/AKR1D1/CYP39A1/TFCP2L1/BBOX1/SERPINA6/AGXT/NR1I2/AQP9/HSD3B1/NR0B2/ABCG8
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS	199	-0.408616738635197	-1.33601311335116	0.0142711518858308	0.0713557594291539	0.0420623424003434	5110	tags=39%, list=26%, signal=29%	APOD/CACNA1H/SSPN/MYLK/NCAM1/FST/APP/DMD/ITGB1/CTF1/PFKM/COL15A1/RIT1/CD36/AEBP1/SPEG/TNNC1/TNNI1/CKM/APLNR/CASQ2/COL1A1/EFS/WWTR1/ACSL1/SGCD/EPHB3/MYOZ1/CSRP3/CAMK2B/MEF2A/ITGA7/HDAC5/MYH8/TPM2/COL6A3/SORBS1/NAV2/SPARC/PTP4A3/MYOM1/LAMA2/CKMT2/SCHIP1/BDKRB2/MYH2/COL3A1/HBEGF/FKBP1B/STC2/ACHE/NOS1/MB/DTNA/CRAT/ACTN3/PPFIA4/VIPR1/ADAM12/CHRNA1/CDH13/MAPRE3/MYOG/PPP1R3C/CAV3/MYBPC3/MYL3/KCNH1/KCNH2/TPD52L1/REEP1/MYH1/SLC6A8/TNNC2/SGCG/MYH4/SLN
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN	143	-0.412905064775089	-1.32163661230506	0.0261780104712042	0.100684655658478	0.059350954914471	5544	tags=48%, list=28%, signal=35%	ANXA4/PMP22/NEK7/SLC7A1/APBB2/SYNJ2/ABCC1/BMPR1A/SLC22A18/SIPA1L1/ADD3/MAP1B/LTBP1/ACVR2A/COL11A1/NRP1/TGFBR3/RND3/PDGFRB/SFMBT1/DAB2/PTPRM/BDNF/CAV1/CDON/PRKCE/SDC2/TOGARAM1/PLPP3/COL1A1/CACNA1A/MAPK14/SNAI2/CAP2/SERPINE1/ITGB3/DLC1/AMPH/BCKDHB/TFPI/GCNT1/IRS1/F3/AKT3/DUSP1/COL1A2/PRKCA/SCHIP1/LAMC1/MGLL/ADORA2B/ICA1/RGS4/CDC42BPA/MAGI2/GJA1/HAS2/COL3A1/CCN1/VLDLR/PLCB4/LPAR1/COL5A2/ADGRL2/MMP16/PTGFR/KIT/SCN8A
