	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalues	rank	leading_edge	core_enrichment
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	199	0.831331882833487	3.19732689642297	0.0031055900621118	0.00919117647058824	0.0048374613003096	1646	tags=67%, list=8%, signal=62%	IDO1/CXCL9/CXCL10/CXCL11/GBP4/CCL5/GZMA/CD274/KLRK1/IL2RB/HLA-DQA1/WARS/SLAMF7/CD38/CIITA/GBP6/BATF2/SAMD9L/FCGR1A/ITGB7/TAP1/IL18BP/HLA-DRB1/IRF1/IRF4/CD74/UBE2L6/STAT1/IFIT3/PSMB9/ZBP1/IFI44L/IL10RA/EPSTI1/NLRC5/CD69/OAS2/ICAM1/CCL7/STAT4/HLA-DMA/CD86/LCP2/CMKLR1/SECTM1/FGL2/GPR18/BST2/RSAD2/IFIT2/XAF1/XCL1/LAP3/JAK2/OASL/CD40/CASP1/FAS/PSMB10/PARP14/APOL6/IFI44/SERPING1/FPR1/VCAM1/ST8SIA4/SOCS1/TNFSF10/CSF2RB/IFIH1/VAMP5/MX1/MARCH1/IL15/USP18/TNFAIP2/CMPK2/RTP4/OAS3/IFI30/PSMB8/IFI35/SAMHD1/ISG20/HLA-B/TNFAIP3/PSME2/DDX60/ISG15/DHX58/B2M/IL15RA/PDE4B/IFIT1/IRF8/PML/SP110/LY6E/STAT2/DDX58/HLA-A/TRAFD1/NMI/PSME1/HERC6/TRIM21/HELZ2/IL6/CASP4/PARP12/RIPK2/C1S/TNFAIP6/C1R/TAPBP/CFH/IFITM3/ST3GAL5/MT2A/IFI27/IRF7/SLC25A28/CCL2/HLA-G/LYSMD2/IL7/IRF5/GCH1/IRF9/SOD2/CFB/PTPN6/TXNIP/TRIM14
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	200	0.819097884290476	3.14810917912245	0.00309597523219814	0.00919117647058824	0.0048374613003096	1354	tags=60%, list=7%, signal=56%	IFNG/CXCL9/CD8A/CRTAM/FASLG/GZMB/CXCL13/CCL5/CD8B/GZMA/PRF1/TRAT1/KLRD1/CCR5/IL2RB/CD96/HLA-DQA1/HLA-DOA/CD2/CCL4/WARS/ITK/CD3E/CD3D/CD3G/ZAP70/SIT1/CXCR3/ITGAL/CD247/CD7/IL2RA/PTPRC/NCR1/CCR2/IL12RB1/HLA-DRA/MAP4K1/HLA-DOB/CCL13/TAP1/IRF4/CD74/IL2/IL18RAP/IL12B/HLA-DMB/STAT1/LCK/CCL19/ITGB2/FYB1/CD80/ICAM1/CCL7/STAT4/HLA-DMA/CD79A/CD86/LCP2/CD4/WAS/CCR1/GBP2/IL10/IGSF6/GPR65/IL16/JAK2/CCL22/CD40/FAS/TAP2/HCLS1/PSMB10/SRGN/SPI1/PRKCB/CD28/IL2RG/ST8SIA4/FCGR2B/FGR/SOCS1/CD40LG/LY86/TLR1/IL15/CTSS/NLRP3/CD1D/NCF4/TLR6/MMP9/HLA-E/B2M/IRF8/C2/LTB/TNF/HLA-A/PRKCG/CCL11/IL27RA/CSF1/TLR2/IL6/ETS1/RIPK2/IL12A/IL18/TAPBP/STAB1/CD47/IRF7/CCL2/HLA-G/TLR3/IL7
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	96	0.851643172951532	2.95892175046338	0.00273224043715847	0.00919117647058824	0.0048374613003096	2303	tags=84%, list=12%, signal=75%	CXCL10/CXCL11/GBP4/WARS/BATF2/SAMD9L/TAP1/IRF1/CD74/UBE2L6/IFIT3/PSMB9/IFI44L/EPSTI1/LAMP3/BST2/GBP2/RSAD2/IFIT2/LAP3/OASL/CASP1/SELL/IFITM1/PARP14/IFI44/IFIH1/MX1/IL15/USP18/CMPK2/RTP4/IFI30/PSMB8/IFI35/ISG20/PARP9/HLA-C/PSME2/SAMD9/DDX60/ISG15/DHX58/B2M/SP110/TMEM140/LY6E/STAT2/NUB1/TRAFD1/NMI/PSME1/HERC6/CSF1/TRIM21/UBA7/HELZ2/PARP12/RIPK2/C1S/MOV10/IFITM3/CD47/IFI27/IRF7/SLC25A28/IL7/IRF9/TRIM5/TXNIP/TRIM14/LPAR6/OGFR/TRIM26/LGALS3BP/ADAR/EIF2AK2/PLSCR1/NCOA7/CNP/IRF2
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	199	0.700776097333669	2.69520550172866	0.0031055900621118	0.00919117647058824	0.0048374613003096	1899	tags=50%, list=10%, signal=45%	CXCL9/CXCL10/CXCL11/CCL5/CXCR6/IL2RB/KCNA3/LTA/CX3CL1/IRF1/CD48/TNFRSF9/IL18RAP/IL12B/LCK/CYBB/CCR7/IL10RA/CD69/ICAM1/CCL7/LAMP3/CCL17/SLAMF1/LCP2/CMKLR1/BST2/EBI3/C3AR1/OLR1/IL10/PIK3R5/RASGRP1/ADGRE1/CCL22/CD40/MEFV/SELL/IFITM1/CD70/P2RX7/MSR1/GPR132/RGS1/MARCO/FPR1/IL7R/TNFSF10/TLR1/IL15/CD14/RTP4/NOD2/NLRP3/CSF3R/PTAFR/TNFSF9/SLC31A2/AQP9/IL15RA/PDE4B/GPR183/LY6E/SPHK1/TNFRSF1B/NMI/C5AR1/CSF1/TLR2/IL6/PLAUR/RIPK2/TNFAIP6/KCNJ2/IL18/TAPBP/OSM/AXL/STAB1/CLEC5A/IRF7/CCL2/SEMA4D/TLR3/NMUR1/IL18R1/GCH1/LYN/CHST2/GNA15/MYC/SERPINE1/GP1BA/EMP3/ABCA1/HAS2/RNF144B/MXD1/PCDH7
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	199	0.660458500444177	2.54014283711084	0.0031055900621118	0.00919117647058824	0.0048374613003096	2625	tags=43%, list=13%, signal=38%	CXCL10/CXCL11/CCL5/CCL4/TAP1/IRF1/TNFRSF9/IL12B/PLEK/CD80/CD69/ICAM1/BIRC3/OLR1/IFIT2/SERPINB2/BCL2A1/DUSP2/IL7R/CSF2/IFIH1/TRAF1/TNFAIP2/EGR2/TNFAIP3/DRAM1/TNFSF9/IL15RA/PDE4B/TNFAIP8/GPR183/STAT5A/TNF/CD83/SPHK1/DDX58/CSF1/TLR2/CXCL3/IL23A/IL6/PLAUR/RNF19B/RIPK2/TNFAIP6/SAT1/IL18/SLC2A3/CCL2/KYNU/NINJ1/PLK2/SLC16A6/GCH1/SOD2/NFKB2/MYC/MAP3K8/CXCL1/SERPINE1/GFPT2/RELB/ABCA1/SOCS3/CCND1/MXD1/NFKBIE/JUNB/NR4A3/JAG1/LITAF/CXCL2/EHD1/GADD45B/CFLAR/SIK1/PLAU/SLC2A6/NFKB1/MSC/SERPINB8/PTPRE/PNRC1/DUSP5/MCL1/INHBA
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	86	0.723191424732646	2.46275788401504	0.00277008310249307	0.00919117647058824	0.0048374613003096	2048	tags=52%, list=10%, signal=47%	CXCL9/CXCL10/CXCL11/CXCL13/CD38/IL9R/IL2RA/IL12RB1/IRF1/STAT1/PLA2G2A/CCL7/CCR1/EBI3/PIK3R5/FAS/ITGA4/IL2RG/SOCS1/CSF2RB/CSF2/CSF2RA/CD14/CSF3R/IL15RA/LTB/TNF/STAT2/TNFRSF1B/CSF1/TLR2/CXCL3/IL6/HMOX1/IL7/IL18R1/IRF9/TGFB1/MAP3K8/CXCL1/SOCS3/IFNGR1/BAK1/MYD88/IL1R2
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING	198	0.616625124283218	2.36757728941143	0.003125	0.00919117647058824	0.0048374613003096	2733	tags=36%, list=14%, signal=31%	CXCL10/GBP4/EOMES/IL2RB/ICOS/CTLA4/CST7/IL2RA/CD48/IRF4/TNFRSF9/IL10RA/RHOH/TLR7/CD86/FGL2/TNFRSF18/IL10/GPR65/CCR4/ITGAE/SELL/TGM2/TNFRSF8/SOCS1/CD79B/TNFSF10/CSF2/TRAF1/TNFRSF4/GLIPR2/BATF3/BATF/IRF8/LTB/CD83/TNFRSF1B/IKZF2/CSF1/TIAM1/FLT3LG/BCL2/PRKCH/LRRC8C/IFITM3/SLC2A3/CDC42SE2/ADAM19/IL18R1/RORA/MYC/MAP3K8/RABGAP1L/CDCP1/IFNGR1/MXD1/IL13/CISH/IL1R2/BCL2L1/PLSCR1/CAPG/GADD45B/CCND2/GSTO1/CTSZ/NRP1/HK2/SYNGR2/SYT11/IKZF4
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	200	0.58936883579224	2.26517181576346	0.00309597523219814	0.00919117647058824	0.0048374613003096	5418	tags=70%, list=28%, signal=51%	LMNB1/MCM5/TK1/DUT/LIG1/MCM2/TP53/PCNA/EZH2/CDC25A/HELLS/POLD1/DNMT1/MYC/MCM4/MCM7/DCLRE1B/RNASEH2A/GINS4/MKI67/PSIP1/MCM6/H2AFX/CENPM/ASF1B/TIMELESS/AURKB/CDC25B/RRM2/PTTG1/GINS3/TMPO/POLE/NAP1L1/SLBP/USP1/MCM3/NBN/PLK4/UBE2S/NUP205/MMS22L/CKS2/SUV39H1/DLGAP5/MTHFD2/POLA2/DCK/RAD51AP1/CTPS1/TACC3/ORC6/KIF2C/BIRC5/HMGA1/RAN/CNOT9/NOLC1/RANBP1/RFC2/NASP/DIAPH3/SPC25/MELK/CDK4/DONSON/UBE2T/KIF4A/PSMC3IP/HMGB2/KIF18B/NUDT21/PHF5A/POLD3/RPA1/SMC1A/MAD2L1/E2F8/KPNA2/CIT/LYAR/BRCA1/RFC1/NUP107/PRPS1/STMN1/CDCA8/HMMR/SRSF2/BRCA2/TCF19/ESPL1/PA2G4/CHEK1/TUBB/H2AFZ/BARD1/SNRPB/ATAD2/HMGB3/TIPIN/RPA2/SPC24/KIF22/NAA38/SSRP1/RBBP7/UNG/XRCC6/BUB1B/PPM1D/ILF3/EIF2S1/TRA2B/MXD3/CDKN1A/HNRNPD/SMC4/RFC3/DCTPP1/GINS1/CSE1L/ZW10/PRIM2/PAICS/SYNCRIP/NUP153/CDK1/DDX39A/DEK/PPP1R8/MSH2/CCNB2/PRKDC/RACGAP1/EED/RPA3/EXOSC8/SHMT1/SRSF1/NOP56
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	199	0.550361805870522	2.11670770844981	0.0031055900621118	0.00919117647058824	0.0048374613003096	2318	tags=39%, list=12%, signal=34%	GZMB/GZMK/CCL5/GZMA/APOBEC3G/C1QA/C1QC/IRF1/APOC1/LCK/PSMB9/PLEK/LCP2/GNGT2/WAS/FCER1G/OLR1/PLA2G7/LAP3/JAK2/PIK3R5/GATA3/RASGRP1/DOCK10/MMP12/CASP1/CR1/SERPINB2/PIK3CG/APOBEC3F/SERPING1/SPOCK2/CD40LG/C3/FCN1/CTSS/ERAP2/ITGAM/TNFAIP3/L3MBTL4/C2/GNG2/CTSC/CTSL/CASP5/IL6/CASP4/PLAUR/C1S/LIPA/C1R/CFH/IRF7/KYNU/SH2B3/GNB4/LGMN/LYN/KIF2A/CP/CFB/CXCL1/SERPINE1/GP1BA/GCA/CTSB/CTSO/CASP7/DOCK4/CDK5R1/CALM3/FYN/PLSCR1/EHD1/CTSD/IRF2/GNAI2
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	199	0.537852056484987	2.06859484401647	0.0031055900621118	0.00919117647058824	0.0048374613003096	6898	tags=65%, list=35%, signal=42%	MCM5/DUT/MCM2/PRPS2/PCNA/CDC45/MYC/TYMS/MCM4/MCM7/PSMA4/MCM6/NPM1/CCNA2/NAP1L1/PSMA6/USP1/PSMA1/C1QBP/LDHA/EIF4A1/RFC4/CTPS1/PSMC4/RPS6/KARS/CSTF2/HNRNPA1/SNRPA/RAN/FBL/HNRNPA3/NOLC1/VDAC3/RANBP1/CDK4/CCT2/BUB3/PGK1/CUL1/RRM1/SF3B3/EIF4E/MAD2L1/PTGES3/KPNA2/G3BP1/PSMD8/HPRT1/POLE3/SRSF2/SRSF7/PSMB2/PA2G4/H2AFZ/YWHAE/HNRNPC/SSBP1/PRPF31/RACK1/UBA2/ABCE1/STARD7/HNRNPU/CCT7/XRCC6/AP3S1/SRSF3/HNRNPR/TRIM28/UBE2L3/EIF2S1/TRA2B/PHB2/HNRNPD/SET/ERH/RAD23B/SERBP1/DHX15/SYNCRIP/NCBP1/RPS2/TFDP1/CCT4/DEK/PSMD7/PSMD14/RPL18/SLC25A3/KPNB1/U2AF1/SRSF1/NOP16/NOP56/CDK2/IARS/SNRPD2/LSM2/XPOT/RNPS1/EIF2S2/CDC20/PSMC6/SRPK1/PRDX3/CAD/PWP1/HSPD1/ETF1/CLNS1A/FAM120A/RUVBL2/NHP2/SF3A1/ORC2/YWHAQ/VBP1/PPM1G/EIF4H/LSM7/ILF2/RPS5/HNRNPA2B1/RPL14/NME1/TOMM70/EIF3D/CCT5
