	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalues	rank	leading_edge	core_enrichment
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	199	0.775277578615909	3.71729496427678	0.0277777777777778	0.0549450549450549	0.0277617119722383	2075	tags=65%, list=11%, signal=59%	IDO1/CXCL11/CXCL9/CXCL10/CD274/GBP4/WARS/BATF2/GBP6/GZMA/TAP1/SLAMF7/CD38/STAT1/CIITA/IRF1/SAMD9L/NLRC5/ICAM1/IL2RB/HLA-DQA1/CCL5/JAK2/IL18BP/LAP3/IFIT3/FCGR1A/PARP14/ITGB7/OAS2/PSMB9/EPSTI1/OASL/CCL7/KLRK1/ZBP1/XAF1/UBE2L6/BST2/OAS3/CASP1/APOL6/DDX60/IFI44L/LCP2/CMKLR1/SECTM1/HLA-DRB1/RSAD2/CD40/IFI30/MX1/CD86/TNFAIP2/CD74/IFIH1/IRF4/IFI44/FAS/USP18/GCH1/TNFSF10/CMPK2/PSMB10/STAT4/GPR18/IFIT2/PSME2/HELZ2/IL10RA/PSMB8/HLA-DMA/SOCS1/RIPK2/TNFAIP3/ST8SIA4/TRAFD1/CFB/PARP12/SOD2/HERC6/VCAM1/SAMHD1/IL15RA/NMI/ISG20/DDX58/ISG15/PML/IRF8/TRIM21/IL7/B2M/IL15/STAT2/IFI35/CSF2RB/CD69/FPR1/XCL1/DHX58/MTHFD2/NAMPT/HLA-B/TRIM14/MARCH1/CASP7/PSME1/RTP4/FGL2/ZNFX1/CASP4/TNFAIP6/SP110/TAPBP/IRF9/LY6E/PFKP/TRIM25/OGFR/IRF7/TRIM26/ADAR/HLA-A/LYSMD2/MYD88/PLSCR1/IL6/IFNAR2
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	200	0.724084740363671	3.45607538179615	0.027027027027027	0.0549450549450549	0.0277617119722383	2395	tags=62%, list=12%, signal=55%	IFNG/CXCL9/WARS/GZMB/FASLG/CRTAM/GZMA/PRF1/TAP1/KLRD1/STAT1/HLA-DOA/IL18RAP/CD8A/CD80/ICAM1/IL2RB/IL2RA/HLA-DQA1/CXCL13/CCL5/JAK2/CCL4/NCR1/CCR5/MMP9/IL12RB1/NOS2/ITK/CCL7/CD96/TRAT1/TAP2/CCR1/ITGAL/CD7/CD2/CD3G/HLA-DMB/CD8B/PTPRC/HLA-DRA/CD3D/CXCR3/LCP2/ZAP70/CD40/PRKCG/CD3E/ITGB2/IGSF6/CD247/CD86/CD74/IRF4/FAS/IL10/PSMB10/FYB1/STAT4/CTSS/HLA-DOB/C2/MAP4K1/GBP2/LCK/TNF/CD4/HLA-DMA/SOCS1/RIPK2/SIT1/CCR2/GPR65/SRGN/FGR/ST8SIA4/WAS/HCLS1/IRF8/IL11/SPI1/IL7/B2M/IL15/BRCA1/CCL22/TLR2/LYN/IL2RG/CD47/CCL13/HLA-E/IL2/TRAF2/ABCE1/TAPBP/IFNGR1/TLR1/LIF/IL12B/IL18/IL16/CSF1/BCAT1/IRF7/IL12A/CD28/NCF4/NLRP3/HLA-A/GLMN/IL6/IFNAR2/TLR6/CSK/NPM1/RARS/IL27RA/PTPN6/ETS1/STAB1/HDAC9
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	96	0.816864337069466	3.45152401000695	0.00892857142857143	0.0539374325782093	0.0272525975132005	1825	tags=74%, list=9%, signal=67%	CXCL11/CXCL10/GBP4/WARS/BATF2/TAP1/IRF1/SAMD9L/LAP3/IFIT3/PARP14/PSMB9/LAMP3/EPSTI1/OASL/UBE2L6/BST2/CASP1/DDX60/IFI44L/RSAD2/IFI30/MX1/CD74/IFIH1/IFI44/SAMD9/PARP9/USP18/CMPK2/IFIT2/PSME2/HELZ2/IFITM1/GBP2/PSMB8/RIPK2/TRAFD1/PARP12/NUB1/HERC6/NMI/ISG20/ISG15/TRIM21/IL7/B2M/IL15/STAT2/IFI35/HLA-C/DHX58/TRIM14/CD47/NCOA7/PSME1/MOV10/RTP4/SP110/UBA7/IRF9/LY6E/CSF1/TRIM5/TRIM25/OGFR/IRF7/TRIM26/ADAR/SELL/TMEM140
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	200	0.686065506587439	3.27460858576508	0.027027027027027	0.0549450549450549	0.0277617119722383	4001	tags=72%, list=20%, signal=58%	CDC25A/CDC25B/MELK/EZH2/HELLS/DLGAP5/MKI67/LMNB1/KIF4A/RRM2/BUB1B/BRCA2/ESPL1/PCNA/HMMR/PLK4/ORC6/MCM2/DIAPH3/CDCA8/TIMELESS/KIF18B/GINS1/DNMT1/CKS2/RAD51AP1/E2F8/MCM4/MMS22L/MAD2L1/KIF2C/GINS4/ATAD2/LIG1/BRCA1/TFRC/DONSON/POLD1/CENPE/AURKB/GINS3/ASF1B/RFC3/MTHFD2/POLE/RACGAP1/KPNA2/NUP205/DEPDC1/TK1/SPC25/CDK1/UBE2T/NBN/DUT/BIRC5/TMPO/MCM5/CTPS1/CIT/SPAG5/MCM7/SMC4/USP1/POLA2/CENPM/TACC3/MCM6/MYBL2/HMGB3/PTTG1/MCM3/RNASEH2A/SMC1A/NOLC1/CHEK1/NUP107/TOP2A/NASP/CSE1L/AURKA/PLK1/DSCC1/TP53/PRIM2/MYC/CDKN3/MSH2/CCNB2/PSMC3IP/TIPIN/SRSF2/BARD1/CDC20/PA2G4/SLBP/DCK/NUP153/PRKDC/WDR90/LYAR/SUV39H1/TCF19/HMGA1/RAN/CHEK2/RFC1/DEK/POLD3/PSIP1/H2AFX/SYNCRIP/KIF22/SMC3/EIF2S1/EXOSC8/ZW10/DCLRE1B/RANBP1/SRSF1/PAICS/ILF3/NOP56/XPO1/SNRPB/NAP1L1/PNN/STAG1/CNOT9/SHMT1/ANP32E/DDX39A/SMC6/UBE2S/NUDT21/STMN1/H2AFZ/RAD21/TRIP13/SPC24/SSRP1/HMGB2/RFC2/PMS2
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	197	0.639486828831175	3.00945235490689	0.0277777777777778	0.0549450549450549	0.0277617119722383	3755	tags=65%, list=19%, signal=53%	POLQ/CDC25A/PBK/STIL/KNL1/CDC25B/RAD54L/CDC45/EZH2/CDC7/MKI67/LMNB1/KIF4A/E2F2/EXO1/BUB1/BRCA2/CCNA2/ESPL1/KIF15/HMMR/PLK4/ORC6/MCM2/CCNF/TTK/CENPF/PML/NDC80/TPX2/CKS2/MAD2L1/KIF2C/KIF11/CHAF1A/CENPE/AURKB/FBXO5/NUSAP1/SMC2/E2F1/CENPA/POLE/RBL1/RACGAP1/KPNA2/TRAIP/CDK1/PRC1/UBE2C/KIF20B/CCND1/BIRC5/TMPO/MCM5/GINS2/TROAP/CDC6/SMC4/POLA2/DBF4/TACC3/MCM6/SLC7A5/MYBL2/HMGB3/PTTG1/MCM3/DKC1/SMC1A/NOLC1/NSD2/CHEK1/TOP2A/NASP/NEK2/WRN/AURKA/PLK1/INCENP/PRIM2/NUP50/TOP1/MYC/MTF2/CDKN3/CCNB2/CCNT1/CDC27/SRSF2/BARD1/CDC20/FANCC/NUP98/AMD1/SUV39H1/E2F3/HMGA1/ATF5/HSPA8/CASP8AP2/H2AFX/SYNCRIP/G3BP1/KIF22/TFDP1/HIF1A/BUB3/SRSF1/ILF3/HNRNPU/PRPF4B/TENT4A/XPO1/SLC7A1/STAG1/SMARCC1/EWSR1/NCL/DDX39A/UBE2S/TNPO2/STMN1/H2AFZ/SRSF10/RAD21/E2F4/KPNB1/PRMT5
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	199	0.58719411928826	2.81547384174332	0.0277777777777778	0.0549450549450549	0.0277617119722383	6101	tags=67%, list=31%, signal=47%	CDC45/TYMS/CCNA2/PCNA/MCM2/MCM4/MAD2L1/CSTF2/RRM1/KPNA2/DUT/MCM5/CTPS1/ABCE1/PRPS2/MCM7/USP1/MCM6/PSMA4/SRPK1/PSMA6/PGK1/HSPD1/IARS/NOLC1/PSMA1/LDHA/C1QBP/DHX15/EIF4A1/MYC/NCBP1/RFC4/CCT2/SRSF2/NPM1/CDC20/PA2G4/XPOT/U2AF1/PTGES3/SF3B3/TCP1/RAN/DDX21/GNL3/HPRT1/DEK/EIF2S2/KARS/UBA2/SYNCRIP/G3BP1/HNRNPA1/TFDP1/CAD/BUB3/EIF2S1/SET/FAM120A/RANBP1/SRSF1/CCT4/CBX3/HNRNPU/HNRNPA2B1/NOP56/XPO1/STARD7/EIF4E/NAP1L1/PSMC6/HNRNPA3/PPM1G/SMARCC1/HSP90AB1/SRSF7/HNRNPR/EPRS/PSMD14/POLE3/VBP1/YWHAE/H2AFZ/TARDBP/KPNB1/NOP16/TOMM70/CUL1/VDAC3/PSMB2/SNRPD1/HNRNPC/ILF2/SRSF3/CDK2/SERBP1/NME1/VDAC1/CCT7/SNRPA/SNRPA1/ETF1/SSBP1/CCT5/TRA2B/RPS6/HNRNPD/HDAC2/XRCC6/RAD23B/PWP1/FBL/EIF3B/ORC2/PHB/CCT3/SNRPB2/PSMC4/GOT2/EIF1AX/RNPS1/EIF4G2/SLC25A3/GLO1/PSMA2/POLD2/COX5A/YWHAQ/TRIM28/DDX18/PSMD1/EXOSC7/RRP9
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	199	0.582868591822161	2.79473383595561	0.0277777777777778	0.0549450549450549	0.0277617119722383	2235	tags=46%, list=11%, signal=41%	CXCL11/CXCL9/CXCL10/CXCR6/IRF1/IL18RAP/MEFV/ICAM1/IL2RB/CCL5/CX3CL1/AQP9/LAMP3/CCL7/TNFRSF9/CYBB/BST2/LCP2/CMKLR1/ADGRE1/CXCL8/CD40/IL10/KCNA3/GCH1/TNFSF10/RASGRP1/IFITM1/CSF3R/MXD1/LCK/IL10RA/C3AR1/OSM/CCL20/KCNJ2/RIPK2/LTA/TNFSF9/FFAR2/IL15RA/PIK3R5/NMI/CD70/SLC31A2/SLAMF1/PLAUR/P2RX7/PTAFR/CD48/IL15/TNFRSF1B/CCL22/CD69/MSR1/NOD2/TLR2/LYN/FPR1/SLC31A1/NAMPT/SPHK1/IL18R1/SEMA4D/OLR1/RTP4/TNFAIP6/EBI3/MARCO/TAPBP/TLR1/LIF/CCL17/IL12B/LY6E/LDLR/IL18/CSF1/CD14/IRF7/GPR132/SELL/CLEC5A/PTPRE/NLRP3/IL7R/MYC/IL6/MET/CHST2/C5AR1/EIF2AK2
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	86	0.643191378713518	2.65920433642031	0.00775193798449612	0.0539374325782093	0.0272525975132005	2113	tags=48%, list=11%, signal=43%	CXCL11/CXCL9/CXCL10/CSF2/CD38/STAT1/IRF1/IL2RA/CXCL13/IL12RB1/CCL7/CCR1/CXCL3/IL9R/CXCL1/FAS/ITGA4/CSF3R/TNF/SOCS1/IL15RA/PIK3R5/PLA2G2A/IL7/STAT2/TNFRSF1B/CSF2RB/TLR2/MAP3K8/IL2RG/IL18R1/BAK1/EBI3/IRF9/IFNGR1/CSF1/CD14/HMOX1/MYD88/IL6/CSF2RA
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	199	0.54186011792713	2.59810672109073	0.0277777777777778	0.0549450549450549	0.0277617119722383	3168	tags=41%, list=16%, signal=35%	CXCL11/CXCL10/CSF2/TAP1/IRF1/CD80/ICAM1/CCL5/CCL4/PLEK/TNFRSF9/SERPINB2/BIRC3/CXCL3/TNFAIP2/IFIH1/BCL2A1/CXCL1/GCH1/IFIT2/MXD1/TNF/CCL20/RIPK2/RNF19B/AREG/TNFSF9/TNFAIP3/SOD2/IL15RA/SAT1/DDX58/DRAM1/SLC16A6/PLAUR/TRAF1/STAT5A/CD69/DUSP2/PLAU/TLR2/CXCL2/MAP3K8/NAMPT/SPHK1/VEGFA/OLR1/KYNU/TNFAIP6/CCND1/LIF/IL12B/LDLR/IL18/CSF1/CD83/SERPINB8/PLK2/PTPRE/NFAT5/IL7R/MYC/SLC2A3/JAG1/IL6/NFKBIE/TNFAIP8/PHLDA1/MCL1/BTG3/PDE4B/LAMB3/IFNGR2/SLC2A6/YRDC/ZC3H12A/FUT4/DUSP4/IL1B/EGR2/SERPINE1/NFKB2
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2	58	0.617626914602342	2.39767557615463	0.00584795321637427	0.0518134715025907	0.0261794382328879	4505	tags=62%, list=23%, signal=48%	HK2/PLK4/MCM4/DUSP2/RCL1/MCM5/HSPD1/NOLC1/PLK1/MYC/NIP7/MYBBP1A/NPM1/SORD/PA2G4/PPAN/FARSA/WDR43/NOP2/GNL3/SLC19A1/LAS1L/SLC29A2/PRMT3/CBX3/PPRC1/NOP56/UTP20/BYSL/TCOF1/NOP16/PUS1/SUPV3L1/GRWD1/NOC4L/RRP12
