	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalues	rank	leading_edge	core_enrichment
KEGG_NITROGEN_METABOLISM	KEGG_NITROGEN_METABOLISM	KEGG_NITROGEN_METABOLISM	23	-0.688412858605687	-1.754292863591	0.00125156445556946	0.0463078848560701	0.0360977537711613	3160	tags=48%, list=16%, signal=40%	ASNS/CPS1/HAL/CA1/CTH/CA12/CA7/CA8/CA9/CA4
KEGG_PPAR_SIGNALING_PATHWAY	KEGG_PPAR_SIGNALING_PATHWAY	KEGG_PPAR_SIGNALING_PATHWAY	69	-0.580373911579644	-1.74789752700651	0.00111111111111111	0.0463078848560701	0.0360977537711613	4002	tags=42%, list=21%, signal=34%	ACSL1/OLR1/ACOX1/APOA5/ME1/ACADM/ACSL4/SORBS1/APOA2/ANGPTL4/PPARA/GK/CYP7A1/ACOX2/CYP27A1/ACADL/CPT1C/LPL/SLC27A6/FABP6/AQP7/APOC3/MMP1/HMGCS2/FABP7/FABP1/PCK1/FABP2
KEGG_STEROID_HORMONE_BIOSYNTHESIS	KEGG_STEROID_HORMONE_BIOSYNTHESIS	KEGG_STEROID_HORMONE_BIOSYNTHESIS	55	-0.578827806652582	-1.69393602590719	0.00114285714285714	0.0463078848560701	0.0360977537711613	3856	tags=55%, list=20%, signal=44%	UGT2A1/SRD5A2/UGT1A3/CYP19A1/CYP7B1/UGT2B15/CYP17A1/UGT1A4/CYP3A7/UGT1A5/CYP11B2/CYP7A1/HSD17B12/UGT1A9/AKR1C3/UGT1A10/UGT1A6/AKR1D1/CYP1A1/AKR1C1/AKR1C2/HSD3B2/UGT1A7/UGT2B11/UGT2B17/UGT1A8/CYP3A4/HSD3B1/AKR1C4
KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG	KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG	KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG	25	-0.623856033716238	-1.61313475704402	0.0049079754601227	0.088263358778626	0.0688027320208919	5383	tags=64%, list=28%, signal=46%	FOXA3/HNF4G/SLC2A2/NR5A2/HNF1B/HNF4A/PKLR/BHLHA15/FOXA2/NEUROG3/NKX6-1/NEUROD1/ONECUT1/NKX2-2/PAX4
KEGG_OLFACTORY_TRANSDUCTION	KEGG_OLFACTORY_TRANSDUCTION	KEGG_OLFACTORY_TRANSDUCTION	372	-0.474188616036998	-1.58387493485772	0.001001001001001	0.0463078848560701	0.0360977537711613	4207	tags=38%, list=22%, signal=30%	OR4N2/OR1A2/OR10H2/OR3A1/OR52E2/OR13F1/OR51S1/OR10H1/OR2M4/CAMK2B/OR52B6/OR3A3/CLCA2/OR11H6/OR52L1/OR7A10/OR6K3/GUCY2D/OR52I1/OR4C3/OR4K14/OR4D6/OR4B1/OR52K1/OR8G5/OR51I2/OR51F2/OR51E2/OR1N1/OR9K2/OR2J2/OR13H1/OR1D5/OR52A5/OR10A5/OR11L1/OR1K1/OR10G2/OR10Q1/OR1S2/OR2H1/OR52E6/OR4D9/OR6C65/OR2S2/PRKG1/OR8K1/GUCA1C/OR9G4/OR1L8/OR6C6/OR1E2/OR7G3/CAMK2A/OR4C13/OR2B3/OR2C3/OR56A5/OR2A5/OR2Y1/OR2C1/OR5M11/OR52B2/OR5J2/OR2V2/OR2T10/OR51E1/OR5P2/OR6N1/OR12D3/OR2AG2/OR5M8/OR5C1/OR51V1/OR4D1/OR6C68/OR7E24/OR5B12/OR7C2/OR2H2/CALML3/OR1N2/OR1C1/OR11G2/OR10J5/OR10P1/OR1L3/OR14I1/OR2G3/OR2Z1/OR2T34/OR2AT4/OR8D1/OR1M1/OR2W3/OR11A1/OR1G1/OR7D4/OR5AP2/OR4K5/OR13A1/OR1A1/OR4D5/OR2G6/OR1F1/OR2B2/OR2A4/OR2AE1/OR10K2/OR8D2/OR7G1/OR2A7/OR10V1/PRKG2/OR5AC2/OR52K2/OR10G3/OR8B12/OR56B4/OR11H4/OR1J2/OR2M7/OR51A7/OR13D1/OR6C75/OR4D11/OR10AD1/GUCA1A/OR9A4/OR2B11/OR5A1/OR4K2/OR8A1/OR1Q1/CLCA1/OR1J1/OR7A5/OR6S1/OR1J4
KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS	KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS	KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS	27	-0.585105076126023	-1.53312578629649	0.0207823960880196	0.128205128205128	0.0999379946748368	3856	tags=56%, list=20%, signal=45%	UGT2A1/CRYL1/XYLB/UGT1A3/UGT2B15/UGT1A4/UGT1A5/UGT1A9/UGT1A10/UGT1A6/UGT1A7/UGT2B11/UGT2B17/UGT1A8
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION	KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION	KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION	270	-0.46011698734232	-1.52003926479573	0.00100401606425703	0.0463078848560701	0.0360977537711613	3426	tags=39%, list=18%, signal=32%	PLG/NPY5R/SSTR5/GABRR2/GRIK3/TSHB/P2RX6/GRM5/GLRB/MAS1/EDNRA/AVPR1A/AVPR1B/RXFP2/NMBR/GRIA4/GRPR/THRB/GRM2/ADORA2B/HRH1/GRM1/ADRA2B/C5AR1/BDKRB2/CHRNA9/GH2/CHRNB2/MTNR1B/GRIA1/HTR2C/LHCGR/GCGR/GABRA6/HTR7/GABRG3/FSHR/P2RX3/ADRB3/CCKBR/GABRG1/GABRA4/GPR50/GRM8/CHRND/AGTR1/CCKAR/HCRTR1/LPAR1/GABRQ/VIPR1/ADRA1B/CHRNA1/GH1/MCHR2/GABRE/ADRA1D/HTR5A/F2/HRH4/TAAR5/TAAR1/HTR1B/FPR1/HTR2A/P2RY2/GABBR2/GABRB1/DRD2/HTR4/PTGFR/MLNR/MCHR1/GRIN2B/GRID2/OPRD1/SSTR1/OPRK1/GPR156/GRIA2/LEP/GLRA2/GRIA3/GABRA2/GRIK2/LPAR3/FPR2/NPFFR2/HTR1D/GABRR1/MC3R/CRHR1/CGA/CHRM3/PRLR/GABRB2/DRD1/ADRA2A/MC5R/NTSR1/MTNR1A/PRSS1/PRSS2
KEGG_SELENOAMINO_ACID_METABOLISM	KEGG_SELENOAMINO_ACID_METABOLISM	KEGG_SELENOAMINO_ACID_METABOLISM	25	-0.58445911593811	-1.51126423892187	0.0220858895705521	0.128205128205128	0.0999379946748368	2278	tags=24%, list=12%, signal=21%	GGT1/PAPSS2/MAT1A/GGT7/GGT6
KEGG_RETINOL_METABOLISM	KEGG_RETINOL_METABOLISM	KEGG_RETINOL_METABOLISM	63	-0.501710547064237	-1.4968464913301	0.0134680134680135	0.103121516164994	0.0803849087601948	2416	tags=37%, list=12%, signal=32%	CYP2C8/CYP1A2/UGT1A4/CYP26A1/CYP3A7/UGT1A5/RDH12/CYP26B1/UGT1A9/AWAT2/UGT1A10/UGT1A6/CYP1A1/ALDH1A2/UGT1A7/CYP2B6/UGT2B11/LRAT/UGT2B17/UGT1A8/CYP3A4/RDH8
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM	KEGG_ASCORBATE_AND_ALDARATE_METABOLISM	KEGG_ASCORBATE_AND_ALDARATE_METABOLISM	25	-0.576809383420274	-1.49148395510686	0.0294478527607362	0.13499270309713	0.10522902033745	3856	tags=56%, list=20%, signal=45%	UGT2A1/UGT1A3/MIOX/UGT2B15/UGT1A4/UGT1A5/UGT1A9/UGT1A10/UGT1A6/UGT1A7/UGT2B11/UGT2B17/UGT1A8
