	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalues	rank	leading_edge	core_enrichment
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	79	0.784911059783403	3.18320373239987	0.012987012987013	0.0993288590604027	0.0774284705051219	1893	tags=54%, list=10%, signal=49%	KIR3DL2/CD8A/CD8B/KLRC3/KIR2DL4/KLRC1/KLRC4/KIR3DL1/CIITA/KLRD1/KIR3DL3/HLA-DOA/KIR2DL3/HLA-DOB/KLRC2/LTA/HLA-DQA1/TAP1/HLA-DQA2/HLA-DPB1/HLA-DPA1/CD74/HLA-DRB1/HLA-DQB1/HLA-F/HLA-DMA/HLA-E/TAP2/KIR2DL1/HLA-DRA/HLA-DMB/IFNA1/IFNA10/TAPBP/B2M/PSME2/HLA-A/PSME1/CTSS/IFI30/CD4/HLA-C/HLA-B
KEGG_ALLOGRAFT_REJECTION	KEGG_ALLOGRAFT_REJECTION	KEGG_ALLOGRAFT_REJECTION	35	0.835841503950237	2.97539330652035	0.00606060606060606	0.091765873015873	0.0715329991645781	1893	tags=77%, list=10%, signal=70%	IFNG/FASLG/GZMB/PRF1/HLA-DOA/HLA-DOB/HLA-DQA1/HLA-DQA2/HLA-DPB1/HLA-DPA1/IL12B/HLA-DRB1/HLA-DQB1/FAS/HLA-F/HLA-DMA/HLA-E/HLA-DRA/HLA-DMB/IL4/CD40/IL2/HLA-A/IL12A/HLA-C/CD28/HLA-B
KEGG_PRIMARY_IMMUNODEFICIENCY	KEGG_PRIMARY_IMMUNODEFICIENCY	KEGG_PRIMARY_IMMUNODEFICIENCY	35	0.774044127974366	2.7554096158683	0.00606060606060606	0.091765873015873	0.0715329991645781	1681	tags=60%, list=9%, signal=55%	CD8A/CD8B/CD3E/CD3D/TNFRSF13B/CIITA/TNFRSF13C/CD19/IL2RG/CD79A/ZAP70/TAP1/JAK3/LCK/TAP2/ICOS/PTPRC/CD40/ADA/AICDA/CD4
KEGG_RIBOSOME	KEGG_RIBOSOME	KEGG_RIBOSOME	87	0.663411728233171	2.75321248125935	0.0133333333333333	0.0993288590604027	0.0774284705051219	4954	tags=76%, list=25%, signal=57%	RPL35/RPS15/RPL36/RPL18A/RPL28/RPS28/RPS19/RPS27L/RPS27/RPL22L1/RPLP2/RPS26/RPS16/RPL26/RPL18/RPL38/RPS9/RPS10/RPL24/RPL39/RPL32/RPS20/RPLP1/RPL6/RPL10/UBA52/RPS25/RPS29/RPL13A/RPL27A/RPL34/RPL9/RPS2/RPS21/RPL35A/RPL29/RPL22/RPL7A/RPL13/RPL26L1/RPL27/RPS11/RPS24/RPL17/RPL37A/RPS12/RPL37/RPSA/RPS17/RPL23A/RPS27A/RPL41/RPL36A/FAU/RPL11/RPL8/RPL15/RPS5/RPL21/RPL14/RPS18/RPL36AL/RPL31/RPS7/RPS4Y1/RPS3
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS	KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS	KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS	130	0.617004909371334	2.72182823992271	0.0238095238095238	0.127639788816895	0.0994973033736248	2114	tags=44%, list=11%, signal=39%	IFNG/HIST2H2AB/HIST1H4F/HIST1H4A/HIST1H3I/HLA-DOA/HLA-DOB/HLA-DQA1/HLA-DQA2/HLA-DPB1/HLA-DPA1/HIST1H2BM/C1QA/C3/HIST1H4B/HIST2H3D/HIST2H2AA3/HIST1H2AJ/HIST1H2AL/HLA-DRB1/HLA-DQB1/HIST2H2AA4/HIST1H4E/C1QB/HLA-DMA/HIST1H4G/H2AFX/HIST1H2BF/FCGR1A/C1QC/HLA-DRA/C6/HIST1H2AH/HLA-DMB/HIST1H4C/HIST1H2BK/HIST1H2BI/TRIM21/HIST1H4I/HIST1H2BO/HIST1H2BB/HIST2H4B/FCGR3A/CD40/C4A/HIST3H3/HIST1H2AB/HIST1H2AD/HIST1H2BL/HIST1H4L/HIST1H3F/ACTN4/SNRPB/CD28/HIST2H2AC/HIST1H3E/HIST1H2AM
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	46	0.72841670562732	2.6757185439159	0.0075187969924812	0.091765873015873	0.0715329991645781	2017	tags=61%, list=10%, signal=55%	TNFRSF13B/TNFRSF13C/HLA-DOA/HLA-DOB/HLA-DQA1/HLA-DQA2/HLA-DPB1/HLA-DPA1/TNFSF13B/ITGB7/HLA-DRB1/TNFRSF17/HLA-DQB1/HLA-DMA/HLA-DRA/ICOS/HLA-DMB/CCL25/ICOSLG/IL4/IL15/IL15RA/CD40/IL2/AICDA/MADCAM1/CD28/MAP3K14
KEGG_AUTOIMMUNE_THYROID_DISEASE	KEGG_AUTOIMMUNE_THYROID_DISEASE	KEGG_AUTOIMMUNE_THYROID_DISEASE	50	0.702901918482372	2.62756141676639	0.00735294117647059	0.091765873015873	0.0715329991645781	2063	tags=56%, list=11%, signal=50%	FASLG/GZMB/PRF1/HLA-DOA/HLA-DOB/HLA-DQA1/HLA-DQA2/HLA-DPB1/HLA-DPA1/HLA-DRB1/HLA-DQB1/FAS/HLA-F/HLA-DMA/CTLA4/HLA-E/HLA-DRA/HLA-DMB/IFNA1/IL4/IFNA10/CD40/IL2/HLA-A/HLA-C/CD28/HLA-B/IFNA14
KEGG_GRAFT_VERSUS_HOST_DISEASE	KEGG_GRAFT_VERSUS_HOST_DISEASE	KEGG_GRAFT_VERSUS_HOST_DISEASE	37	0.731353105275335	2.58636195175678	0.00625	0.091765873015873	0.0715329991645781	677	tags=65%, list=3%, signal=63%	KIR3DL2/IFNG/FASLG/GZMB/KLRC1/KIR3DL1/PRF1/KLRD1/HLA-DOA/KIR2DL3/HLA-DOB/HLA-DQA1/HLA-DQA2/HLA-DPB1/HLA-DPA1/HLA-DRB1/HLA-DQB1/FAS/HLA-F/HLA-DMA/HLA-E/KIR2DL1/HLA-DRA/HLA-DMB
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	130	0.553416825370634	2.4413185711552	0.0238095238095238	0.127639788816895	0.0994973033736248	2206	tags=39%, list=11%, signal=35%	KIR3DL2/KLRC3/KLRK1/IFNG/FASLG/GZMB/KIR2DL4/SH2D1A/KLRC1/KIR3DL1/PRF1/PRKCG/HCST/KLRD1/KIR2DL3/KLRC2/ZAP70/CD244/CD247/ITGAL/NCR1/NCR3/PRKCB/FAS/LCK/PIK3CD/CD48/HLA-E/KIR2DL1/SH2D1B/RAC2/TNFSF10/IFNA1/IFNA10/MICB/LAT/FCGR3A/TYROBP/HLA-A/FCER1G/PIK3R2/HLA-C/HRAS/MAP2K2/HLA-B/NCR2/PTK2B/PIK3CG/IFNA14/ITGB2/VAV1
KEGG_PROTEASOME	KEGG_PROTEASOME	KEGG_PROTEASOME	43	0.644852646916659	2.3424784780254	0.00746268656716418	0.091765873015873	0.0715329991645781	5800	tags=70%, list=30%, signal=49%	IFNG/PSMB10/PSMB9/PSMB8/PSMA2/PSME2/PSME1/PSMA4/PSMB6/PSMD11/PSMB2/PSMD8/PSMB3/PSMA8/PSMA1/PSMB7/PSMA5/PSMC3/PSMC4/POMP/PSMD1/PSMB4/PSMD12/PSMA3/PSMD4/PSMF1/PSMA7/PSMD13/PSMD7/PSMB1
