	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalues	rank	leading_edge	core_enrichment
KEGG_RETINOL_METABOLISM	KEGG_RETINOL_METABOLISM	KEGG_RETINOL_METABOLISM	63	-0.766401781506093	-2.35684396947476	0.00157977883096367	0.0140151515151515	0.00925039872408293	2643	tags=54%, list=14%, signal=47%	CYP2A13/CYP2C8/UGT2A3/DGAT2/ADH6/UGT2A1/ADH4/CYP2C19/CYP3A43/CYP1A1/ADH1C/UGT2B7/CYP2A6/UGT2B10/UGT2B15/CYP3A5/CYP4A11/UGT1A4/RDH12/CYP2A7/LRAT/UGT2B11/UGT1A3/UGT1A5/CYP3A4/UGT1A9/UGT1A6/UGT1A7/RDH8/CYP2B6/UGT1A1/UGT1A10/UGT1A8
KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450	KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450	KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450	68	-0.731343787104439	-2.28636333007325	0.00158982511923688	0.0140151515151515	0.00925039872408293	1965	tags=53%, list=10%, signal=48%	CYP2C8/CYP2E1/UGT2A3/ADH6/UGT2A1/GSTM3/ADH4/CYP2C19/CYP3A43/CYP1A1/ADH1C/UGT2B7/UGT2B10/GSTA4/UGT2B15/CYP3A5/UGT1A4/AKR1C3/GSTA3/AKR1C1/UGT2B11/UGT1A3/UGT1A5/AKR1C2/CYP3A4/UGT1A9/UGT1A6/UGT1A7/GSTA1/AKR1C4/CYP2B6/GSTA2/UGT1A1/UGT1A10/UGT1A8
KEGG_DRUG_METABOLISM_CYTOCHROME_P450	KEGG_DRUG_METABOLISM_CYTOCHROME_P450	KEGG_DRUG_METABOLISM_CYTOCHROME_P450	70	-0.720018040830839	-2.26859098243841	0.0015600624024961	0.0140151515151515	0.00925039872408293	2643	tags=54%, list=14%, signal=47%	CYP2A13/FMO4/CYP2C8/CYP2E1/UGT2A3/ADH6/UGT2A1/GSTM3/ADH4/MAOA/CYP2C19/CYP3A43/ADH1C/UGT2B7/CYP2D6/CYP2A6/UGT2B10/GSTA4/UGT2B15/CYP3A5/UGT1A4/CYP2A7/GSTA3/UGT2B11/FMO5/UGT1A3/UGT1A5/CYP3A4/UGT1A9/UGT1A6/UGT1A7/GSTA1/CYP2B6/GSTA2/UGT1A1/UGT1A10/UGT1A8
KEGG_STEROID_HORMONE_BIOSYNTHESIS	KEGG_STEROID_HORMONE_BIOSYNTHESIS	KEGG_STEROID_HORMONE_BIOSYNTHESIS	55	-0.73301116757841	-2.19830030475436	0.00161550888529887	0.0140151515151515	0.00925039872408293	2047	tags=53%, list=10%, signal=47%	UGT2A1/CYP7A1/CYP3A43/CYP1A1/UGT2B7/CYP19A1/UGT2B10/HSD17B2/UGT2B15/CYP3A5/UGT1A4/AKR1C3/HSD3B1/HSD3B2/AKR1C1/UGT2B11/UGT1A3/CYP17A1/UGT1A5/AKR1C2/CYP3A4/UGT1A9/UGT1A6/UGT1A7/AKR1C4/UGT1A1/UGT1A10/UGT1A8
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM	KEGG_ASCORBATE_AND_ALDARATE_METABOLISM	KEGG_ASCORBATE_AND_ALDARATE_METABOLISM	25	-0.814778727287491	-2.08685648212154	0.00173010380622837	0.0140151515151515	0.00925039872408293	1962	tags=60%, list=10%, signal=54%	MIOX/UGT2B7/UGT2B10/UGT2B15/UGT1A4/UGT2B11/UGT1A3/UGT1A5/UGT1A9/UGT1A6/UGT1A7/UGT1A1/UGT1A10/UGT1A8
KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS	KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS	KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS	27	-0.787725011793649	-2.06854968499206	0.00170648464163823	0.0140151515151515	0.00925039872408293	1249	tags=48%, list=6%, signal=45%	UGT2B10/UGT2B15/UGT1A4/UGT2B11/UGT1A3/UGT1A5/UGT1A9/UGT1A6/UGT1A7/UGT1A1/UGT1A10/UGT1A8
KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG	KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG	KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG	25	-0.803282739509885	-2.05741232040176	0.00173010380622837	0.0140151515151515	0.00925039872408293	2528	tags=68%, list=13%, signal=59%	HNF1A/FOXA3/NR5A2/HNF4A/GCK/NKX6-1/HNF1B/PDX1/FOXA2/PKLR/NEUROD1/ONECUT1/SLC2A2/NKX2-2/NEUROG3/PAX4
KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM	KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM	KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM	41	-0.710515139567381	-2.03987582523248	0.00166112956810631	0.0140151515151515	0.00925039872408293	1249	tags=32%, list=6%, signal=30%	UGT2B10/UGT2B15/UGT1A4/UGT2B11/UGT1A3/UGT1A5/UGT1A9/UGT1A6/UGT1A7/UGT1A1/UGT1A10/UGT1A8
KEGG_DRUG_METABOLISM_OTHER_ENZYMES	KEGG_DRUG_METABOLISM_OTHER_ENZYMES	KEGG_DRUG_METABOLISM_OTHER_ENZYMES	51	-0.670713176458917	-1.98864433881692	0.00161550888529887	0.0140151515151515	0.00925039872408293	2679	tags=53%, list=14%, signal=46%	CYP3A7/CYP2A13/UGT2A3/UGT2A1/CES5A/XDH/CYP3A43/CES1/UGT2B7/CYP2A6/UGT2B10/UGT2B15/CYP3A5/UGT1A4/CYP2A7/UGT2B11/UGT1A3/UGT1A5/CYP3A4/UGT1A9/UGT1A6/UGT1A7/NAT2/UGT1A1/UGT1A10/UGT1A8
KEGG_STARCH_AND_SUCROSE_METABOLISM	KEGG_STARCH_AND_SUCROSE_METABOLISM	KEGG_STARCH_AND_SUCROSE_METABOLISM	51	-0.667364279569445	-1.97871496054573	0.00161550888529887	0.0140151515151515	0.00925039872408293	2141	tags=37%, list=11%, signal=33%	TREH/UGT2A1/G6PC/GCK/UGT2B7/UGT2B10/UGT2B15/UGT1A4/UGT2B11/UGT1A3/UGT1A5/UGT1A9/UGT1A6/UGT1A7/UGT1A1/UGT1A10/SI/UGT1A8
KEGG_PPAR_SIGNALING_PATHWAY	KEGG_PPAR_SIGNALING_PATHWAY	KEGG_PPAR_SIGNALING_PATHWAY	69	-0.62609817316437	-1.96797980792171	0.00157232704402516	0.0140151515151515	0.00925039872408293	2918	tags=42%, list=15%, signal=36%	ACOX1/PLIN1/CYP4A22/MMP1/FABP5/LPL/SORBS1/APOA2/PPARA/CPT1C/RXRG/PPARG/ME1/CYP7A1/CYP8B1/SLC27A6/ACOX2/CYP4A11/ACADL/FABP6/APOA5/AQP7/APOA1/PCK1/APOC3/FABP2/HMGCS2/FABP1
KEGG_GLUTATHIONE_METABOLISM	KEGG_GLUTATHIONE_METABOLISM	KEGG_GLUTATHIONE_METABOLISM	47	-0.514820680886381	-1.51488448896174	0.0194805194805195	0.0655253837072019	0.0432486174112968	1037	tags=19%, list=5%, signal=18%	GSTA4/GGT7/GGT1/GSTA3/ANPEP/GSTA1/GGT6/GSTA2
KEGG_RENIN_ANGIOTENSIN_SYSTEM	KEGG_RENIN_ANGIOTENSIN_SYSTEM	KEGG_RENIN_ANGIOTENSIN_SYSTEM	17	-0.630050254374938	-1.480749723289	0.0533562822719449	0.141013031718712	0.0930726126848964	2691	tags=35%, list=14%, signal=30%	AGTR2/MME/AGT/REN/ANPEP
KEGG_CITRATE_CYCLE_TCA_CYCLE	KEGG_CITRATE_CYCLE_TCA_CYCLE	KEGG_CITRATE_CYCLE_TCA_CYCLE	30	-0.544205053768826	-1.47058058410592	0.037037037037037	0.107060185185185	0.0706627680311891	373	tags=27%, list=2%, signal=26%	SUCLG2/PDHA2/PC/SUCLG1/OGDH/OGDHL/PCK1
KEGG_PROPANOATE_METABOLISM	KEGG_PROPANOATE_METABOLISM	KEGG_PROPANOATE_METABOLISM	31	-0.539790370929969	-1.46452403368605	0.0452261306532663	0.124878121953049	0.0824231132094092	5109	tags=58%, list=26%, signal=43%	PCCA/SUCLG2/ACACA/EHHADH/ALDH6A1/ACSS3/ACADM/LDHAL6A/SUCLG1/ALDH1B1/ACACB/ACSS2/MLYCD/ABAT/LDHAL6B/ACSS1/LDHC
