	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalues	rank	leading_edge	core_enrichment
KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450	KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450	KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450	68	-0.692230811990028	-2.15755263924752	0.00116144018583043	0.023554876496053	0.0146087142991168	1961	tags=44%, list=10%, signal=40%	UGT2B17/GSTA4/UGT2B15/UGT1A4/ADH4/UGT1A3/AKR1C3/CYP1A1/GSTA3/UGT2B11/GSTM5/GSTM3/AKR1C4/UGT1A6/UGT1A5/ADH1A/CYP3A4/CYP2B6/ADH1C/AKR1C1/UGT1A7/UGT1A9/ADH1B/UGT1A1/AKR1C2/UGT1A8/GSTA1/UGT1A10/GSTA2
KEGG_RETINOL_METABOLISM	KEGG_RETINOL_METABOLISM	KEGG_RETINOL_METABOLISM	63	-0.690934800885231	-2.12575032473351	0.00118203309692671	0.023554876496053	0.0146087142991168	2509	tags=43%, list=13%, signal=37%	CYP2A6/UGT2B17/RDH12/UGT2B15/UGT1A4/ADH4/ALDH1A2/CYP2A7/UGT1A3/CYP1A1/UGT2B11/CYP4A11/UGT1A6/UGT1A5/ADH1A/CYP3A4/CYP2B6/ADH1C/RDH8/UGT1A7/UGT1A9/ADH1B/UGT1A1/UGT1A8/UGT1A10/LRAT
KEGG_DRUG_METABOLISM_CYTOCHROME_P450	KEGG_DRUG_METABOLISM_CYTOCHROME_P450	KEGG_DRUG_METABOLISM_CYTOCHROME_P450	70	-0.674369624265452	-2.10897201405428	0.00115606936416185	0.023554876496053	0.0146087142991168	3573	tags=56%, list=18%, signal=46%	FMO4/GSTA5/CYP2C19/CYP3A5/MGST3/GSTP1/CYP2C8/CYP2A6/CYP2E1/UGT2B17/MAOA/GSTA4/UGT2B15/UGT1A4/AOX1/ADH4/CYP2A7/UGT1A3/GSTA3/UGT2B11/GSTM5/GSTM3/FMO5/MAOB/UGT1A6/UGT1A5/ADH1A/CYP3A4/CYP2B6/ADH1C/UGT1A7/UGT1A9/ADH1B/UGT1A1/UGT1A8/GSTA1/UGT1A10/GSTA2
KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS	KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS	KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS	27	-0.756386659196941	-2.0386412943571	0.00131926121372032	0.023554876496053	0.0146087142991168	1935	tags=44%, list=10%, signal=40%	UGT2B15/UGT1A4/UGT1A3/UGT2B11/UGT1A6/UGT1A5/UGT1A7/UGT1A9/UGT1A1/UGT1A8/UGT1A10
KEGG_STEROID_HORMONE_BIOSYNTHESIS	KEGG_STEROID_HORMONE_BIOSYNTHESIS	KEGG_STEROID_HORMONE_BIOSYNTHESIS	55	-0.64313849069466	-1.94573561314262	0.00121065375302663	0.023554876496053	0.0146087142991168	2755	tags=51%, list=14%, signal=44%	HSD17B6/CYP11B2/HSD3B1/CYP19A1/CYP11A1/UGT2B17/HSD17B2/UGT2B15/UGT1A4/CYP17A1/UGT1A3/AKR1C3/CYP1A1/CYP7A1/UGT2B11/AKR1C4/UGT1A6/UGT1A5/CYP3A4/AKR1C1/HSD3B2/UGT1A7/UGT1A9/UGT1A1/AKR1C2/UGT1A8/UGT1A10
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM	KEGG_ASCORBATE_AND_ALDARATE_METABOLISM	KEGG_ASCORBATE_AND_ALDARATE_METABOLISM	25	-0.73669181600731	-1.94047162808561	0.00134048257372654	0.023554876496053	0.0146087142991168	1935	tags=48%, list=10%, signal=43%	UGT2B15/UGT1A4/UGT1A3/UGT2B11/UGT1A6/UGT1A5/UGT1A7/UGT1A9/UGT1A1/UGT1A8/UGT1A10
KEGG_PPAR_SIGNALING_PATHWAY	KEGG_PPAR_SIGNALING_PATHWAY	KEGG_PPAR_SIGNALING_PATHWAY	69	-0.603936787370707	-1.88572068722647	0.00115606936416185	0.023554876496053	0.0146087142991168	1795	tags=28%, list=9%, signal=25%	ACOX2/PLIN1/CYP8B1/CYP7A1/SORBS1/CYP4A11/RXRG/ACADL/FABP4/AQP7/SLC27A6/ADIPOQ/APOC3/PCK1/APOA1/FABP2/FABP1/HMGCS2
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION	KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION	KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION	270	-0.538136569841997	-1.88359929223644	0.00101010101010101	0.023554876496053	0.0146087142991168	3955	tags=47%, list=20%, signal=38%	AVPR1A/TACR3/PTGFR/GABRE/PLG/NPFFR2/CNR2/GABRG1/CHRNA4/P2RY2/GABRG3/MC2R/THRA/GRIA4/PTH2R/HTR2A/GRM6/HTR4/CHRNA2/ADRA1B/HTR2B/DRD4/GPR50/DRD5/GABRR1/HTR1A/CHRNA7/FSHR/OXTR/TAAR1/GNRHR/GPR83/CHRNB2/GABBR2/GCGR/VIPR1/AVPR1B/GABRB3/LHCGR/LPAR1/GHR/LEPR/GABRQ/ADRA1A/ADRA2B/GH2/MC3R/F2/CGA/GRM3/GABRB2/GRIA1/GLRA2/GRM7/HCRTR1/GRIK2/PRSS2/GABRA4/GABRA5/SSTR1/PTGER3/GRIK5/LPAR3/P2RX6/NMBR/GALR1/MTNR1A/GRIA3/CRHR2/PTH1R/OPRD1/NPY5R/GLRB/PRSS1/GRPR/THRB/GABRA3/TACR2/AVPR2/CHRNA3/HRH3/CHRNB4/GLP2R/GPR156/PTGER1/GRID1/ADRA1D/SCTR/NPBWR1/PRLHR/ADRA2C/GRID2/ADRB3/VIPR2/CCKBR/HTR1D/GHSR/GRIK3/GLP1R/SSTR4/GH1/CHRM2/HTR2C/NTSR1/TACR1/AGTR1/DRD1/ADCYAP1R1/HTR1E/CRHR1/CHRM1/NPY2R/CNR1/DRD2/CTSG/GRIA2/CHRM3/MLNR/AGTR2/NPY1R/MC5R/GABRG2/CCKAR/ADRA2A/GRIN2A
KEGG_RENIN_ANGIOTENSIN_SYSTEM	KEGG_RENIN_ANGIOTENSIN_SYSTEM	KEGG_RENIN_ANGIOTENSIN_SYSTEM	17	-0.755596867028148	-1.84152053467996	0.00140056022408964	0.023554876496053	0.0146087142991168	1396	tags=47%, list=7%, signal=44%	AGT/REN/ANPEP/AGTR1/CTSG/CMA1/AGTR2
KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM	KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM	KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM	41	-0.627482313648331	-1.82116629096346	0.00252206809583859	0.0322187391152908	0.0199820345010908	1935	tags=29%, list=10%, signal=26%	UGT2B15/UGT1A4/UGT1A3/UGT2B11/UGT1A6/UGT1A5/UGT1A7/UGT1A9/UGT1A1/UGT1A8/UGT1A10
KEGG_DRUG_METABOLISM_OTHER_ENZYMES	KEGG_DRUG_METABOLISM_OTHER_ENZYMES	KEGG_DRUG_METABOLISM_OTHER_ENZYMES	51	-0.592160481296258	-1.7839644697162	0.00241545893719807	0.0322187391152908	0.0199820345010908	2298	tags=33%, list=12%, signal=29%	UGT2B17/UGT2B15/UGT1A4/CYP2A7/UGT1A3/UGT2B11/CES1/UGT1A6/UGT1A5/CYP3A4/UGT1A7/UGT1A9/NAT2/UGT1A1/UGT1A8/UGT1A10
KEGG_CARDIAC_MUSCLE_CONTRACTION	KEGG_CARDIAC_MUSCLE_CONTRACTION	KEGG_CARDIAC_MUSCLE_CONTRACTION	73	-0.566219161790507	-1.78077788891912	0.00114285714285714	0.023554876496053	0.0146087142991168	4436	tags=40%, list=23%, signal=31%	CACNG7/CACNB3/COX4I2/COX7B2/COX6B2/COX8C/CACNB4/ACTC1/TPM1/ATP1A4/CACNG6/CACNG1/COX7A1/FXYD2/CACNA1D/CACNA2D2/CACNA1S/CACNB2/CACNA2D1/TNNC1/CACNA1C/ATP1B2/CACNA2D3/COX6A2/TPM2/MYL3/ATP1A2/CACNG4
KEGG_STARCH_AND_SUCROSE_METABOLISM	KEGG_STARCH_AND_SUCROSE_METABOLISM	KEGG_STARCH_AND_SUCROSE_METABOLISM	51	-0.578760259363567	-1.74359446771624	0.00241545893719807	0.0322187391152908	0.0199820345010908	1935	tags=31%, list=10%, signal=28%	UGT2B15/GCK/UGT1A4/TREH/UGT1A3/UGT2B11/SI/PYGM/UGT1A6/UGT1A5/UGT1A7/UGT1A9/UGT1A1/UGT1A8/UGT1A10
KEGG_CALCIUM_SIGNALING_PATHWAY	KEGG_CALCIUM_SIGNALING_PATHWAY	KEGG_CALCIUM_SIGNALING_PATHWAY	176	-0.494596605041616	-1.68842762394827	0.00103950103950104	0.023554876496053	0.0146087142991168	3933	tags=41%, list=20%, signal=33%	PLCD1/TACR3/PTGFR/PLCB4/BST1/CACNA1A/PLCD4/PHKG1/PDE1B/ITPKB/PLCB1/ADCY8/ATP2B4/HTR2A/CALML3/HTR4/CACNA1I/ADRA1B/HTR2B/DRD5/TRPC1/CAMK2G/PDE1A/CHRNA7/OXTR/PDE1C/RYR3/GNAL/ATP2B2/CACNA1G/CACNA1H/AVPR1B/CALML5/LHCGR/CACNA1D/ATP2B3/CAMK2B/ADRA1A/SLC25A4/SLC8A3/CACNA1S/CAMK2A/TNNC1/MYLK/PTGER3/CACNA1C/ADCY2/P2RX6/CACNA1B/GNA14/GRPR/TACR2/NOS1/PTGER1/ADRA1D/PLN/ADRB3/CCKBR/CHRM2/HTR2C/SLC8A2/NTSR1/TACR1/AGTR1/DRD1/ERBB4/TNNC2/CHRM1/CHRM3/CCKAR/GRIN2A/CHP2
KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG	KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG	KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG	25	-0.627668033097093	-1.65329922718881	0.00804289544235925	0.0354270394484872	0.0219718196295027	5038	tags=64%, list=26%, signal=48%	FOXA3/HHEX/PDX1/PKLR/HES1/FOXA2/HNF1B/GCK/NEUROD1/NKX6-1/SLC2A2/PAX4/NEUROG3/ONECUT1/NKX2-2
KEGG_BASAL_CELL_CARCINOMA	KEGG_BASAL_CELL_CARCINOMA	KEGG_BASAL_CELL_CARCINOMA	55	-0.545028233403183	-1.64891521693149	0.00484261501210654	0.0322187391152908	0.0199820345010908	4467	tags=45%, list=23%, signal=35%	FZD8/WNT2B/PTCH1/WNT3A/GLI3/WNT6/SMO/BMP4/SHH/WNT9B/FZD10/FZD7/GLI1/WNT16/FZD9/GLI2/TCF7L1/PTCH2/WNT7B/WNT9A/WNT4/WNT7A/WNT11/HHIP
KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION	KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION	KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION	23	-0.631867566868245	-1.63746458317358	0.0106951871657754	0.0387962671699696	0.0240614117867806	3260	tags=39%, list=17%, signal=33%	SLC4A4/ATP1A4/FXYD2/CA4/ATP1B2/SLC38A3/ATP1A2/PCK1
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	74	-0.506982508789444	-1.60026808704139	0.00454029511918275	0.0322187391152908	0.0199820345010908	4625	tags=45%, list=24%, signal=34%	DSC2/CACNA2D4/CACNG7/ITGA9/ITGA10/CACNB3/LAMA2/ACTN3/ITGB6/SGCD/CACNB4/CTNNA2/CDH2/CACNG6/CACNG1/CACNA1D/TCF7L1/ITGA8/CACNA2D2/ACTN2/CACNA1S/CACNB2/CACNA2D1/ITGA7/CACNA1C/DMD/CTNNA3/CACNA2D3/SGCA/SGCG/DES/CACNG4
KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM	KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM	KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM	83	-0.485731841654797	-1.55723490021677	0.00560538116591928	0.0322187391152908	0.0199820345010908	4436	tags=43%, list=23%, signal=34%	CACNG7/PRKAB2/ITGA9/ITGA10/CACNB3/PRKAG2/LAMA2/MYBPC3/ITGB6/SGCD/CACNB4/IGF1/ACTC1/TPM1/CACNG6/CACNG1/CACNA1D/PRKAG3/ITGA8/CACNA2D2/CACNA1S/CACNB2/CACNA2D1/TNNC1/ITGA7/CACNA1C/DMD/CACNA2D3/SGCA/TPM2/SGCG/MYL3/DES/PRKAA2/CACNG4
KEGG_HEDGEHOG_SIGNALING_PATHWAY	KEGG_HEDGEHOG_SIGNALING_PATHWAY	KEGG_HEDGEHOG_SIGNALING_PATHWAY	56	-0.505209808428415	-1.53732950371289	0.00958083832335329	0.0371386509635974	0.0230333596303392	4297	tags=43%, list=22%, signal=34%	WNT2B/PTCH1/WNT3A/GLI3/WNT6/GAS1/SMO/BMP4/SHH/WNT9B/GLI1/WNT16/GLI2/PTCH2/WNT7B/BMP7/WNT9A/BMP5/WNT4/WNT7A/IHH/WNT11/HHIP
KEGG_TYROSINE_METABOLISM	KEGG_TYROSINE_METABOLISM	KEGG_TYROSINE_METABOLISM	40	-0.518890016511808	-1.49573739717967	0.0316856780735108	0.0814145894944374	0.050493258918314	3869	tags=40%, list=20%, signal=32%	TYRP1/HPD/TH/DDC/TPO/AOC3/MAOA/AOX1/ADH4/MAOB/ADH1A/ADH1C/HGD/PNMT/ADH1B
KEGG_DILATED_CARDIOMYOPATHY	KEGG_DILATED_CARDIOMYOPATHY	KEGG_DILATED_CARDIOMYOPATHY	90	-0.46069701125647	-1.48676821470756	0.0111111111111111	0.0395299145299145	0.0245164192532614	3063	tags=32%, list=16%, signal=27%	ITGB6/SGCD/CACNB4/IGF1/ACTC1/TPM1/CACNG6/CACNG1/CACNA1D/ITGA8/CACNA2D2/CACNA1S/CACNB2/CACNA2D1/TNNC1/ITGA7/CACNA1C/ADCY2/DMD/CACNA2D3/PLN/SGCA/TPM2/SGCG/ADCY5/MYL3/DES/CACNG4
KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION	KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION	KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION	113	-0.447846430964542	-1.47811315913934	0.00760869565217391	0.0343319194061506	0.0212926271139142	4589	tags=42%, list=24%, signal=33%	PRKCE/NPR2/ADCY4/MYL6/GUCY1A2/MAPK3/AVPR1A/PLCB4/PLA2G2F/PRKG1/PLCB1/ADCY8/KCNMB3/CALML3/KCNMB4/ADRA1B/KCNMA1/RAMP2/NPR1/KCNMB2/AVPR1B/CALD1/CALML5/CACNA1D/MRVI1/PPP1R12B/ADRA1A/CACNA1S/MYLK/ACTA2/CACNA1C/ADCY2/KCNMB1/PLA2G5/PLA2G2C/CYP4A11/MYL9/ADRA1D/PLA2G1B/PPP1R14A/PLA2G10/RAMP1/AGTR1/ADCY5/ACTG2/MYH11/PLA2G12B
KEGG_FATTY_ACID_METABOLISM	KEGG_FATTY_ACID_METABOLISM	KEGG_FATTY_ACID_METABOLISM	42	-0.50061253704646	-1.45759204261633	0.0377358490566038	0.0956319462393383	0.0593108514371999	3170	tags=21%, list=16%, signal=18%	ALDH1B1/CPT1C/ADH4/CYP4A11/ADH1A/ACADL/ADH1C/ADH1B
KEGG_WNT_SIGNALING_PATHWAY	KEGG_WNT_SIGNALING_PATHWAY	KEGG_WNT_SIGNALING_PATHWAY	149	-0.423908305458341	-1.43285959053688	0.00732984293193717	0.0339005235602094	0.0210250757784514	4467	tags=30%, list=23%, signal=23%	DKK2/FZD8/WNT2B/PPP3CA/WIF1/PLCB4/WNT3A/WNT6/PLCB1/JUN/SOX17/SFRP4/MMP7/CAMK2G/WNT9B/NKD1/FZD10/FZD7/SFRP2/PRICKLE1/WNT16/TBL1Y/PRICKLE2/FZD9/DAAM2/MAPK10/TCF7L1/CAMK2B/WNT7B/NFATC4/CAMK2A/DKK4/WNT9A/NKD2/VANGL2/WNT4/WNT7A/CER1/WNT11/SFRP1/CXXC4/SFRP5/CHP2
KEGG_AXON_GUIDANCE	KEGG_AXON_GUIDANCE	KEGG_AXON_GUIDANCE	127	-0.430570513575279	-1.43263376743934	0.00963597430406852	0.0371386509635974	0.0230333596303392	4272	tags=31%, list=22%, signal=25%	EPHA4/EPHB6/PPP3CA/MAPK3/PAK6/CFL2/ABLIM2/SEMA5A/SEMA3G/SEMA3C/RHOD/GNAI1/EPHA5/SEMA6D/ABLIM3/EFNA2/UNC5D/NTN3/NGEF/SLIT2/NTN1/EFNA5/EFNB3/ROBO2/EPHB1/EPHA8/NFATC4/L1CAM/PAK3/SEMA6C/SLIT3/NTNG1/PLXNB3/SEMA6A/DPYSL5/EPHA6/EPHA7/SEMA3E/CHP2
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	51	-0.47075690768226	-1.41821959368218	0.0422705314009662	0.102895372489194	0.0638156221981346	1722	tags=18%, list=9%, signal=16%	PRPH2/NEFM/NOS1/GRIA2/NEFL/PRPH/GRIN2A/CHP2
KEGG_ARACHIDONIC_ACID_METABOLISM	KEGG_ARACHIDONIC_ACID_METABOLISM	KEGG_ARACHIDONIC_ACID_METABOLISM	57	-0.462832174255416	-1.41048300251162	0.041816009557945	0.102895372489194	0.0638156221981346	3050	tags=35%, list=16%, signal=30%	CYP2C19/GGT1/CYP2U1/HPGDS/CYP2C8/CYP2E1/GGT7/CYP4F2/PLA2G5/AKR1C3/PLA2G2C/PTGIS/CYP4A11/LTC4S/PLA2G1B/PLA2G10/GGT6/CYP2B6/PLA2G12B
KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS	KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS	KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS	16	-0.580177474615705	-1.40648337756025	0.0896358543417367	0.197412298252634	0.122434938887836	3782	tags=62%, list=19%, signal=50%	CYP27A1/AKR1D1/CYP46A1/CYP39A1/CH25H/ACOX2/CYP8B1/CYP7A1/AKR1C4
KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION	KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION	KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION	44	-0.46924495755605	-1.37793103068173	0.0685785536159601	0.156266497729912	0.0969163485209698	4243	tags=27%, list=22%, signal=21%	VAMP2/CREB3L1/CREB5/AQP3/DYNC2H1/AVP/AQP2/AVPR2/DYNC1I1/AQP4/CREB3L3
KEGG_LONG_TERM_DEPRESSION	KEGG_LONG_TERM_DEPRESSION	KEGG_LONG_TERM_DEPRESSION	68	-0.439437751948835	-1.36964443806911	0.0557491289198606	0.133942712339925	0.083071155875117	4065	tags=37%, list=21%, signal=29%	MAPK3/PLCB4/CACNA1A/PLA2G2F/PRKG1/PLCB1/PPP1R17/GNAI1/IGF1/CRH/PRKG2/GNAZ/GRIA1/PLA2G5/GNAO1/PLA2G2C/GRIA3/NOS1/GRID2/PLA2G1B/PLA2G10/CRHR1/GRIA2/PLA2G12B
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES	KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES	KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES	25	-0.518313771890618	-1.36525633507215	0.103217158176944	0.217476489028213	0.134878732882363	536	tags=32%, list=3%, signal=31%	GCNT2/ST3GAL3/ST3GAL4/B3GALT1/B3GALT5/FUT3/FUT6
KEGG_HISTIDINE_METABOLISM	KEGG_HISTIDINE_METABOLISM	KEGG_HISTIDINE_METABOLISM	27	-0.505826175848771	-1.36332141413872	0.116094986807388	0.234795174667002	0.1456197669343	6624	tags=63%, list=34%, signal=42%	HNMT/HDC/ALDH7A1/ALDH1A3/LCMT2/ACY3/ALDH3B1/ALDH2/UROC1/CNDP1/DDC/ALDH1B1/ASPA/MAOA/FTCD/MAOB
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE	KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE	KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE	26	-0.508065955073499	-1.3512109209972	0.11214953271028	0.233119815184291	0.144580710413017	2775	tags=27%, list=14%, signal=23%	EXTL1/NDST3/NDST4/HS6ST2/HS3ST5/HS6ST3
KEGG_MELANOGENESIS	KEGG_MELANOGENESIS	KEGG_MELANOGENESIS	101	-0.405734613620959	-1.32260494786885	0.0608407079646018	0.142475075613308	0.0883629202950246	4467	tags=39%, list=23%, signal=30%	FZD4/PRKCA/EDN1/FZD1/ADCY4/FZD8/CREB3L4/WNT2B/MAPK3/PLCB4/WNT3A/TYRP1/WNT6/PLCB1/ADCY8/CREB3L1/CALML3/GNAI1/CAMK2G/WNT9B/FZD10/FZD7/WNT16/KIT/FZD9/CALML5/TCF7L1/CAMK2B/WNT7B/CAMK2A/ADCY2/GNAO1/WNT9A/WNT4/WNT7A/WNT11/ADCY5/CREB3L3
KEGG_GAP_JUNCTION	KEGG_GAP_JUNCTION	KEGG_GAP_JUNCTION	87	-0.407862576421682	-1.30923830876406	0.0785634118967452	0.175111219287926	0.108603828747562	4625	tags=37%, list=24%, signal=28%	GRM5/TUBB3/ADCY4/PDGFRA/GUCY1A2/MAPK3/PLCB4/PDGFC/PRKG1/PLCB1/ADCY8/TUBB6/PDGFD/HTR2A/TUBB2A/TUBB8/HTR2B/GNAI1/TUBA1A/TUBB2B/LPAR1/TUBAL3/PRKG2/EGF/ADCY2/TUBA3C/TUBB4A/HTR2C/DRD1/ADCY5/DRD2
KEGG_O_GLYCAN_BIOSYNTHESIS	KEGG_O_GLYCAN_BIOSYNTHESIS	KEGG_O_GLYCAN_BIOSYNTHESIS	26	-0.490706184807031	-1.30504228691374	0.144192256341789	0.275005849724031	0.170558393285459	3355	tags=27%, list=17%, signal=22%	GALNT6/GALNT14/B3GNT6/GALNT8/GALNTL6/GALNT13
KEGG_GLYCOLYSIS_GLUCONEOGENESIS	KEGG_GLYCOLYSIS_GLUCONEOGENESIS	KEGG_GLYCOLYSIS_GLUCONEOGENESIS	60	-0.421678270327366	-1.29513019387244	0.115839243498818	0.234795174667002	0.1456197669343	1658	tags=17%, list=8%, signal=15%	ACSS1/ADH4/LDHC/ADH1A/ADH1C/FBP2/ADH1B/ALDOB/PCK1
KEGG_TGF_BETA_SIGNALING_PATHWAY	KEGG_TGF_BETA_SIGNALING_PATHWAY	KEGG_TGF_BETA_SIGNALING_PATHWAY	85	-0.400454987114486	-1.28717137692722	0.0992196209587514	0.213437556713593	0.132373790508004	4052	tags=31%, list=21%, signal=24%	THBS3/MAPK3/INHBC/INHBB/ID4/BMP4/CHRD/INHBE/LTBP1/NODAL/DCN/GDF5/PITX2/COMP/BMP7/AMHR2/SMAD9/BMP5/GDF7/GDF6/BMPR1B/LEFTY1/NOG/THBS4/LEFTY2
KEGG_NITROGEN_METABOLISM	KEGG_NITROGEN_METABOLISM	KEGG_NITROGEN_METABOLISM	23	-0.495257283255608	-1.28344340398615	0.152406417112299	0.284799870361368	0.176632636525685	2735	tags=30%, list=14%, signal=26%	CA7/CA8/CA1/CA4/CPS1/CA9
KEGG_TERPENOID_BACKBONE_BIOSYNTHESIS	KEGG_TERPENOID_BACKBONE_BIOSYNTHESIS	KEGG_TERPENOID_BACKBONE_BIOSYNTHESIS	15	-0.535110509748338	-1.28033089310582	0.158119658119658	0.292521367521368	0.181421502474134	3	tags=13%, list=0%, signal=13%	HMGCS2
