	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalues	rank	leading_edge	core_enrichment
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	79	0.783318297036158	3.21685323252891	0.00746268656716418	0.0321739130434783	0.0201372997711671	1389	tags=57%, list=7%, signal=53%	KLRC3/KLRC4/KIR3DL2/KIR2DL3/KIR2DL4/KLRC2/TAP1/KLRD1/KIR3DL1/CIITA/HLA-DOA/CD8A/HLA-DQA1/HLA-DPA1/TAP2/KIR3DL3/KIR2DL1/KLRC1/HLA-DMB/CD8B/HLA-DRA/HLA-DQA2/HLA-DRB1/IFI30/HLA-DQB1/HSPA6/CD74/CTSS/PSME2/HLA-DRB5/HLA-DOB/HLA-DPB1/CD4/HLA-DMA/IFNA1/LTA/HLA-F/B2M/HLA-C/HLA-B/HLA-E/PSME1/LGMN/IFNA21/TAPBP
KEGG_GRAFT_VERSUS_HOST_DISEASE	KEGG_GRAFT_VERSUS_HOST_DISEASE	KEGG_GRAFT_VERSUS_HOST_DISEASE	37	0.881514713045592	3.07514401518236	0.004739336492891	0.0315269256987048	0.0197323574785635	1252	tags=84%, list=6%, signal=79%	IFNG/KIR3DL2/GZMB/FASLG/KIR2DL3/PRF1/KLRD1/KIR3DL1/HLA-DOA/CD80/HLA-DQA1/HLA-DPA1/KIR2DL1/KLRC1/HLA-DMB/HLA-DRA/HLA-DQA2/HLA-DRB1/HLA-DQB1/CD86/FAS/HLA-DRB5/HLA-DOB/HLA-DPB1/TNF/HLA-DMA/HLA-F/HLA-C/HLA-B/HLA-E/IL2
KEGG_ALLOGRAFT_REJECTION	KEGG_ALLOGRAFT_REJECTION	KEGG_ALLOGRAFT_REJECTION	35	0.874182647523036	3.03227053143465	0.00467289719626168	0.0315269256987048	0.0197323574785635	1953	tags=89%, list=10%, signal=80%	IFNG/GZMB/FASLG/PRF1/HLA-DOA/CD80/HLA-DQA1/HLA-DPA1/HLA-DMB/HLA-DRA/HLA-DQA2/HLA-DRB1/CD40/HLA-DQB1/CD86/FAS/IL10/HLA-DRB5/HLA-DOB/HLA-DPB1/TNF/HLA-DMA/HLA-F/HLA-C/HLA-B/HLA-E/IL2/IL12B/IL12A/CD28/HLA-A
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	130	0.68806103759747	2.92783732255008	0.0147058823529412	0.0469066937119675	0.0293583858225686	1459	tags=42%, list=7%, signal=39%	IFNG/KLRC3/KIR3DL2/GZMB/FASLG/KIR2DL3/KIR2DL4/KLRC2/CSF2/PRF1/KLRD1/KIR3DL1/FCGR3A/ICAM1/CD244/SH2D1A/NCR1/FCGR3B/KLRK1/KIR2DL1/ITGAL/KLRC1/MICB/LCP2/ZAP70/PRKCG/ITGB2/CD247/NCR2/FAS/TNFSF10/IFNB1/SH2D1B/FCER1G/LCK/TNF/PIK3CG/IFNA1/HCST/PIK3R5/VAV1/PIK3CD/CD48/TYROBP/HLA-C/LAT/HLA-B/HLA-E/TNFRSF10A/TNFRSF10B/IFNA21/PPP3CC/IFNGR1/RAC2
KEGG_LEISHMANIA_INFECTION	KEGG_LEISHMANIA_INFECTION	KEGG_LEISHMANIA_INFECTION	69	0.720694375620155	2.85970838727708	0.00684931506849315	0.0316780821917808	0.0198269646719539	1974	tags=51%, list=10%, signal=46%	IFNG/STAT1/FCGR3A/HLA-DOA/HLA-DQA1/JAK2/FCGR3B/FCGR1A/NOS2/HLA-DPA1/HLA-DMB/HLA-DRA/HLA-DQA2/NCF2/HLA-DRB1/ITGB2/HLA-DQB1/NCF1/IL10/ITGA4/HLA-DRB5/HLA-DOB/HLA-DPB1/TNF/HLA-DMA/FCGR2A/TLR4/CR1/TLR2/IFNGR1/IL12B/ITGAM/IL12A/NCF4/MYD88
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	256	0.584762738477042	2.84723269335759	0.0434782608695652	0.111714975845411	0.0699211797609967	1622	tags=39%, list=8%, signal=36%	IFNG/IL21/CXCL11/CXCL9/CXCL10/FASLG/IFNE/CCL1/CSF2/CCL18/CXCR6/AMH/IL17A/CCL8/IL21R/CCL3/IL18RAP/IL2RB/IL2RA/CXCL13/CCL5/CX3CL1/CCL4/EDAR/XCL2/CCR5/CCR8/IL12RB1/TNFSF13B/CCL7/TNFRSF9/CCR1/CXCL3/IL9R/IL26/IL12RB2/CXCR3/CD40/CXCL1/FAS/IL10/TNFSF10/IFNB1/TNFRSF18/CXCR1/CSF3R/TNFSF14/IL10RA/TNF/CCR3/OSM/CCL20/IFNA1/CXCR2/LTA/CCR2/TNFSF9/XCR1/IL15RA/CCL4L2/RELT/CD70/CXCL5/TNFSF4/IL11/IL22RA2/TNFRSF4/IL3/IL7/IL15/CD27/TNFRSF1B/CSF2RB/TNFSF8/CCL22/CXCL2/XCL1/IL2RG/VEGFA/CSF1R/IL18R1/CCL13/TNFRSF10A/IL2/TNFRSF17/TNFRSF10B/CCL25/IFNA21/TNFRSF8/IFNGR1/TNFRSF14/EPO/LIF/CCL17/CCL3L1/IL12B/IL18/IL22/CSF1/TNFRSF25
KEGG_AUTOIMMUNE_THYROID_DISEASE	KEGG_AUTOIMMUNE_THYROID_DISEASE	KEGG_AUTOIMMUNE_THYROID_DISEASE	50	0.759028783505783	2.82038631845735	0.00564971751412429	0.0315269256987048	0.0197323574785635	1953	tags=62%, list=10%, signal=56%	GZMB/FASLG/PRF1/CTLA4/HLA-DOA/CD80/HLA-DQA1/HLA-DPA1/HLA-DMB/HLA-DRA/HLA-DQA2/HLA-DRB1/CD40/HLA-DQB1/CD86/FAS/IL10/HLA-DRB5/HLA-DOB/HLA-DPB1/HLA-DMA/IFNA1/HLA-F/HLA-C/HLA-B/HLA-E/IL2/IFNA21/TSHR/CD28/HLA-A
KEGG_TYPE_I_DIABETES_MELLITUS	KEGG_TYPE_I_DIABETES_MELLITUS	KEGG_TYPE_I_DIABETES_MELLITUS	41	0.774116546875265	2.79147679414869	0.00497512437810945	0.0315269256987048	0.0197323574785635	1953	tags=78%, list=10%, signal=70%	IFNG/GZMB/GAD1/FASLG/PRF1/HLA-DOA/CD80/HLA-DQA1/HLA-DPA1/HLA-DMB/HLA-DRA/HLA-DQA2/HLA-DRB1/HLA-DQB1/CD86/FAS/HLA-DRB5/HLA-DOB/HLA-DPB1/TNF/HLA-DMA/LTA/HLA-F/HLA-C/HLA-B/HLA-E/IL2/IL12B/HSPD1/IL12A/CD28/HLA-A
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	46	0.75969970197911	2.74343977100424	0.00578034682080925	0.0315269256987048	0.0197323574785635	1343	tags=54%, list=7%, signal=51%	ICOS/HLA-DOA/CD80/HLA-DQA1/ITGB7/TNFSF13B/HLA-DPA1/HLA-DMB/HLA-DRA/HLA-DQA2/HLA-DRB1/CD40/HLA-DQB1/CD86/IL10/ITGA4/HLA-DRB5/HLA-DOB/HLA-DPB1/HLA-DMA/IL15RA/IL15/IL2/TNFRSF17/CCL25
KEGG_PRIMARY_IMMUNODEFICIENCY	KEGG_PRIMARY_IMMUNODEFICIENCY	KEGG_PRIMARY_IMMUNODEFICIENCY	35	0.75981449434714	2.63556261050703	0.00467289719626168	0.0315269256987048	0.0197323574785635	2143	tags=57%, list=11%, signal=51%	TAP1/ICOS/CIITA/CD8A/TAP2/CD8B/PTPRC/CD3D/ZAP70/CD40/CD3E/JAK3/LCK/CD4/ADA/BTK/IL2RG/IGLL1/IL7R/RFX5
