"","II","III","I","IV"
"KEGG_RETINOL_METABOLISM",0.1597419526591,-0.101676214470121,-0.10029471293221,0.0923732623668028
"KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450",0.138750524242301,-0.116920817490668,-0.116787366224629,0.106241254882823
"KEGG_DRUG_METABOLISM_CYTOCHROME_P450",0.138097275776795,-0.111602747404489,-0.120997098636643,0.106328753468722
"KEGG_STEROID_HORMONE_BIOSYNTHESIS",0.152976719881775,-0.0632369532896559,-0.107977503870753,0.0910867181273874
"KEGG_ASCORBATE_AND_ALDARATE_METABOLISM",0.164718458604436,-0.0781335707603586,-0.115670547430924,0.0955513046229985
"KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS",0.142324892772239,-0.0366548625991909,-0.131580625285815,0.0365341856391144
"KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG",0.171546071518978,-0.0290459782790163,-0.0916028606135291,0.05856311706571
"KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM",0.0676681541342751,-0.0123521017426374,0.00542520785380389,0.0238645949137792
"KEGG_DRUG_METABOLISM_OTHER_ENZYMES",0.116743333404033,-0.0555323167518253,-0.0265106353223275,0.0289114461221227
"KEGG_STARCH_AND_SUCROSE_METABOLISM",0.0783679986001915,0.0242638928102478,-0.0552174512548874,0.0331847695814905
"KEGG_NITROGEN_METABOLISM",0.0694348172735116,0.0654397714913005,-0.0825357854326098,0.00246977341997543
"KEGG_PPAR_SIGNALING_PATHWAY",0.0816006339902177,0.00782218803530502,-0.118076138519856,0.0274846057162216
"KEGG_OLFACTORY_TRANSDUCTION",0.144944572962808,0.0671788654454988,0.0173466967516832,0.122986876762369
"KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION",0.0477581883585652,0.00383938892938466,-0.0404353528225027,0.111512493225844
"KEGG_SELENOAMINO_ACID_METABOLISM",-0.00770670000690988,0.0594798406436115,-0.0430767548718668,-0.0995336205284962
"KEGG_RENIN_ANGIOTENSIN_SYSTEM",0.0836504298284842,0.0488465602996407,-0.0131420044902961,0.0695904579392304
