"","II","III","I","IV"
"KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION",-0.223833065411421,0.0744230025881415,0.351499739777211,-0.00141454381993415
"KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION",-0.0934979584133539,0.0971908535885707,0.175183487397767,0.0340752450557097
"KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY",-0.169322842656473,0.0993465420964298,0.255511115336724,-0.012760382659358
"KEGG_GRAFT_VERSUS_HOST_DISEASE",-0.305005841897085,0.131975991356738,0.422299628065816,0.0191208968641741
"KEGG_HEMATOPOIETIC_CELL_LINEAGE",-0.131908213269714,0.104394658001637,0.188048234822198,0.0554489563404369
"KEGG_AUTOIMMUNE_THYROID_DISEASE",-0.186798746212471,0.0947130385469985,0.351712686621685,0.085112524928338
"KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION",-0.185075951480487,0.0707959679819426,0.295940079966379,0.0605249418606905
"KEGG_LEISHMANIA_INFECTION",-0.20534663502419,0.15653370933939,0.241070121640936,-0.0315652874937712
"KEGG_ALLOGRAFT_REJECTION",-0.286031233676571,0.111800699456081,0.398397589947599,0.0285748783975532
"KEGG_TYPE_I_DIABETES_MELLITUS",-0.237204147126762,0.129392175904557,0.357390577423719,0.0121448199974094
"KEGG_PRIMARY_IMMUNODEFICIENCY",-0.228217917417059,0.0336450871156116,0.37909506924394,0.0498667183614874
"KEGG_RIBOSOME",-0.0167236071994322,-0.211244415793269,0.0384475820423341,0.0890892038680707
"KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS",-0.019123526500484,-0.0563031661662429,0.112546395828729,0.0455751142779103
"KEGG_PROTEASOME",-0.0860394246336172,0.00675823953158085,0.217702487050841,-0.0831539100443242
