	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalues	rank	leading_edge	core_enrichment
REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	83	-0.621052681109998	-1.89658218821859	0.00106723585912487	0.0591780821917808	0.0443162701273732	5002	tags=58%, list=26%, signal=43%	MMP14/CTSG/COL4A6/COL13A1/COL6A1/COL15A1/COL4A1/COL1A1/COL5A1/COL9A2/COL4A5/COL5A3/MMP24/PCOLCE/TLL2/PLG/COL6A3/COL1A2/TIMP2/COL14A1/CTRB2/CMA1/CTRB1/COL3A1/COL10A1/ADAMTS14/MMP2/COL5A2/COL25A1/COL12A1/MMP16/COL7A1/COL9A3/MMP9/ADAMTS3/COL21A1/PLOD2/COL24A1/COL2A1/ELANE/MMP1/MMP10/PRSS1/MMP8/MMP3/MMP13/PRSS2
REACTOME_AMINE_COMPOUND_SLC_TRANSPORTERS	REACTOME_AMINE_COMPOUND_SLC_TRANSPORTERS	REACTOME_AMINE_COMPOUND_SLC_TRANSPORTERS	27	-0.709943062750549	-1.86510807638896	0.00124378109452736	0.0591780821917808	0.0443162701273732	2407	tags=52%, list=12%, signal=46%	RHAG/SLC18A2/SLC5A7/SLC22A2/SLC6A5/SLC44A4/SLC18A1/SLC6A3/SLC6A7/SLC6A15/SLC6A19/SLC6A18/SLC6A20
REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX	REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX	REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX	29	-0.694607807724768	-1.8365764414363	0.00125	0.0591780821917808	0.0443162701273732	3582	tags=59%, list=18%, signal=48%	PLG/TIMP2/CTRB2/CMA1/CTRB1/MMP2/MMP16/MMP9/ELANE/MMP1/MMP10/PRSS1/MMP8/MMP3/MMP13/PRSS2
REACTOME_TRANSPORT_OF_GLUCOSE_AND_OTHER_SUGARS_BILE_SALTS_AND_ORGANIC_ACIDS_METAL_IONS_AND_AMINE_COMPOUNDS	REACTOME_TRANSPORT_OF_GLUCOSE_AND_OTHER_SUGARS_BILE_SALTS_AND_ORGANIC_ACIDS_METAL_IONS_AND_AMINE_COMPOUNDS	REACTOME_TRANSPORT_OF_GLUCOSE_AND_OTHER_SUGARS_BILE_SALTS_AND_ORGANIC_ACIDS_METAL_IONS_AND_AMINE_COMPOUNDS	89	-0.591237480710249	-1.81890817033605	0.00105820105820106	0.0591780821917808	0.0443162701273732	5353	tags=62%, list=27%, signal=45%	SLC22A11/SLC2A9/SLC16A3/SLC30A1/SLC6A2/SLC10A6/SLC16A7/SLC44A5/SLC39A10/SLC5A3/SLC2A2/SLC2A13/SLC39A4/SLC13A5/SLC22A7/SLC2A4/SLC13A1/CP/SLC22A1/SLC40A1/SLC22A12/SLC13A2/SLC22A8/SLC2A10/HEPH/SLC2A3/RHCG/SLC5A11/SLC39A5/SLC22A4/RHAG/SLC5A1/SLC2A12/SLC18A2/SLC5A7/SLC11A1/SLC22A2/SLC2A7/SLC30A2/SLC13A3/SLC22A6/SLC6A5/SLC39A8/SLC22A15/SLC44A4/SLC18A1/SLC6A3/SLC22A16/SLC22A3/SLC6A7/SLC6A15/SLC6A19/SLC6A18/SLC6A20
REACTOME_PASSIVE_TRANSPORT_BY_AQUAPORINS	REACTOME_PASSIVE_TRANSPORT_BY_AQUAPORINS	REACTOME_PASSIVE_TRANSPORT_BY_AQUAPORINS	11	-0.841334110360545	-1.80685358548795	0.00139470013947001	0.0591780821917808	0.0443162701273732	1699	tags=64%, list=9%, signal=58%	AQP7/AQP8/AQP10/AQP2/AQP9/AQP5
REACTOME_AMINO_ACID_TRANSPORT_ACROSS_THE_PLASMA_MEMBRANE	REACTOME_AMINO_ACID_TRANSPORT_ACROSS_THE_PLASMA_MEMBRANE	REACTOME_AMINO_ACID_TRANSPORT_ACROSS_THE_PLASMA_MEMBRANE	31	-0.669686727276607	-1.80320453413654	0.00121359223300971	0.0591780821917808	0.0443162701273732	2432	tags=42%, list=12%, signal=37%	SLC36A2/SLC43A1/SLC38A5/SLC38A4/SLC16A10/SLC3A1/SLC38A3/SLC6A15/SLC6A19/SLC6A18/SLC7A2/SLC6A20
REACTOME_SYNTHESIS_SECRETION_AND_INACTIVATION_OF_GIP	REACTOME_SYNTHESIS_SECRETION_AND_INACTIVATION_OF_GIP	REACTOME_SYNTHESIS_SECRETION_AND_INACTIVATION_OF_GIP	13	-0.794955247820847	-1.79035909526315	0.00269905533063428	0.0591780821917808	0.0443162701273732	1191	tags=31%, list=6%, signal=29%	GPR119/DPP4/GIP
REACTOME_NA_CL_DEPENDENT_NEUROTRANSMITTER_TRANSPORTERS	REACTOME_NA_CL_DEPENDENT_NEUROTRANSMITTER_TRANSPORTERS	REACTOME_NA_CL_DEPENDENT_NEUROTRANSMITTER_TRANSPORTERS	17	-0.750337383145214	-1.77609422054076	0.00136239782016349	0.0591780821917808	0.0443162701273732	1991	tags=59%, list=10%, signal=53%	SLC22A2/SLC6A5/SLC18A1/SLC6A3/SLC6A7/SLC6A15/SLC6A19/SLC6A18/SLC6A20
REACTOME_DEFENSINS	REACTOME_DEFENSINS	REACTOME_DEFENSINS	46	-0.617048334200589	-1.76046643895235	0.00117647058823529	0.0591780821917808	0.0443162701273732	3614	tags=46%, list=19%, signal=37%	DEFB118/DEFB103A/DEFB115/TLR2/DEFB126/DEFB125/DEFB123/DEFB119/DEFB103B/DEFB124/DEFB116/DEFA4/DEFB4B/DEFB107A/DEFB134/DEFB127/DEFB136/DEFA6/PRSS2/DEFA5
REACTOME_COMMON_PATHWAY	REACTOME_COMMON_PATHWAY	REACTOME_COMMON_PATHWAY	14	-0.765983643721207	-1.75595720787073	0.00540540540540541	0.0591780821917808	0.0443162701273732	2598	tags=71%, list=13%, signal=62%	THBD/F2/PROS1/PROC/F13B/F5/F10/PF4/PF4V1
