	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalues	rank	leading_edge	core_enrichment
REACTOME_INTERFERON_GAMMA_SIGNALING	REACTOME_INTERFERON_GAMMA_SIGNALING	REACTOME_INTERFERON_GAMMA_SIGNALING	59	0.775365524193827	2.99833304505048	0.00819672131147541	0.0738461538461539	0.0557804768331084	1893	tags=58%, list=10%, signal=52%	IFNG/GBP4/GBP5/CIITA/GBP1/HLA-DQA1/HLA-DQA2/IRF1/HLA-DPB1/HLA-DPA1/OASL/GBP6/OAS2/HLA-DRB1/SOCS1/GBP2/HLA-F/STAT1/IRF4/FCGR1A/PML/JAK2/IRF8/FCGR1B/GBP7/B2M/IRF3/VCAM1/IRF7/HLA-A/OAS3/OAS1/HLA-C/HLA-B
REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL	REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL	REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL	58	0.778320830768072	2.97197148583269	0.00813008130081301	0.0738461538461539	0.0557804768331084	1317	tags=57%, list=7%, signal=53%	KIR3DL2/CD8A/CRTAM/CD8B/KLRK1/KIR2DL4/CD3E/KLRC1/KIR3DL1/CD3D/CD3G/CD96/HCST/KLRD1/KIR2DL3/CD19/CD247/ITGAL/CD200R1/ITGB7/C3/CD160/CD226/HLA-F/KIR2DL1/LILRB1/B2M/IFITM1/FCGR3A/CD40/TYROBP/VCAM1/HLA-A
REACTOME_INTERFERON_SIGNALING	REACTOME_INTERFERON_SIGNALING	REACTOME_INTERFERON_SIGNALING	151	0.657066875102057	2.9155842728325	0.0277777777777778	0.114649681528662	0.086601854955861	2609	tags=40%, list=13%, signal=35%	IFNG/GBP4/GBP5/CIITA/GBP1/HLA-DQA1/HLA-DQA2/IRF1/HLA-DPB1/HLA-DPA1/UBE2L6/OASL/GBP6/OAS2/HLA-DRB1/SOCS1/XAF1/GBP2/HLA-F/STAT1/IRF4/FCGR1A/IFIT3/MX1/UBA7/PSMB8/PML/JAK2/IFNA1/IFNA10/ISG15/IFI6/IRF8/FCGR1B/IFI35/GBP7/IFITM3/B2M/ISG20/IFI27/IFITM1/IRF3/VCAM1/IRF7/HLA-A/USP18/OAS3/STAT2/OAS1/TYK2/HLA-C/HLA-B/IFNA14/UBA52/IRF9/NUP62/ICAM1/TRIM25/PIN1/MT2A/IFNA16
REACTOME_TCR_SIGNALING	REACTOME_TCR_SIGNALING	REACTOME_TCR_SIGNALING	50	0.761742582305197	2.84619251478297	0.0072463768115942	0.0738461538461539	0.0557804768331084	1686	tags=48%, list=9%, signal=44%	TRAT1/CD3E/CD3D/CD3G/ITK/GRAP2/ZAP70/PRKCQ/CD247/HLA-DQA1/HLA-DQA2/HLA-DPB1/HLA-DPA1/HLA-DRB1/LCK/EVL/WAS/PTPRC/CARD11/LAT/CSK/VASP/CD4/PIK3R2
REACTOME_INTERFERON_ALPHA_BETA_SIGNALING	REACTOME_INTERFERON_ALPHA_BETA_SIGNALING	REACTOME_INTERFERON_ALPHA_BETA_SIGNALING	62	0.71505776151681	2.78349226196011	0.00892857142857143	0.0738966814916182	0.0558186434269046	2271	tags=55%, list=12%, signal=49%	IRF1/OASL/OAS2/SOCS1/XAF1/GBP2/HLA-F/STAT1/IRF4/IFIT3/MX1/PSMB8/IFNA1/IFNA10/ISG15/IFI6/IRF8/IFI35/IFITM3/ISG20/IFI27/IFITM1/IRF3/IRF7/HLA-A/USP18/OAS3/STAT2/OAS1/TYK2/HLA-C/HLA-B/IFNA14/IRF9
REACTOME_RNA_POL_I_PROMOTER_OPENING	REACTOME_RNA_POL_I_PROMOTER_OPENING	REACTOME_RNA_POL_I_PROMOTER_OPENING	57	0.703181231266375	2.71994840849936	0.0078740157480315	0.0738461538461539	0.0557804768331084	2074	tags=46%, list=11%, signal=41%	HIST1H4F/HIST1H4A/HIST1H3I/HIST1H2BM/HIST1H4B/HIST2H3D/HIST2H2AA3/HIST1H2AJ/HIST2H2AA4/HIST1H4E/H2AFX/HIST1H2BF/HIST1H4C/HIST1H2BK/HIST1H2BI/HIST1H4I/HIST1H2BO/HIST1H2BB/HIST2H4B/HIST1H2AB/HIST1H2AD/HIST1H2BL/HIST1H4L/HIST1H3F/HIST2H2AC/HIST1H3E
REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES	REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES	REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES	25	0.847451820359503	2.71155059413307	0.004739336492891	0.0738461538461539	0.0557804768331084	1681	tags=72%, list=9%, signal=66%	CD3E/CD3D/CD3G/ITK/GRAP2/ZAP70/CD247/HLA-DQA1/HLA-DQA2/HLA-DPB1/HLA-DPA1/HLA-DRB1/LCK/EVL/WAS/LAT/VASP/CD4
REACTOME_PEPTIDE_CHAIN_ELONGATION	REACTOME_PEPTIDE_CHAIN_ELONGATION	REACTOME_PEPTIDE_CHAIN_ELONGATION	85	0.651519172698055	2.70076191500708	0.012987012987013	0.0858505564387917	0.0648481298636097	5377	tags=81%, list=28%, signal=59%	RPL35/RPS15/RPL36/RPL18A/RPL28/RPS28/RPS19/RPS27/RPLP2/RPS26/RPS16/RPL26/RPL18/RPL38/RPS9/RPS10/RPL24/RPL39/RPL32/RPS20/RPLP1/RPL6/RPL10/UBA52/RPS25/RPS29/RPL13A/RPL27A/RPL34/RPL9/RPS2/RPS21/RPL35A/RPL29/RPL22/RPS14/RPL7A/RPL13/RPL26L1/RPL27/RPS11/RPS24/RPL17/RPL37A/RPS12/RPL37/RPSA/RPS17/RPL23A/RPS27A/RPL41/RPL36A/FAU/RPL11/RPL8/RPL15/RPS5/RPL21/RPL14/RPS18/RPL31/RPS7/RPS4Y1/RPS3/EEF2/RPL10A/RPS3A/RPS8/RPL3
REACTOME_3_UTR_MEDIATED_TRANSLATIONAL_REGULATION	REACTOME_3_UTR_MEDIATED_TRANSLATIONAL_REGULATION	REACTOME_3_UTR_MEDIATED_TRANSLATIONAL_REGULATION	105	0.617412785353835	2.68824353796937	0.0158730158730159	0.0858505564387917	0.0648481298636097	4208	tags=59%, list=22%, signal=47%	RPL35/RPS15/RPL36/RPL18A/RPL28/RPS28/RPS19/RPS27/RPLP2/RPS26/RPS16/RPL26/RPL18/RPL38/RPS9/RPS10/RPL24/RPL39/EIF3K/RPL32/RPS20/RPLP1/RPL6/RPL10/UBA52/RPS25/RPS29/RPL13A/RPL27A/RPL34/RPL9/RPS2/RPS21/RPL35A/RPL29/RPL22/EIF3G/RPS14/RPL7A/RPL13/RPL26L1/RPL27/RPS11/RPS24/RPL17/RPL37A/RPS12/RPL37/RPSA/RPS17/RPL23A/RPS27A/RPL41/RPL36A/FAU/RPL11/EIF2S2/RPL8/RPL15/EIF3J/RPS5/RPL21
REACTOME_INFLUENZA_VIRAL_RNA_TRANSCRIPTION_AND_REPLICATION	REACTOME_INFLUENZA_VIRAL_RNA_TRANSCRIPTION_AND_REPLICATION	REACTOME_INFLUENZA_VIRAL_RNA_TRANSCRIPTION_AND_REPLICATION	101	0.618596656061948	2.65719833082835	0.0158730158730159	0.0858505564387917	0.0648481298636097	5377	tags=74%, list=28%, signal=54%	RPL35/RPS15/RPL36/RPL18A/RPL28/RPS28/RPS19/RPS27/POLR2L/RPLP2/RPS26/RPS16/RPL26/RPL18/RPL38/RPS9/RPS10/RPL24/RPL39/RPL32/RPS20/RPLP1/RPL6/RPL10/UBA52/RPS25/RPS29/RPL13A/RPL27A/RPL34/RPL9/GTF2F1/POLR2I/RPS2/RPS21/RPL35A/RPL29/RPL22/RPS14/RPL7A/RPL13/RPL26L1/POLR2F/RPL27/RPS11/RPS24/RPL17/RPL37A/RPS12/RPL37/RPSA/RPS17/RPL23A/RPS27A/RPL41/RPL36A/FAU/RPL11/RPL8/RPL15/RPS5/POLR2E/RPL21/RPL14/RPS18/RPL31/POLR2A/RPS7/RPS4Y1/RPS3/POLR2J/RPL10A/RPS3A/RPS8/RPL3
