	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalues	rank	leading_edge	core_enrichment
REACTOME_BIOLOGICAL_OXIDATIONS	REACTOME_BIOLOGICAL_OXIDATIONS	REACTOME_BIOLOGICAL_OXIDATIONS	137	-0.65720880195341	-2.26896165467789	0.0014792899408284	0.0180899472376539	0.0120482104734212	2643	tags=42%, list=14%, signal=37%	CYP2A13/PAPSS2/CYP24A1/CYP51A1/CYP2C8/CYP2E1/SULT1A1/SULT1B1/ADH6/UGT2A1/CYP4F12/CYP2J2/CYP7A1/CYP8B1/CYP4B1/ADH4/MAOA/CYP2C19/CYP3A43/CYP1A1/ADH1C/CYP4F3/UGT2B7/CYP2D6/CYP2A6/CYP19A1/CYP4F8/CYP39A1/UGT2B10/GSTA4/ACSS1/CYP3A5/GGT7/CYP4A11/UGT1A4/SULT1C2/GGT1/GSTA3/SULT2A1/UGT2B11/SULT1A2/UGT1A3/CYP17A1/UGT1A5/CYP2W1/CYP4F2/CYP3A4/SULT4A1/UGT1A9/UGT1A6/UGT1A7/GSTA1/CYP2B6/GSTA2/NAT2/UGT1A1/UGT1A8
REACTOME_PHASE_II_CONJUGATION	REACTOME_PHASE_II_CONJUGATION	REACTOME_PHASE_II_CONJUGATION	69	-0.69697620171862	-2.18635759435296	0.0015748031496063	0.0180899472376539	0.0120482104734212	1249	tags=36%, list=6%, signal=34%	SULT1B1/UGT2A1/UGT2B7/UGT2B10/GSTA4/GGT7/UGT1A4/SULT1C2/GGT1/GSTA3/SULT2A1/UGT2B11/SULT1A2/UGT1A3/UGT1A5/SULT4A1/UGT1A9/UGT1A6/UGT1A7/GSTA1/GSTA2/NAT2/UGT1A1/UGT1A8
REACTOME_CYTOCHROME_P450_ARRANGED_BY_SUBSTRATE_TYPE	REACTOME_CYTOCHROME_P450_ARRANGED_BY_SUBSTRATE_TYPE	REACTOME_CYTOCHROME_P450_ARRANGED_BY_SUBSTRATE_TYPE	50	-0.688324423672364	-2.0525284584979	0.00156739811912226	0.0180899472376539	0.0120482104734212	2764	tags=56%, list=14%, signal=48%	CYP3A7/CYP2A13/CYP24A1/CYP51A1/CYP2C8/CYP2E1/CYP4F12/CYP2J2/CYP7A1/CYP8B1/CYP4B1/CYP2C19/CYP3A43/CYP1A1/CYP4F3/CYP2D6/CYP2A6/CYP19A1/CYP4F8/CYP39A1/CYP3A5/CYP4A11/CYP17A1/CYP2W1/CYP4F2/CYP3A4/CYP2B6
REACTOME_GLUCURONIDATION	REACTOME_GLUCURONIDATION	REACTOME_GLUCURONIDATION	18	-0.853713220763026	-2.0358811984838	0.00173913043478261	0.0180899472376539	0.0120482104734212	1249	tags=67%, list=6%, signal=62%	UGT2B7/UGT2B10/UGT1A4/UGT2B11/UGT1A3/UGT1A5/UGT1A9/UGT1A6/UGT1A7/UGT1A1/UGT1A8
REACTOME_REGULATION_OF_BETA_CELL_DEVELOPMENT	REACTOME_REGULATION_OF_BETA_CELL_DEVELOPMENT	REACTOME_REGULATION_OF_BETA_CELL_DEVELOPMENT	30	-0.74423474981772	-2.01884163196212	0.00162866449511401	0.0180899472376539	0.0120482104734212	2528	tags=63%, list=13%, signal=55%	HNF1A/ONECUT3/FOXA3/FGF10/NR5A2/HNF4A/GCK/NKX6-1/HNF1B/PDX1/FOXA2/PKLR/NEUROD1/INSM1/ONECUT1/SLC2A2/NKX2-2/NEUROG3
REACTOME_PHASE1_FUNCTIONALIZATION_OF_COMPOUNDS	REACTOME_PHASE1_FUNCTIONALIZATION_OF_COMPOUNDS	REACTOME_PHASE1_FUNCTIONALIZATION_OF_COMPOUNDS	69	-0.633763998738559	-1.98806606058115	0.0015748031496063	0.0180899472376539	0.0120482104734212	2764	tags=48%, list=14%, signal=41%	CYP3A7/CYP2A13/CYP24A1/CYP51A1/CYP2C8/CYP2E1/ADH6/CYP4F12/CYP2J2/CYP7A1/CYP8B1/CYP4B1/ADH4/MAOA/CYP2C19/CYP3A43/CYP1A1/ADH1C/CYP4F3/CYP2D6/CYP2A6/CYP19A1/CYP4F8/CYP39A1/ACSS1/CYP3A5/CYP4A11/CYP17A1/CYP2W1/CYP4F2/CYP3A4/CYP2B6
REACTOME_AMINO_ACID_TRANSPORT_ACROSS_THE_PLASMA_MEMBRANE	REACTOME_AMINO_ACID_TRANSPORT_ACROSS_THE_PLASMA_MEMBRANE	REACTOME_AMINO_ACID_TRANSPORT_ACROSS_THE_PLASMA_MEMBRANE	31	-0.687165200107232	-1.87734963716386	0.00163398692810458	0.0180899472376539	0.0120482104734212	1688	tags=42%, list=9%, signal=38%	SLC7A10/SLC7A3/SLC43A1/SLC7A2/SLC6A15/SLC38A3/SLC7A9/SLC38A4/SLC6A18/SLC3A1/SLC6A20/SLC6A19
REACTOME_FORMATION_OF_FIBRIN_CLOT_CLOTTING_CASCADE	REACTOME_FORMATION_OF_FIBRIN_CLOT_CLOTTING_CASCADE	REACTOME_FORMATION_OF_FIBRIN_CLOT_CLOTTING_CASCADE	31	-0.68333181263472	-1.86687674275724	0.00163398692810458	0.0180899472376539	0.0120482104734212	1648	tags=45%, list=8%, signal=41%	F13B/KNG1/GP9/F12/FGB/F10/F11/F5/PF4V1/F2/PF4/PROC/F7
REACTOME_LIGAND_GATED_ION_CHANNEL_TRANSPORT	REACTOME_LIGAND_GATED_ION_CHANNEL_TRANSPORT	REACTOME_LIGAND_GATED_ION_CHANNEL_TRANSPORT	21	-0.755781656520299	-1.85082284507733	0.00341296928327645	0.0186598324070608	0.0124277636239359	3722	tags=76%, list=19%, signal=62%	HTR3A/GABRA2/GABRA6/GABRB1/GABRG2/GABRB3/GABRG3/HTR3C/HTR3B/GLRB/GLRA2/GABRA4/GABRB2/GABRR1/GABRA3
REACTOME_O_LINKED_GLYCOSYLATION_OF_MUCINS	REACTOME_O_LINKED_GLYCOSYLATION_OF_MUCINS	REACTOME_O_LINKED_GLYCOSYLATION_OF_MUCINS	51	-0.614223279470853	-1.84091600067875	0.00155763239875389	0.0180899472376539	0.0120482104734212	1377	tags=35%, list=7%, signal=33%	MUC5B/MUC13/B3GNT6/B3GNT8/MUC7/GALNT13/MUC21/MUC6/GALNTL6/MUC2/MUC5AC/GALNT8/GCNT3/B3GNT7/MUC12/MUC17/MUC15
