	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalues	rank	leading_edge	core_enrichment
REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL	REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL	REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL	58	0.902916885154426	2.94386219010817	0.00260416666666667	0.016191904047976	0.0106525684526158	983	tags=79%, list=5%, signal=76%	CD8A/CRTAM/KIR3DL2/CD8B/KIR2DL4/KIR3DL1/KIR2DL3/KIR2DL1/KLRD1/KLRK1/KLRC1/CD96/CD3E/CD3D/CD3G/FCGR3A/ITGAL/CD247/LILRB4/CD226/HCST/ITGB7/ITGB2/ICAM1/LILRB1/LILRB2/ICAM3/CD200R1/TYROBP/CD40/SELL/IFITM1/LILRB5/VCAM1/FCGR2B/HLA-F/CD40LG/C3/CD19/LILRA1/LILRB3/HLA-C/HLA-B/B2M/CD160/HLA-A
REACTOME_INTERFERON_SIGNALING	REACTOME_INTERFERON_SIGNALING	REACTOME_INTERFERON_SIGNALING	151	0.74618261700318	2.79816002008014	0.00320512820512821	0.0166529605263158	0.0109558950831025	1704	tags=44%, list=9%, signal=40%	IFNG/GBP5/GBP4/GBP1/HLA-DQA1/HLA-DPA1/HLA-DQA2/CIITA/GBP6/FCGR1B/FCGR1A/HLA-DRB1/IRF1/IRF4/HLA-DPB1/UBE2L6/STAT1/IFIT3/HLA-DRB5/OAS2/ICAM1/GBP2/IFIT2/XAF1/JAK2/OASL/IFITM1/GBP7/VCAM1/HLA-F/SOCS1/MX1/USP18/OAS3/PSMB8/IFI35/ISG20/HLA-C/HLA-B/PTAFR/ISG15/B2M/IFIT1/IRF8/PML/STAT2/DDX58/HLA-A/UBA7/IFNB1/IFNA1/NUP210/IFITM3/MT2A/IFI27/IFNA21/IRF7/SP100/HLA-G/IRF5/IFI6/HERC5/IRF9/OAS1/PTPN6/SOCS3
REACTOME_INTERFERON_GAMMA_SIGNALING	REACTOME_INTERFERON_GAMMA_SIGNALING	REACTOME_INTERFERON_GAMMA_SIGNALING	59	0.853879919736478	2.79762813506355	0.0026525198938992	0.016191904047976	0.0106525684526158	1814	tags=75%, list=9%, signal=68%	IFNG/GBP5/GBP4/GBP1/HLA-DQA1/HLA-DPA1/HLA-DQA2/CIITA/GBP6/FCGR1B/FCGR1A/HLA-DRB1/IRF1/IRF4/HLA-DPB1/STAT1/HLA-DRB5/OAS2/ICAM1/GBP2/JAK2/OASL/GBP7/VCAM1/HLA-F/SOCS1/OAS3/HLA-C/HLA-B/PTAFR/B2M/IRF8/PML/HLA-A/MT2A/IRF7/SP100/HLA-G/IRF5/IRF9/OAS1/PTPN6/SOCS3/IFNGR1
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM	REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM	REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM	261	0.691697112443137	2.76792417368627	0.0034965034965035	0.0170877063446021	0.0112419120688172	2540	tags=43%, list=13%, signal=38%	IFNG/GBP5/GBP4/IL2RB/GBP1/HLA-DQA1/HLA-DPA1/HLA-DQA2/CIITA/GBP6/IL2RA/FCGR1B/FCGR1A/HLA-DRB1/IRF1/IRF4/IL2/HLA-DPB1/UBE2L6/STAT1/IFIT3/LCK/HLA-DRB5/OAS2/ICAM1/GBP2/IFIT2/XAF1/JAK3/JAK2/PIK3CD/OASL/CASP1/HCK/IFITM1/VAV1/IL2RG/GBP7/VCAM1/HLA-F/IL7R/SOCS1/CSF2RB/CSF2/CSF2RA/MX1/USP18/NOD2/OAS3/PSMB8/IFI35/ISG20/HLA-C/HLA-B/PTAFR/ISG15/B2M/IFIT1/IRF8/PML/STAT5A/STAT2/DDX58/HLA-A/IL3/UBA7/IL6/IFNB1/IFNA1/RIPK2/NUP210/IL18/IFITM3/MT2A/IFI27/IFNA21/IRF7/SP100/HLA-G/IL7/IRF5/LYN/IFI6/HERC5/IRF9/NFKB2/OAS1/MAP3K8/PTPN6/IL5RA/SOCS3/IL1RN/IFNGR1/IRAK3/MYD88/CISH/IL6R/IL1R2/ADAR/EIF2AK2/FYN/IRF3/RAPGEF1/MAP3K3/IRF2/TYK2/IFNAR2/NUP205/PTK2B/NOD1/NUP62/EIF4A1
REACTOME_COSTIMULATION_BY_THE_CD28_FAMILY	REACTOME_COSTIMULATION_BY_THE_CD28_FAMILY	REACTOME_COSTIMULATION_BY_THE_CD28_FAMILY	61	0.830813189756113	2.73680484656443	0.00261096605744125	0.016191904047976	0.0106525684526158	535	tags=38%, list=3%, signal=37%	CD274/PDCD1/HLA-DQA1/CD3E/CD3D/ICOS/CTLA4/CD3G/HLA-DPA1/CD247/BTLA/HLA-DQA2/PDCD1LG2/GRAP2/HLA-DRB1/HLA-DPB1/LCK/HLA-DRB5/CD80/CD86/CD4/VAV1/CD28
REACTOME_INTERFERON_ALPHA_BETA_SIGNALING	REACTOME_INTERFERON_ALPHA_BETA_SIGNALING	REACTOME_INTERFERON_ALPHA_BETA_SIGNALING	62	0.802854040018968	2.6667352027304	0.00259067357512953	0.016191904047976	0.0106525684526158	2400	tags=69%, list=12%, signal=61%	IRF1/IRF4/STAT1/IFIT3/OAS2/GBP2/IFIT2/XAF1/OASL/IFITM1/HLA-F/SOCS1/MX1/USP18/OAS3/PSMB8/IFI35/ISG20/HLA-C/HLA-B/ISG15/IFIT1/IRF8/STAT2/HLA-A/IFNB1/IFNA1/IFITM3/IFI27/IFNA21/IRF7/HLA-G/IRF5/IFI6/IRF9/OAS1/PTPN6/SOCS3/ADAR/IRF3/IRF2/TYK2/IFNAR2
REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES	REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES	REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES	50	0.823891869703792	2.61016973187318	0.00256410256410256	0.016191904047976	0.0106525684526158	1109	tags=62%, list=6%, signal=59%	CXCL9/CXCL10/CXCL11/CXCL13/CCL5/XCL2/CXCR6/CCR5/CCL4/CXCR3/XCR1/CCR2/CCR8/CX3CL1/CXCR5/CCL19/CCL25/CCR7/CCL3/CCL7/CCL17/CCR1/CCL21/XCL1/CCR4/CCL22/CXCR4/CCL3L1/CCL11/CXCL3/CCR3
REACTOME_TCR_SIGNALING	REACTOME_TCR_SIGNALING	REACTOME_TCR_SIGNALING	50	0.822295844221191	2.60511336761086	0.00256410256410256	0.016191904047976	0.0106525684526158	1145	tags=46%, list=6%, signal=43%	TRAT1/HLA-DQA1/ITK/CD3E/CD3D/CD3G/ZAP70/HLA-DPA1/PRKCQ/CD247/HLA-DQA2/GRAP2/PTPRC/HLA-DRB1/HLA-DPB1/LCK/HLA-DRB5/LCP2/CD4/WAS/EVL/LAT/RIPK2
REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES	REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES	REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES	25	0.914831989160733	2.54843252145246	0.00239234449760766	0.016191904047976	0.0106525684526158	941	tags=76%, list=5%, signal=72%	HLA-DQA1/ITK/CD3E/CD3D/CD3G/ZAP70/HLA-DPA1/CD247/HLA-DQA2/GRAP2/HLA-DRB1/HLA-DPB1/LCK/HLA-DRB5/LCP2/CD4/WAS/EVL/LAT
REACTOME_DOWNSTREAM_TCR_SIGNALING	REACTOME_DOWNSTREAM_TCR_SIGNALING	REACTOME_DOWNSTREAM_TCR_SIGNALING	34	0.847064541178801	2.49953315065781	0.00248138957816377	0.016191904047976	0.0106525684526158	350	tags=41%, list=2%, signal=41%	TRAT1/HLA-DQA1/CD3E/CD3D/CD3G/HLA-DPA1/PRKCQ/CD247/HLA-DQA2/HLA-DRB1/HLA-DPB1/LCK/HLA-DRB5/CD4
