	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalues	rank	leading_edge	core_enrichment
REACTOME_BIOLOGICAL_OXIDATIONS	REACTOME_BIOLOGICAL_OXIDATIONS	REACTOME_BIOLOGICAL_OXIDATIONS	137	-0.589204421157797	-1.99501504187809	0.00107066381156317	0.02842603965608	0.0166695911563432	3066	tags=39%, list=16%, signal=33%	GGT1/CYP2U1/GSTP1/SULT1A1/CYP46A1/CYP11B2/CYP2C8/CYP19A1/CYP2A6/CYP11A1/CYP2E1/SULT1C4/UGT2B17/MAOA/GSTA4/GGT7/CYP4F2/CYP39A1/UGT1A4/SULT2A1/ACSS1/SULT1C2/ADH4/CYP17A1/CYP8B1/UGT1A3/SULT1A2/CYP1A1/CYP7A1/GSTA3/UGT2B11/PTGIS/CYP2W1/GSTM5/CYP4A11/CYP4B1/MAOB/UGT1A6/UGT1A5/ADH1A/CYP3A4/CYP2B6/ADH1C/UGT1A7/UGT1A9/ADH1B/NAT2/UGT1A1/UGT1A8/GSTA1/GSTA2/SULT4A1
REACTOME_NCAM1_INTERACTIONS	REACTOME_NCAM1_INTERACTIONS	REACTOME_NCAM1_INTERACTIONS	39	-0.687326518982327	-1.98171795565537	0.00127226463104326	0.02842603965608	0.0166695911563432	2762	tags=54%, list=14%, signal=46%	ARTN/CACNB4/GFRA4/NCAM1/COL4A3/CACNA1G/CACNA1H/ST8SIA2/CACNA1S/GFRA2/GDNF/COL2A1/COL9A3/CACNB2/COL4A4/COL9A1/COL4A5/CNTN2/NRTN/GFRA1
REACTOME_PHASE1_FUNCTIONALIZATION_OF_COMPOUNDS	REACTOME_PHASE1_FUNCTIONALIZATION_OF_COMPOUNDS	REACTOME_PHASE1_FUNCTIONALIZATION_OF_COMPOUNDS	69	-0.623128511159215	-1.96222673455398	0.00119331742243437	0.02842603965608	0.0166695911563432	4616	tags=55%, list=24%, signal=42%	PTGS1/CYP4F12/CYP2D6/CYP1B1/CYP26C1/CYP3A7/CYP4F8/CYP26A1/CYP2C19/CYP3A5/CYP2U1/CYP46A1/CYP11B2/CYP2C8/CYP19A1/CYP2A6/CYP11A1/CYP2E1/MAOA/CYP4F2/CYP39A1/ACSS1/ADH4/CYP17A1/CYP8B1/CYP1A1/CYP7A1/PTGIS/CYP2W1/CYP4A11/CYP4B1/MAOB/ADH1A/CYP3A4/CYP2B6/ADH1C/ADH1B
REACTOME_CLASS_B_2_SECRETIN_FAMILY_RECEPTORS	REACTOME_CLASS_B_2_SECRETIN_FAMILY_RECEPTORS	REACTOME_CLASS_B_2_SECRETIN_FAMILY_RECEPTORS	83	-0.606754292464001	-1.95680094463119	0.00115606936416185	0.02842603965608	0.0166695911563432	4297	tags=57%, list=22%, signal=44%	FZD8/GNG11/WNT2B/ADM2/PTCH1/WNT3A/WNT6/GNG8/PTH2R/PTH/SMO/SCT/SHH/WNT9B/PTHLH/RAMP2/GNG12/FZD10/FZD7/GCGR/VIPR1/WNT16/FZD9/CRH/PTCH2/WNT7B/GIP/ADCYAP1/WNT9A/CRHR2/PTH1R/GHRH/GLP2R/SCTR/WNT4/WNT7A/IHH/VIPR2/GLP1R/RAMP1/ADCYAP1R1/WNT11/VIP/GCG/GNGT1/CALCA
REACTOME_AMINE_LIGAND_BINDING_RECEPTORS	REACTOME_AMINE_LIGAND_BINDING_RECEPTORS	REACTOME_AMINE_LIGAND_BINDING_RECEPTORS	37	-0.686226147829992	-1.95576904548526	0.00127713920817369	0.02842603965608	0.0166695911563432	3378	tags=57%, list=17%, signal=47%	HTR4/ADRA1B/HTR2B/DRD5/HTR1A/TAAR1/ADRA1A/ADRA2B/HRH3/ADRA1D/ADRB3/HTR1D/CHRM2/HTR2C/DRD1/HTR1E/CHRM1/DRD2/CHRM3/ADRA2A
REACTOME_GLUCURONIDATION	REACTOME_GLUCURONIDATION	REACTOME_GLUCURONIDATION	18	-0.781184395094306	-1.95319378084228	0.00144092219020173	0.02842603965608	0.0166695911563432	1935	tags=56%, list=10%, signal=50%	UGT1A4/UGT1A3/UGT2B11/UGT1A6/UGT1A5/UGT1A7/UGT1A9/UGT1A1/UGT1A8
REACTOME_VOLTAGE_GATED_POTASSIUM_CHANNELS	REACTOME_VOLTAGE_GATED_POTASSIUM_CHANNELS	REACTOME_VOLTAGE_GATED_POTASSIUM_CHANNELS	42	-0.659624763521211	-1.92946943175995	0.00125470514429109	0.02842603965608	0.0166695911563432	2944	tags=52%, list=15%, signal=45%	KCNAB1/KCND1/KCNA4/KCNH6/KCNC1/KCNS3/KCND3/KCNA10/KCNS2/KCNG1/KCNQ4/KCNA5/KCNV1/KCNS1/KCNH8/KCNG3/KCNA1/KCNF1/KCNH2/KCNB1/KCNB2
REACTOME_CYTOCHROME_P450_ARRANGED_BY_SUBSTRATE_TYPE	REACTOME_CYTOCHROME_P450_ARRANGED_BY_SUBSTRATE_TYPE	REACTOME_CYTOCHROME_P450_ARRANGED_BY_SUBSTRATE_TYPE	50	-0.635564105479365	-1.89794223181617	0.00247524752475248	0.02842603965608	0.0166695911563432	4616	tags=60%, list=24%, signal=46%	CYP4F12/CYP2D6/CYP1B1/CYP26C1/CYP3A7/CYP4F8/CYP26A1/CYP2C19/CYP3A5/CYP2U1/CYP46A1/CYP11B2/CYP2C8/CYP19A1/CYP2A6/CYP11A1/CYP2E1/CYP4F2/CYP39A1/CYP17A1/CYP8B1/CYP1A1/CYP7A1/PTGIS/CYP2W1/CYP4A11/CYP4B1/CYP3A4/CYP2B6
REACTOME_PHASE_II_CONJUGATION	REACTOME_PHASE_II_CONJUGATION	REACTOME_PHASE_II_CONJUGATION	69	-0.59622388358614	-1.87750427592519	0.00119331742243437	0.02842603965608	0.0166695911563432	1939	tags=32%, list=10%, signal=29%	UGT2B17/GSTA4/GGT7/UGT1A4/SULT2A1/SULT1C2/UGT1A3/SULT1A2/GSTA3/UGT2B11/GSTM5/UGT1A6/UGT1A5/UGT1A7/UGT1A9/NAT2/UGT1A1/UGT1A8/GSTA1/GSTA2/SULT4A1
REACTOME_POTASSIUM_CHANNELS	REACTOME_POTASSIUM_CHANNELS	REACTOME_POTASSIUM_CHANNELS	97	-0.574250957035975	-1.87711878125108	0.00112233445566779	0.02842603965608	0.0166695911563432	3665	tags=48%, list=19%, signal=40%	KCNJ4/KCNMB3/KCNJ6/KCNMB4/KCNN4/ABCC9/KCNH1/KCNAB1/GNG12/KCNK7/KCND1/KCNMB2/KCNJ12/GABBR2/KCNA4/KCNH6/KCNC1/KCNS3/KCNJ9/KCND3/KCNK10/KCNA10/KCNS2/KCNG1/KCNMB1/KCNQ4/KCNA5/KCNK17/KCNV1/ABCC8/KCNK16/KCNS1/HCN4/KCNH8/KCNG3/HCN1/KCNA1/KCNF1/KCNK9/KCNK2/KCNH2/KCNB1/KCNB2/KCNJ3/KCNK3/GNGT1
