	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalues	rank	leading_edge	core_enrichment
REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL	REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL	REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL	58	0.833476364065149	3.26965928395241	0.00595238095238095	0.0321763741993148	0.0189733980415063	1078	tags=66%, list=6%, signal=62%	KIR3DL2/KIR2DL3/KIR2DL4/CRTAM/KLRD1/KIR3DL1/FCGR3A/CD8A/ICAM1/ITGB7/CD96/KLRK1/CD226/LILRB4/KIR2DL1/ITGAL/KLRC1/LILRB2/CD3G/CD8B/CD3D/CD40/CD3E/ITGB2/CD247/LILRB1/IFITM1/CD200R1/LILRB3/LILRB5/CD160/HLA-F/VCAM1/HCST/B2M/TYROBP/HLA-C/HLA-B
REACTOME_DNA_REPLICATION	REACTOME_DNA_REPLICATION	REACTOME_DNA_REPLICATION	181	0.657883044375732	3.06078632990564	0.0277777777777778	0.072	0.0424561403508772	4570	tags=69%, list=23%, signal=53%	PSMB9/PSMB10/PSME2/CDC45/KIF18A/ORC1/KIF23/PSMB8/MCM10/CDC7/E2F2/BUB1B/PSMA8/BUB1/ERCC6L/KNTC1/CCNA2/CENPH/CENPI/PCNA/CENPK/CDT1/ORC6/MCM2/DNA2/CDCA8/GINS1/NDC80/KIF2A/MCM4/SKA1/CENPN/MAD2L1/KIF2C/GINS4/LIG1/POLD1/AURKB/FBXO5/RFC3/E2F1/CENPA/PSME1/POLE/ZWINT/PRIM1/SPC25/BIRC5/MCM5/GINS2/CDC6/POLE2/MCM7/MCM8/RFC5/POLA2/ZWILCH/DBF4/CENPM/MCM6/PSMA4/FEN1/MCM3/CENPO/PSMA6/KIF20A/SMC1A/NUP107/PSMA1/PLK1/INCENP/NUP37/DSN1/PRIM2/NUF2/RFC4/PSMA5/CDC20/POLA1/E2F3/GMNN/PSMA3/RB1/RCC2/AHCTF1/PSMD12/POLD3/CKAP5/BUB3/SMC3/ZW10/PPP2R1B/XPO1/PSMC6/MIS12/STAG1/CENPP/PSMD14/NUP85/SKA2/PSME4/ORC3/RAD21/PSMB7/SPC24/RANGAP1/NUP43/PSMB2/PSMB1/RFC2/ITGB3BP/CDK2/RPA3/PSMD13/PSMD5/ORC5/PSMD10/CENPL/STAG2/PPP2CA/PSMD11/NUP133/RANBP2/PSMD2
REACTOME_MITOTIC_M_M_G1_PHASES	REACTOME_MITOTIC_M_M_G1_PHASES	REACTOME_MITOTIC_M_M_G1_PHASES	161	0.66336234878996	3.06077366058741	0.025	0.0672199170124481	0.0396374754313169	4570	tags=68%, list=23%, signal=52%	PSMB9/PSMB10/PSME2/CDC45/KIF18A/ORC1/KIF23/PSMB8/MCM10/CDC7/E2F2/BUB1B/PSMA8/BUB1/ERCC6L/KNTC1/CENPH/CENPI/CENPK/CDT1/ORC6/MCM2/CDCA8/NDC80/KIF2A/MCM4/SKA1/CENPN/MAD2L1/KIF2C/AURKB/FBXO5/E2F1/CENPA/PSME1/POLE/ZWINT/PRIM1/SPC25/BIRC5/MCM5/CDC6/POLE2/MCM7/MCM8/POLA2/ZWILCH/DBF4/CENPM/MCM6/PSMA4/MCM3/CENPO/PSMA6/KIF20A/SMC1A/NUP107/PSMA1/PLK1/INCENP/NUP37/DSN1/PRIM2/NUF2/PSMA5/CDC20/POLA1/E2F3/GMNN/PSMA3/RCC2/AHCTF1/PSMD12/CKAP5/BUB3/SMC3/ZW10/PPP2R1B/XPO1/PSMC6/MIS12/STAG1/CENPP/PSMD14/NUP85/SKA2/PSME4/ORC3/RAD21/PSMB7/SPC24/RANGAP1/NUP43/PSMB2/PSMB1/ITGB3BP/CDK2/RPA3/PSMD13/PSMD5/ORC5/PSMD10/CENPL/STAG2/PPP2CA/PSMD11/NUP133/RANBP2/PSMD2
REACTOME_INTERFERON_GAMMA_SIGNALING	REACTOME_INTERFERON_GAMMA_SIGNALING	REACTOME_INTERFERON_GAMMA_SIGNALING	59	0.781500753416112	3.05753972343777	0.00598802395209581	0.0321763741993148	0.0189733980415063	1768	tags=64%, list=9%, signal=59%	IFNG/GBP5/GBP4/GBP1/GBP6/STAT1/CIITA/IRF1/ICAM1/HLA-DQA1/JAK2/FCGR1A/OAS2/FCGR1B/OASL/HLA-DPA1/OAS3/HLA-DQA2/HLA-DRB1/IRF4/GBP7/HLA-DRB5/HLA-DPB1/GBP2/SOCS1/HLA-F/VCAM1/PML/IRF8/PTAFR/B2M/HLA-C/HLA-B/OAS1/IRF9/IFNGR1/IRF7/SP100
REACTOME_INTERFERON_SIGNALING	REACTOME_INTERFERON_SIGNALING	REACTOME_INTERFERON_SIGNALING	151	0.67098939844171	3.03861697930375	0.0217391304347826	0.0608622147083686	0.0358885379128294	2309	tags=49%, list=12%, signal=44%	IFNG/GBP5/GBP4/GBP1/GBP6/STAT1/CIITA/IRF1/ICAM1/HLA-DQA1/JAK2/IFIT3/FCGR1A/OAS2/FCGR1B/OASL/HLA-DPA1/XAF1/UBE2L6/OAS3/HLA-DQA2/HLA-DRB1/MX1/IRF4/USP18/GBP7/IFNB1/IFIT2/HLA-DRB5/IFITM1/HLA-DPB1/GBP2/PSMB8/SOCS1/IFNA1/HLA-F/VCAM1/ISG20/DDX58/ISG15/PML/IRF8/PTAFR/B2M/STAT2/IFI35/HLA-C/HLA-B/NUP210/KPNA2/NUP205/OAS1/UBA7/IFNA21/IRF9/IFNGR1/NUP188/TRIM25/NUP107/IRF7/ADAR/SP100/EIF4A1/NUP37/HLA-A/NUP50/IFNAR2/HERC5/EIF2AK2/NUP153/PTPN6/TYK2/EIF4A3/IFIT1
REACTOME_COSTIMULATION_BY_THE_CD28_FAMILY	REACTOME_COSTIMULATION_BY_THE_CD28_FAMILY	REACTOME_COSTIMULATION_BY_THE_CD28_FAMILY	61	0.761569063470273	2.98811782786565	0.00628930817610063	0.0321763741993148	0.0189733980415063	1067	tags=39%, list=5%, signal=37%	CD274/CTLA4/ICOS/CD80/PDCD1/PDCD1LG2/HLA-DQA1/HLA-DPA1/CD3G/CD3D/HLA-DQA2/HLA-DRB1/CD3E/GRAP2/CD247/CD86/HLA-DRB5/HLA-DPB1/LCK/CD4/BTLA/VAV1/LYN/MAP3K8
REACTOME_CELL_CYCLE	REACTOME_CELL_CYCLE	REACTOME_CELL_CYCLE	390	0.540610123007605	2.97621222796823	0.5	0.665297741273101	0.39230519831406	4575	tags=54%, list=23%, signal=42%	HIST1H2AJ/PSMB9/CDC25A/HIST1H2BI/PSMB10/CDC25B/PSME2/CDC45/KIF18A/ORC1/KIF23/PSMB8/MCM10/CDC7/LMNB1/RRM2/TYMS/E2F2/BUB1B/PSMA8/BUB1/ERCC6L/KNTC1/MDM2/CCNA2/CENPH/CENPI/PCNA/CENPK/CDT1/PLK4/ORC6/MCM2/CCNE2/DNA2/CDCA8/GINS1/NDC80/KIF2A/MCM4/PKMYT1/SKA1/CENPN/MAD2L1/KIF2C/GINS4/LIG1/BRCA1/CCNB1/POLD1/AURKB/FBXO5/REC8/SYNE2/RFC3/E2F1/CENPA/PSME1/POLE/RBL1/ZWINT/PRIM1/HIST2H2AA4/SPC25/CDK1/HJURP/UBE2C/CCND1/ATR/BIRC5/MCM5/GINS2/CDC6/POLE2/MCM7/MCM8/RFC5/POLA2/TEX12/ZWILCH/DBF4/CENPM/MCM6/PSMA4/MYBL2/FEN1/PTTG1/MCM3/CDC25C/E2F5/CENPO/NEDD1/PSMA6/KIF20A/DKC1/SMC1A/CHEK1/NUP107/PSMA1/NEK2/DHFR/OIP5/AURKA/PLK1/INCENP/TP53/MIS18BP1/HIST1H2BO/NUP37/DSN1/MAX/PRIM2/MYC/CNTRL/NUF2/CCNB2/HIST1H2BM/RFC4/PPP2R2A/PSMA5/LIN9/CDC27/LIN54/NPM1/CEP192/CDC20/POLA1/PCNT/HIST1H2BL/E2F3/GMNN/MIS18A/PSMA3/FGFR1OP/CENPJ/RB1/RCC2/CHEK2/AHCTF1/PSMD12/POLD3/CKAP5/CDC23/H2AFX/CDK7/TFDP1/BUB3/SMC3/SKP2/TUBGCP5/ZW10/PPP2R1B/ANAPC1/XPO1/SMARCA5/HSP90AA1/PSMC6/MIS12/STAG1/UBE2D1/CENPP/CDK5RAP2/PSMD14/CEP135/NUP85/ANAPC4/SKA2/YWHAE/H2AFZ/PSME4/ORC3/POT1/RAD21/E2F4/WRAP53/CEP72/PSMB7/SPC24/RANGAP1/PCM1/CUL1/NUP43/PSMB2/PSMB1/RFC2/TUBGCP3/TK2/ALMS1/ITGB3BP/HIST1H2BK/CDK2/CEP76/RPA3/TUBB4B/ANAPC2/PSMD13/PSMD5/ORC5/PSMD10/CENPL/TUBG1/CKS1B/RUVBL1/STAG2/PPP2CA/PSMD11/ANAPC5/NUP133/RANBP2/PSMD2/HIST1H4I
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM	REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM	REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM	261	0.614160154765487	2.95487766166618	0.0454545454545455	0.104788966664357	0.0617907649434071	4241	tags=57%, list=22%, signal=45%	IFNG/GBP5/GBP4/GBP1/CSF2/GBP6/STAT1/CIITA/IRF1/ICAM1/IL2RB/IL2RA/HLA-DQA1/JAK2/IFIT3/FCGR1A/OAS2/FCGR1B/OASL/HLA-DPA1/XAF1/UBE2L6/OAS3/CASP1/HLA-DQA2/HLA-DRB1/MX1/HCK/IRF4/USP18/GBP7/JAK3/IFNB1/IFIT2/HLA-DRB5/IFITM1/HLA-DPB1/GBP2/LCK/PSMB8/SOCS1/IFNA1/RIPK2/HLA-F/VCAM1/ISG20/DDX58/ISG15/PML/VAV1/IRF8/PIK3CD/IL3/PTAFR/IL7/B2M/STAT5A/STAT2/IFI35/HLA-C/CSF2RB/NOD2/LYN/MAP3K8/HLA-B/NUP210/IL2RG/KPNA2/NUP205/CDK1/OAS1/IL2/UBA7/IFNA21/IRF9/IFNGR1/IL18/NUP188/IL1RN/TRIM25/NUP107/IRF7/ADAR/SP100/CISH/EIF4A1/NUP37/HLA-A/NUP50/IL7R/MYD88/IL6/IFNAR2/CSF2RA/HERC5/EIF2AK2/NUP153/PTPN6/TYK2/EIF4A3/IFIT1/CHUK/IRAK1/PIK3CB/TEC/IFI27/PTK2B/IFNGR2/NUP88/NUP62/IRF3/PELI1/IRAK3/NUP93/IL1B/NRAS/NFKB2/MX2/EIF4E/IL6R/UBE2N/HLA-G/IFITM3/IRAK4/FLNB/NUP85/SYK/NUP155/TPR/KPNB1/RAPGEF1/PTPN2/IKBKB/IFI6/CUL1/NUP43/NUP214/CBL/TMEM189-UBE2V1/IRF5/PTPN1/TAB3/IRAK2/MAP2K4/ADAM17/GRB2/TRAF6/KPNA3
REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES	REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES	REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES	50	0.775021269750202	2.93591391209521	0.00555555555555556	0.0321763741993148	0.0189733980415063	1486	tags=60%, list=8%, signal=56%	CXCL11/CXCL9/CXCL10/CXCR6/CCL3/CXCL13/CCL5/CX3CL1/CCL4/XCL2/CCR5/CCR8/CCL7/CCR1/CXCL3/CXCR3/CXCL1/CXCR1/CCR3/CCL20/CXCR2/CCR2/XCR1/CXCL5/CCL22/CXCL2/XCL1/CCL25/CCL17/CCL3L1
REACTOME_CELL_CYCLE_MITOTIC	REACTOME_CELL_CYCLE_MITOTIC	REACTOME_CELL_CYCLE_MITOTIC	300	0.602613276753626	2.91966586524991	0.0769230769230769	0.16337929830686	0.0963396447131094	4570	tags=60%, list=23%, signal=47%	PSMB9/CDC25A/PSMB10/CDC25B/PSME2/CDC45/KIF18A/ORC1/KIF23/PSMB8/MCM10/CDC7/RRM2/TYMS/E2F2/BUB1B/PSMA8/BUB1/ERCC6L/KNTC1/CCNA2/CENPH/CENPI/PCNA/CENPK/CDT1/PLK4/ORC6/MCM2/CCNE2/DNA2/CDCA8/GINS1/NDC80/KIF2A/MCM4/PKMYT1/SKA1/CENPN/MAD2L1/KIF2C/GINS4/LIG1/CCNB1/POLD1/AURKB/FBXO5/RFC3/E2F1/CENPA/PSME1/POLE/RBL1/ZWINT/PRIM1/SPC25/CDK1/UBE2C/CCND1/BIRC5/MCM5/GINS2/CDC6/POLE2/MCM7/MCM8/RFC5/POLA2/ZWILCH/DBF4/CENPM/MCM6/PSMA4/MYBL2/FEN1/PTTG1/MCM3/CDC25C/E2F5/CENPO/NEDD1/PSMA6/KIF20A/SMC1A/NUP107/PSMA1/NEK2/DHFR/AURKA/PLK1/INCENP/NUP37/DSN1/MAX/PRIM2/MYC/CNTRL/NUF2/CCNB2/RFC4/PPP2R2A/PSMA5/LIN9/CDC27/LIN54/CEP192/CDC20/POLA1/PCNT/E2F3/GMNN/PSMA3/FGFR1OP/CENPJ/RB1/RCC2/AHCTF1/PSMD12/POLD3/CKAP5/CDC23/CDK7/TFDP1/BUB3/SMC3/SKP2/TUBGCP5/ZW10/PPP2R1B/ANAPC1/XPO1/HSP90AA1/PSMC6/MIS12/STAG1/UBE2D1/CENPP/CDK5RAP2/PSMD14/CEP135/NUP85/ANAPC4/SKA2/YWHAE/PSME4/ORC3/RAD21/E2F4/CEP72/PSMB7/SPC24/RANGAP1/PCM1/CUL1/NUP43/PSMB2/PSMB1/RFC2/TUBGCP3/TK2/ALMS1/ITGB3BP/CDK2/CEP76/RPA3/TUBB4B/ANAPC2/PSMD13/PSMD5/ORC5/PSMD10/CENPL/TUBG1/CKS1B/STAG2/PPP2CA/PSMD11/ANAPC5/NUP133/RANBP2/PSMD2
