"","II","III","I","IV"
"REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL",-0.275839929870346,0.0833375661115965,0.376479196091435,0.0327808177437744
"REACTOME_INTERFERON_SIGNALING",-0.177383366369239,0.0601623529674421,0.260837508117575,-0.103046205641555
"REACTOME_INTERFERON_GAMMA_SIGNALING",-0.239808445227661,0.0828529064575537,0.352950648031,-0.0492857674348551
"REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM",-0.161134318653563,0.0870332935817015,0.213742064661343,-0.0910986494892182
"REACTOME_COSTIMULATION_BY_THE_CD28_FAMILY",-0.212299183361661,0.0640101129214955,0.244794340912556,-0.0369587353463322
"REACTOME_INTERFERON_ALPHA_BETA_SIGNALING",-0.16363717853869,0.0526083761882431,0.296667801908805,-0.0179958938990239
"REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES",-0.145660711242844,0.130363479257309,0.286217745012045,0.0532334977394569
"REACTOME_TCR_SIGNALING",-0.244507411000645,0.0723153797424742,0.312100666832948,-0.0276624847131366
"REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES",-0.303991675553827,0.0537086466552948,0.392344516752088,0.0585087671920712
"REACTOME_DOWNSTREAM_TCR_SIGNALING",-0.242406172127857,0.0844230893085185,0.309558843673643,-0.0338209068621102
"REACTOME_RNA_POL_I_PROMOTER_OPENING",0.0736633017738413,-0.17962355172578,-0.037199699312616,0.0350363611547813
"REACTOME_PEPTIDE_CHAIN_ELONGATION",-0.0151641727019948,-0.210631897090192,0.0385303840936607,0.0969907045039714
"REACTOME_3_UTR_MEDIATED_TRANSLATIONAL_REGULATION",-0.0238077533630642,-0.178253708254683,0.0363006758131682,0.058378109354022
"REACTOME_INFLUENZA_VIRAL_RNA_TRANSCRIPTION_AND_REPLICATION",-0.0157639277121163,-0.184073760154239,0.0386883458776873,0.074112177454353
"REACTOME_DNA_REPLICATION",-0.0683332830557953,0.0583817846139729,0.174183710998559,-0.126253572332572
"REACTOME_MITOTIC_M_M_G1_PHASES",-0.0704314459925027,0.0583785224870991,0.171051539419316,-0.130692589131589
"REACTOME_CELL_CYCLE",-0.0494274524952493,0.00959528557793264,0.119862257286498,-0.104848777872779
"REACTOME_CELL_CYCLE_MITOTIC",-0.0713848034115611,0.0378117345791057,0.144109798505195,-0.128487125829083
"REACTOME_CELL_CYCLE_CHECKPOINTS",-0.0891703234200856,0.033737034015061,0.181900959914627,-0.112320001320355
