SampleID,ImmuneScore,PDL1,T.cells.CD8,StromalScore,ESTIMATEScore,TMB,Group
TCGA-FP-7829-01A-11R-2055-13,403.43466,0.308919147,0,130.4847039,533.9193639,5.289473684,II
TCGA-D7-6527-01A-11R-1802-13,734.5003227,0.464029372,0,-88.46315863,646.037164,4.631578947,II
TCGA-BR-8367-01A-11R-2343-13,667.7532534,0.625909103,0,806.3004324,1474.053686,1.447368421,II
TCGA-CG-4466-01A-01R-1157-13,44.5359997,0.682163873,0,-1009.118316,-964.5823162,4.210526316,II
TCGA-HU-A4GH-01A-11R-A24K-31,429.6536576,0.713919154,0,-1678.127059,-1248.473401,17.36842105,II
TCGA-BR-8682-01A-11R-2402-13,1128.25405,0.748289928,0,870.8918681,1999.145918,1.473684211,II
TCGA-RD-A8N5-01A-12R-A36D-31,1683.781114,0.863657132,0,1385.500055,3069.281169,0.815789474,II
TCGA-CG-4475-01A-01R-1157-13,712.0578944,1.187189225,0,901.3089479,1613.366842,1.078947368,III
TCGA-BR-8486-01A-31R-2402-13,1277.489217,1.555363372,0,345.1098254,1622.599043,5.842105263,III
TCGA-D7-8575-01A-11R-2343-13,1423.320346,1.634555555,0,-214.190423,1209.129923,1.210526316,III
TCGA-BR-4257-01A-01R-1131-13,1708.999152,1.696971013,0,852.1294262,2561.128578,24.02631579,III
TCGA-BR-4267-01A-01R-1131-13,938.1544259,2.280035916,0,-132.5923641,805.5620617,2.078947368,III
TCGA-HU-8610-01A-22R-2402-13,1912.929615,3.211811617,0,362.7957586,2275.725374,1.421052632,III
TCGA-KB-A93G-01A-11R-A39E-31,1498.759513,3.270886342,0,1651.596658,3150.35617,2.026315789,III
TCGA-CG-4436-01A-01R-1157-13,1177.815291,3.287810024,0,-629.0239257,548.7913651,3.5,III
TCGA-R5-A7ZF-01A-11R-A354-31,-169.7201027,0.856523972,0.001001959,-1272.480983,-1442.201085,1.184210526,II
TCGA-IN-A6RI-01A-11R-A32D-31,-49.14564228,0.403989118,0.002476983,-1341.275026,-1390.420668,2.184210526,II
TCGA-CD-5804-01A-12R-2055-13,1437.284079,0.392063603,0.003024931,714.4294143,2151.713493,1.815789474,II
TCGA-ZA-A8F6-01A-23R-A36D-31,1395.745674,0.909155068,0.003202184,815.3303176,2211.075991,1.157894737,II
TCGA-R5-A7ZE-01B-11R-A354-31,-456.8291049,0.701781289,0.003621703,-1334.980636,-1791.809741,3.368421053,II
TCGA-RD-A8MW-01A-11R-A36D-31,1975.172121,2.066549172,0.007580034,984.4830335,2959.655155,1.736842105,III
TCGA-FP-8631-01A-11R-2402-13,78.15516937,0.559847142,0.008235249,-168.4879633,-90.33279389,2.026315789,II
TCGA-KB-A93H-01A-11R-A39E-31,180.1226509,0.720793796,0.008575949,-1430.985073,-1250.862422,4.552631579,II
TCGA-BR-8373-01A-11R-2343-13,439.4361933,0.877933634,0.008700255,485.4440002,924.8801935,1.868421053,II
TCGA-F1-6874-01A-11R-1884-13,1525.870143,2.007875506,0.009255552,222.7176928,1748.587836,21.42105263,III
TCGA-F1-A448-01A-11R-A24K-31,1806.341246,1.483726165,0.00929448,720.2107533,2526.551999,13.92105263,III
TCGA-D7-6528-01A-11R-1802-13,44.88526855,3.010769231,0.00987043,-935.8283149,-890.9430463,7.447368421,III
TCGA-IN-A6RO-01A-12R-A33Y-31,82.85770674,0.367889993,0.013318304,-1411.851816,-1328.99411,6.5,II
TCGA-BR-A4CS-01A-11R-A24K-31,849.0147648,0.863703036,0.015713969,220.6902485,1069.705013,3.552631579,II
TCGA-HU-A4G9-01A-11R-A24K-31,-373.4817171,0.278400501,0.0169388,-1708.525439,-2082.007156,18.07894737,II
TCGA-FP-8099-01A-11R-2343-13,620.6606599,0.806485971,0.018327171,-14.69623081,605.9644291,3.078947368,II
TCGA-D7-6818-01A-11R-1884-13,1537.229499,0.778044213,0.018861975,1161.314077,2698.543575,3.710526316,II
TCGA-BR-8060-01A-11R-2343-13,1250.55822,2.635564148,0.018890822,857.6031341,2108.161354,4.578947368,III
TCGA-BR-8687-01A-11R-2402-13,185.7322035,0.247295501,0.019185854,-109.0609795,76.67122395,3.894736842,II
TCGA-IN-A7NT-01A-21R-A354-31,208.489365,2.295075664,0.020401718,-295.8120357,-87.3226707,2.473684211,III
TCGA-D7-A748-01A-12R-A32D-31,2244.042744,1.483916329,0.020674266,1751.539812,3995.582556,0.894736842,III
TCGA-VQ-AA6D-01A-11R-A414-31,-267.9085103,1.797355394,0.020689035,-1404.513279,-1672.421789,17.78947368,III
