gene	TMEI	TMEII	TMEIII	TMEIV
ARID1A	-13.93728223	-4.181184669	-4.181184669	-2.787456446
PIK3CA	8.710801394	1.393728223	2.090592334	2.090592334
BRD3	3.832752613	0	0.348432056	0.696864111
KMT2E	3.832752613	0	1.742160279	0.696864111
TP53	-9.407665505	-17.42160279	-9.407665505	-10.10452962
CDHR2	3.484320557	0	0.348432056	1.742160279
LRRC4B	3.484320557	0	0.696864111	0.696864111
ANK3	6.271777003	1.393728223	3.484320557	1.045296167
DIP2C	4.181184669	0.348432056	1.393728223	0.348432056
SAMD9L	3.135888502	0	2.090592334	0.696864111
TBC1D4	3.135888502	0	0.348432056	1.742160279
ABCB4	3.832752613	0.348432056	0.348432056	1.742160279
MTCL1	3.832752613	0.348432056	0.696864111	0.348432056
LRP1	4.529616725	0.696864111	1.393728223	1.045296167
PLEC	6.271777003	1.742160279	3.135888502	1.742160279
NCOA7	2.787456446	0	0	0
PCDHB2	2.787456446	0	1.742160279	0.696864111
AHNAK2	6.620209059	2.090592334	3.135888502	1.742160279
DNAH2	4.87804878	1.045296167	2.090592334	0.696864111
ZNF292	4.87804878	1.045296167	0.696864111	1.045296167
SOGA3	3.484320557	0.348432056	1.045296167	0.348432056
TSHZ2	3.484320557	0.348432056	0.696864111	1.393728223
YLPM1	3.484320557	0.348432056	0.696864111	0.696864111
CHD6	4.181184669	0.696864111	1.742160279	1.045296167
ZBTB20	-4.181184669	-0.696864111	-2.090592334	-1.045296167
CAMTA2	2.43902439	0	1.045296167	0.696864111
CDH7	2.43902439	0	0.696864111	0.696864111
DDX58	2.43902439	0	0	1.045296167
GRXCR1	2.43902439	0	0	0.348432056
ITSN2	2.43902439	0	1.742160279	0
MAN2B2	2.43902439	0	1.045296167	0.348432056
PKDREJ	2.43902439	0	0.348432056	1.393728223
SMTN	0	2.43902439	#N/A	#N/A
TGFBR3	2.43902439	0	0.348432056	0.348432056
THSD1	2.43902439	0	1.393728223	0.696864111
ZNRF3	-2.43902439	0	-0.696864111	-0.348432056
DMD	6.271777003	2.090592334	4.529616725	2.43902439
KMT2D	-6.271777003	-2.090592334	-3.484320557	-2.43902439
NRXN3	4.529616725	1.045296167	1.045296167	1.393728223
WDFY3	4.529616725	1.045296167	1.742160279	1.742160279
SYNE2	7.665505226	3.135888502	1.742160279	1.045296167
ABCA2	3.832752613	0.696864111	1.045296167	0.696864111
ADCY8	3.832752613	0.696864111	1.393728223	0.696864111
ATM	-3.832752613	-0.696864111	-2.090592334	-1.393728223
BCOR	-3.832752613	-0.696864111	-1.393728223	-0.348432056
CREBBP	-3.832752613	-0.696864111	-2.787456446	-1.393728223
DOCK3	3.832752613	0.696864111	3.135888502	1.045296167
FREM1	3.832752613	0.696864111	0.696864111	0.696864111
XYLT2	3.832752613	0.696864111	1.393728223	1.045296167
CACNA1S	3.135888502	0.348432056	0.696864111	1.045296167
DHX9	3.135888502	0.348432056	0.348432056	0.348432056
E2F7	3.135888502	0.348432056	1.045296167	0.348432056
EIF4G1	3.135888502	0.348432056	1.742160279	0.348432056
EP300	-3.135888502	-0.348432056	-1.393728223	-0.696864111
EP400	3.135888502	0.348432056	0.696864111	1.393728223
LAMB4	3.135888502	0.348432056	1.742160279	0.696864111
LRRN3	3.135888502	0.348432056	2.090592334	0.348432056
NLGN4X	3.135888502	0.348432056	2.090592334	1.393728223
NOTCH4	-3.135888502	-0.348432056	-1.393728223	-1.045296167
NPAT	3.135888502	0.348432056	1.393728223	0
PITPNM3	3.135888502	0.348432056	0.696864111	0.696864111
ABCC9	4.87804878	1.393728223	3.135888502	0.348432056
ADGRB3	1.393728223	4.87804878	3.484320557	2.090592334
GLI3	4.87804878	1.393728223	2.787456446	3.135888502
TG	5.923344948	2.090592334	2.43902439	2.43902439
COL7A1	4.181184669	1.045296167	2.090592334	0.348432056
IGSF10	4.181184669	1.045296167	1.393728223	2.43902439
KCNB2	4.181184669	1.045296167	1.045296167	0.348432056
PRKDC	4.181184669	1.045296167	2.43902439	0.696864111
ACTN4	2.090592334	0	0.348432056	0.348432056
ADAR	2.090592334	0	0.348432056	0
ARHGEF10L	2.090592334	0	1.045296167	0.348432056
BAHD1	2.090592334	0	0.696864111	0.348432056
BCAN	2.090592334	0	0.348432056	0.348432056
C10orf90	2.090592334	0	0.696864111	0.348432056
CCNB3	2.090592334	0	1.393728223	2.090592334
CEP126	2.090592334	0	0.696864111	0.348432056
CNNM1	2.090592334	0	0.348432056	0.696864111
CPSF1	2.090592334	0	1.045296167	0.696864111
CTTN	2.090592334	0	0.348432056	0
DGKE	2.090592334	0	0	0.696864111
DIS3L2	2.090592334	0	0.696864111	0
DPP3	2.090592334	0	0.348432056	0
EEA1	2.090592334	0	0.348432056	1.045296167
ERC2	2.090592334	0	0.696864111	1.045296167
FILIP1L	2.090592334	0	1.045296167	0.348432056
FLT4	2.090592334	0	1.045296167	0.696864111
GALNT2	2.090592334	0	0	0
GPRASP2	2.090592334	0	0.348432056	0.348432056
HIPK4	2.090592334	0	0	0.348432056
INPPL1	-2.090592334	0	-1.393728223	-0.348432056
IREB2	2.090592334	0	0.696864111	0.348432056
KCNF1	2.090592334	0	0	0.348432056
KIF22	2.090592334	0	0.348432056	0
LARGE	2.090592334	0	1.045296167	0
MFSD6	2.090592334	0	0.348432056	0
MYOCD	2.090592334	0	1.045296167	0.696864111
NOX5	2.090592334	0	1.045296167	1.045296167
PARP1	2.090592334	0	0.696864111	0.348432056
PARP10	2.090592334	0	0.696864111	0
PCDHGA10	2.090592334	0	0	0.348432056
PDCD11	2.090592334	0	0.696864111	1.393728223
PIK3R2	2.090592334	0	0	0.348432056
PKN2	2.090592334	0	1.393728223	1.393728223
PTGFRN	2.090592334	0	0	0
RASAL1	2.090592334	0	0.348432056	0.348432056
SMC2	2.090592334	0	1.393728223	0.696864111
SVIL	2.090592334	0	1.045296167	0.696864111
UBR3	2.090592334	0	0.696864111	0
VCAN	0	2.090592334	3.135888502	1.742160279
VPS16	2.090592334	0	0	0.348432056
ZMIZ2	2.090592334	0	0	0.348432056
ZSCAN18	2.090592334	0	0.696864111	0.348432056
ABCA12	5.226480836	1.742160279	2.090592334	1.742160279
RNF213	5.226480836	1.742160279	2.787456446	2.090592334
COL1A2	3.484320557	0.696864111	1.742160279	0.348432056
CUX1	3.484320557	0.696864111	1.045296167	0.696864111
FBXW7	-3.484320557	-0.696864111	-2.090592334	-1.045296167
HIVEP1	3.484320557	0.696864111	1.742160279	0.696864111
PXDNL	3.484320557	0.696864111	2.43902439	2.43902439
SPEG	3.484320557	0.696864111	1.742160279	0.348432056
ACACA	2.787456446	0.348432056	1.393728223	0.348432056
BTBD7	2.787456446	0.348432056	1.045296167	0.348432056
CAD	2.787456446	0.348432056	1.393728223	0.696864111
CHD9	2.787456446	0.348432056	1.393728223	1.045296167
DISP1	2.787456446	0.348432056	0.696864111	0
EIF5B	2.787456446	0.348432056	2.090592334	0.696864111
IFT140	2.787456446	0.348432056	0.696864111	0
MLLT4	2.787456446	0.348432056	1.393728223	0.348432056
MTOR	2.787456446	0.348432056	1.045296167	1.045296167
PCDHB1	2.787456446	0.348432056	0	0.696864111
SCN7A	2.787456446	0.348432056	1.393728223	0.348432056
SETD1A	2.787456446	0.348432056	0.696864111	0.348432056
ZC3H4	2.787456446	0.348432056	1.045296167	1.045296167
RYR1	5.574912892	2.090592334	3.484320557	2.787456446
CDH8	4.529616725	1.393728223	1.393728223	1.045296167
CNTN6	-4.529616725	-1.393728223	-0.696864111	-1.393728223
KMT2B	-4.529616725	-1.393728223	-2.090592334	-0.696864111
SSPO	4.529616725	1.393728223	2.090592334	1.393728223
ZFHX4	7.317073171	3.484320557	3.484320557	3.484320557
ERBB2	3.832752613	1.045296167	0.348432056	0.348432056
