,results.Hugo_Symbol,results.I,results.II,results.pval,results.or,results.ci.up,results.ci.low,results.adjPval,SampleSummary.Cohort,SampleSummary.SampleSize
1,ARID1A,32,16,3.11E-07,6.429288872,14.64459398,2.931078701,3.67E-05,I,59
2,PIK3CA,18,6,4.04E-05,7.073914554,23.38993905,2.470247259,0.002382726,II,104
3,DHX9,8,1,0.001360307,15.90439893,720.9757618,2.040995778,0.039240189,I,59
4,PIK3R2,6,0,0.001898439,Inf,Inf,2.19704057,0.039240189,II,104
5,ZNRF3,6,0,0.001898439,Inf,Inf,2.19704057,0.039240189,I,59
6,TP53,19,60,0.001995264,0.350660837,0.714942099,0.16755952,0.039240189,II,104
7,KMT2D,15,8,0.004000749,4.052046475,11.91045883,1.483937906,0.067441201,I,59
8,PRKDC,10,4,0.007054003,5.047429337,23.17681022,1.370218853,0.104046545,II,104
9,ATM,9,3,0.009037589,5.989261538,35.88594437,1.414843776,0.105121834,I,59
10,NOTCH4,6,1,0.009443827,11.49661587,539.8699438,1.341951335,0.105121834,II,104
11,EP300,7,2,0.011581219,6.782123857,69.28790541,1.233353786,0.105121834,I,59
12,MTOR,7,2,0.011581219,6.782123857,69.28790541,1.233353786,0.105121834,II,104
13,TLE4,7,2,0.011581219,6.782123857,69.28790541,1.233353786,0.105121834,I,59
14,PBRM1,8,3,0.018305642,5.223893262,31.86891171,1.189960762,0.147789995,II,104
15,EPAS1,5,1,0.023835956,9.410198279,454.229785,1.016593626,0.147789995,I,59
16,ERF,5,1,0.023835956,9.410198279,454.229785,1.016593626,0.147789995,II,104
17,RASGRF2,5,1,0.023835956,9.410198279,454.229785,1.016593626,0.147789995,I,59
18,THBS2,5,1,0.023835956,9.410198279,454.229785,1.016593626,0.147789995,II,104
19,RASA1,6,2,0.026880445,5.709238251,59.75797976,0.9780158,0.147789995,I,59
20,SCRIB,6,2,0.026880445,5.709238251,59.75797976,0.9780158,0.147789995,II,104
21,CNTN6,10,6,0.028457154,3.307048065,11.7504175,1.019738668,0.147789995,I,59
22,CREBBP,8,4,0.030058982,3.886333607,18.48698782,0.985246106,0.147789995,II,104
23,FBXW7,8,4,0.030058982,3.886333607,18.48698782,0.985246106,0.147789995,I,59
24,ZBTB20,8,4,0.030058982,3.886333607,18.48698782,0.985246106,0.147789995,II,104
25,KMT2B,11,7,0.034711137,3.151258217,10.23808769,1.039691088,0.163836568,I,59
26,ATR,8,5,0.06904316,3.082701423,12.61730259,0.839452557,0.296414446,II,104
27,PTEN,8,5,0.06904316,3.082701423,12.61730259,0.839452557,0.296414446,I,59
28,GNAS,6,3,0.072847618,3.777992594,24.27165175,0.77045376,0.296414446,II,104
29,RET,6,3,0.072847618,3.777992594,24.27165175,0.77045376,0.296414446,I,59
30,ERBB2,7,4,0.099485942,3.338571744,16.28011358,0.805647659,0.318036979,II,104
31,NCOR1,7,4,0.099485942,3.338571744,16.28011358,0.805647659,0.318036979,I,59
32,SCAF4,7,4,0.099485942,3.338571744,16.28011358,0.805647659,0.318036979,II,104
33,CDK12,5,2,0.099723459,4.67509683,50.62195625,0.735842253,0.318036979,I,59
34,FANCD2,5,2,0.099723459,4.67509683,50.62195625,0.735842253,0.318036979,II,104
35,HGF,5,2,0.099723459,4.67509683,50.62195625,0.735842253,0.318036979,I,59
36,PARP4,5,2,0.099723459,4.67509683,50.62195625,0.735842253,0.318036979,II,104
37,PLXNB2,5,2,0.099723459,4.67509683,50.62195625,0.735842253,0.318036979,I,59
38,ATRX,7,5,0.121871245,2.648242322,11.13023976,0.68527103,0.344109382,II,104
39,POLQ,7,5,0.121871245,2.648242322,11.13023976,0.68527103,0.344109382,I,59
40,AR,5,3,0.139523416,3.094123362,20.68177011,0.576977134,0.344109382,II,104
41,ERBB3,5,3,0.139523416,3.094123362,20.68177011,0.576977134,0.344109382,I,59
42,FGFR4,5,3,0.139523416,3.094123362,20.68177011,0.576977134,0.344109382,II,104
43,FLNA,5,3,0.139523416,3.094123362,20.68177011,0.576977134,0.344109382,I,59
44,HLA-B,5,3,0.139523416,3.094123362,20.68177011,0.576977134,0.344109382,II,104
45,LIG3,5,3,0.139523416,3.094123362,20.68177011,0.576977134,0.344109382,I,59
46,NOTCH1,5,3,0.139523416,3.094123362,20.68177011,0.576977134,0.344109382,II,104
47,DMD,11,10,0.142787244,2.143408129,6.072879489,0.766269916,0.344109382,I,59
48,FAT2,11,10,0.142787244,2.143408129,6.072879489,0.766269916,0.344109382,II,104
49,BCOR,8,6,0.142892879,2.546273469,9.420290604,0.729956011,0.344109382,I,59
50,EGFR,0,5,0.160106154,0,1.902324365,0,0.377850523,II,104
51,APC,8,7,0.166048703,2.162686902,7.442555612,0.644552967,0.380699951,I,59
52,ARHGAP35,6,4,0.170992351,2.810891457,14.15570845,0.634903549,0.380699951,II,104
53,CTCF,6,4,0.170992351,2.810891457,14.15570845,0.634903549,0.380699951,I,59
54,MACF1,9,8,0.181229304,2.149176282,6.836868328,0.688894593,0.396019591,II,104
55,KMT2A,9,9,0.204930018,1.892158058,5.763081954,0.621927263,0.431816823,I,59
56,KMT2C,9,9,0.204930018,1.892158058,5.763081954,0.621927263,0.431816823,II,104
57,BRCA2,7,6,0.228662544,2.187441794,8.323418678,0.595097475,0.442330823,I,59
58,CTNNB1,7,6,0.228662544,2.187441794,8.323418678,0.595097475,0.442330823,II,104
59,DCHS2,7,6,0.228662544,2.187441794,8.323418678,0.595097475,0.442330823,I,59
60,NIPBL,7,6,0.228662544,2.187441794,8.323418678,0.595097475,0.442330823,II,104
61,RNF43,7,6,0.228662544,2.187441794,8.323418678,0.595097475,0.442330823,I,59
62,REV3L,7,7,0.262951481,1.85791928,6.582090923,0.524881823,0.500456044,II,104
63,HUWE1,8,8,0.275796381,1.874703562,6.107821242,0.575981193,0.504801077,I,59
64,CACNA1A,5,4,0.28662434,2.302153959,12.10874458,0.473833983,0.504801077,II,104
65,CTNND1,5,4,0.28662434,2.302153959,12.10874458,0.473833983,0.504801077,I,59
66,NCOR2,5,4,0.28662434,2.302153959,12.10874458,0.473833983,0.504801077,II,104
67,TLR4,5,4,0.28662434,2.302153959,12.10874458,0.473833983,0.504801077,I,59
68,HMCN1,13,16,0.29473965,1.550054635,3.779063193,0.627126433,0.511459981,II,104
69,RHOA,2,8,0.331072793,0.423001224,2.22248807,0.042354013,0.566182457,I,59
70,ARID2,6,6,0.354899873,1.841767289,7.264440138,0.467225579,0.587062213,II,104
71,KRAS,6,6,0.354899873,1.841767289,7.264440138,0.467225579,0.587062213,I,59
72,FAT3,11,13,0.358207452,1.599392886,4.205864638,0.599215705,0.587062213,II,104
73,DCHS1,3,10,0.379271057,0.505494948,2.0749062,0.085797142,0.613068284,I,59
74,ERBB4,4,12,0.417641522,0.559429232,1.964807953,0.125274407,0.625915974,II,104
75,BRAF,1,5,0.419085018,0.343233973,3.175347197,0.007101795,0.625915974,I,59
76,CRB1,1,5,0.419085018,0.343233973,3.175347197,0.007101795,0.625915974,II,104
77,FAM46D,1,5,0.419085018,0.343233973,3.175347197,0.007101795,0.625915974,I,59
78,MNT,1,5,0.419085018,0.343233973,3.175347197,0.007101795,0.625915974,II,104
79,NTRK2,1,5,0.419085018,0.343233973,3.175347197,0.007101795,0.625915974,I,59
80,SPEN,8,9,0.424349813,1.650489337,5.15245491,0.519664163,0.625915974,II,104
