"","results.Hugo_Symbol","results.I","results.IV","results.pval","results.or","results.ci.up","results.ci.low","results.adjPval","SampleSummary.Cohort","SampleSummary.SampleSize"
"1","ARID1A",32,16,2.94386965731685e-05,4.75478645096816,10.9556985205333,2.13974611611871,0.00312050183675586,"I",59
"2","ARHGAP35",6,0,0.00480268575103887,Inf,Inf,1.70584643796906,0.191386977990464,"IV",81
"3","TLE4",7,1,0.00999773545974314,10.610110245574,490.048470242375,1.30273959852369,0.191386977990464,"I",59
"4","FANCD2",5,0,0.0120067143775972,Inf,Inf,1.30795664675401,0.191386977990464,"IV",81
"5","FGFR4",5,0,0.0120067143775972,Inf,Inf,1.30795664675401,0.191386977990464,"I",59
"6","THBS2",5,0,0.0120067143775972,Inf,Inf,1.30795664675401,0.191386977990464,"IV",81
"7","KMT2B",11,4,0.0126387626974835,4.36430048642767,19.8702239532076,1.20657801564505,0.191386977990464,"I",59
"8","DHX9",8,2,0.0176823648634385,6.11928738694891,61.4518860034244,1.15755831210087,0.23429133444056,"IV",81
"9","PRKDC",10,4,0.024017993321602,3.88983880364923,17.9422893052056,1.0495274387072,0.28287858800998,"I",59
"10","FAT4",8,23,0.0411070253384782,0.39808131688225,1.02237460257608,0.141079754292858,0.400709194730419,"IV",81
"11","PIK3R2",6,1,0.0415830296418359,8.9297814528567,420.74998091385,1.03866869704367,0.400709194730419,"I",59
"12","ATR",8,3,0.0528387217547733,4.03767252421438,24.7290518692984,0.914853031701956,0.437884241787969,"IV",81
"13","PIK3CA",18,13,0.0625440700470087,2.28231561433401,5.65098488896856,0.945462202324298,0.437884241787969,"I",59
"14","ZNRF3",6,2,0.0696649671026156,4.42512096575342,46.4401601031768,0.75471443193221,0.437884241787969,"IV",81
"15","KMT2D",15,10,0.072328131417919,2.4046545897699,6.5593600205282,0.91775352348281,0.437884241787969,"I",59
"16","EGFR",0,5,0.0734544703177478,0,1.46911140996878,0,0.437884241787969,"IV",81
"17","PIK3CB",0,5,0.0734544703177478,0,1.46911140996878,0,0.437884241787969,"I",59
"18","ERF",5,1,0.0826196682618809,7.31354927266969,353.972248933838,0.787141457395244,0.437884241787969,"IV",81
"19","HLA-B",5,1,0.0826196682618809,7.31354927266969,353.972248933838,0.787141457395244,0.437884241787969,"I",59
"20","LIG3",5,1,0.0826196682618809,7.31354927266969,353.972248933838,0.787141457395244,0.437884241787969,"IV",81
"21","NCOR1",7,3,0.0952532809879878,3.46865607575608,21.7258041893882,0.749875852362772,0.458947626578487,"I",59
"22","SCAF4",7,3,0.0952532809879878,3.46865607575608,21.7258041893882,0.749875852362772,0.458947626578487,"IV",81
"23","TP53",19,37,0.1191326367682,0.567168332559013,1.19966818485167,0.262909525475175,0.463276724907093,"I",59
"24","BCOR",8,4,0.123334757082597,2.99544318804273,14.31689512085,0.755074658986198,0.463276724907093,"IV",81
"25","PBRM1",8,4,0.123334757082597,2.99544318804273,14.31689512085,0.755074658986198,0.463276724907093,"I",59
"26","SPEN",8,4,0.123334757082597,2.99544318804273,14.31689512085,0.755074658986198,0.463276724907093,"IV",81
"27","EPAS1",5,2,0.131902194512119,3.62394621610391,39.3703213083927,0.568082360197451,0.463276724907093,"I",59
"28","MYH9",5,2,0.131902194512119,3.62394621610391,39.3703213083927,0.568082360197451,0.463276724907093,"IV",81
"29","PARP4",5,2,0.131902194512119,3.62394621610391,39.3703213083927,0.568082360197451,0.463276724907093,"I",59
"30","RPTOR",1,7,0.138376980378501,0.183986793471537,1.49750213124773,0.00398148344995521,0.463276724907093,"IV",81
"31","APC",8,5,0.152419856411229,2.36921067059353,9.7520616063809,0.641241405524972,0.463276724907093,"I",59
"32","FBXW7",8,5,0.152419856411229,2.36921067059353,9.7520616063809,0.641241405524972,0.463276724907093,"IV",81
"33","PTEN",8,5,0.152419856411229,2.36921067059353,9.7520616063809,0.641241405524972,0.463276724907093,"I",59
"34","PTPRD",8,5,0.152419856411229,2.36921067059353,9.7520616063809,0.641241405524972,0.463276724907093,"IV",81
"35","RASA1",6,3,0.166710675363359,2.92052567725993,18.8351818067353,0.592742225941302,0.463276724907093,"I",59
"36","RET",6,3,0.166710675363359,2.92052567725993,18.8351818067353,0.592742225941302,0.463276724907093,"IV",81
"37","SCRIB",6,3,0.166710675363359,2.92052567725993,18.8351818067353,0.592742225941302,0.463276724907093,"I",59
"38","ATM",9,6,0.170450870484685,2.23667173057873,8.14241792131191,0.663366128219044,0.463276724907093,"IV",81
"39","KMT2A",9,6,0.170450870484685,2.23667173057873,8.14241792131191,0.663366128219044,0.463276724907093,"I",59
"40","CDH1",4,12,0.182214686881106,0.420617024331526,1.48801977481335,0.0936130311921824,0.466398809613538,"IV",81
"41","CNTN6",10,7,0.190036025166966,2.14530418202856,7.12336219396034,0.684035256926555,0.466398809613538,"I",59
"42","ATRX",7,4,0.202399483417196,2.57343221174607,12.6115356875312,0.617634939783036,0.466398809613538,"IV",81
"43","EP300",7,4,0.202399483417196,2.57343221174607,12.6115356875312,0.617634939783036,0.466398809613538,"I",59
"44","EPHA2",7,4,0.202399483417196,2.57343221174607,12.6115356875312,0.617634939783036,0.466398809613538,"IV",81
"45","MTOR",7,4,0.202399483417196,2.57343221174607,12.6115356875312,0.617634939783036,0.466398809613538,"I",59
"46","POLQ",7,4,0.202399483417196,2.57343221174607,12.6115356875312,0.617634939783036,0.466398809613538,"IV",81
"47","SPTA1",9,20,0.208265549949015,0.55129160819582,1.40249642277139,0.202190853046193,0.469705282863735,"I",59
"48","FAT2",11,9,0.229405064242865,1.82524634680832,5.39907989113256,0.633444289849648,0.506602850202994,"IV",81
"49","DLL1",1,6,0.238520335111867,0.217406326314539,1.86845060247168,0.00461206816838938,0.515982765752203,"I",59
"50","HUWE1",8,6,0.263166603170598,1.95117223258474,7.26199376591536,0.555778753608696,0.538508766829786,"IV",81
"51","MUC6",4,11,0.271364334454347,0.465207934127903,1.67989254485575,0.102381457738028,0.538508766829786,"I",59
"52","CIC",5,3,0.281438915711882,2.39209594574379,16.0528313020436,0.444056774138277,0.538508766829786,"IV",81
"53","HGF",5,3,0.281438915711882,2.39209594574379,16.0528313020436,0.444056774138277,0.538508766829786,"I",59
"54","PLXNB2",5,3,0.281438915711882,2.39209594574379,16.0528313020436,0.444056774138277,0.538508766829786,"IV",81
"55","KMT2C",9,7,0.284495197570453,1.89394475265479,6.409177782891,0.584329928900391,0.538508766829786,"I",59
"56","MACF1",9,7,0.284495197570453,1.89394475265479,6.409177782891,0.584329928900391,0.538508766829786,"IV",81
"57","ARID2",6,4,0.321863450378677,2.16690737382481,10.9639126978205,0.486964366333207,0.578263148137963,"I",59
"58","CTCF",6,4,0.321863450378677,2.16690737382481,10.9639126978205,0.486964366333207,0.578263148137963,"IV",81
"59","RPL22",6,4,0.321863450378677,2.16690737382481,10.9639126978205,0.486964366333207,0.578263148137963,"I",59
"60","CTNNB1",7,5,0.359638472501491,2.0354922289437,8.60143895185548,0.523688129498275,0.614865775567065,"IV",81
"61","ERBB2",7,5,0.359638472501491,2.0354922289437,8.60143895185548,0.523688129498275,0.614865775567065,"I",59
"62","REV3L",7,5,0.359638472501491,2.0354922289437,8.60143895185548,0.523688129498275,0.614865775567065,"IV",81
"63","ERBB4",4,10,0.394496237970553,0.518669122402137,1.91999163137058,0.11263102283878,0.652415868683563,"I",59
"64","CRB1",1,5,0.400928145791467,0.264145948133014,2.45290381076796,0.00545330334024201,0.652415868683563,"IV",81
"65","IGF1R",1,5,0.400928145791467,0.264145948133014,2.45290381076796,0.00545330334024201,0.652415868683563,"I",59
"66","CREBBP",8,7,0.412376067941498,1.65210058941331,5.72042297568327,0.489106455692746,0.652415868683563,"IV",81
"67","ZBTB20",8,7,0.412376067941498,1.65210058941331,5.72042297568327,0.489106455692746,0.652415868683563,"I",59
"68","AMER1",2,6,0.467419431645277,0.440962321598574,2.5843223992235,0.0420443247529725,0.72548227188359,"IV",81
"69","FAT3",11,11,0.483569339909414,1.45430240212825,4.03490311236075,0.524870412972543,0.72548227188359,"I",59
"70","CDK12",5,4,0.49278041109074,1.77485412309625,9.37580341444479,0.363563281907807,0.72548227188359,"IV",81
"71","NOTCH1",5,4,0.49278041109074,1.77485412309625,9.37580341444479,0.363563281907807,0.72548227188359,"I",59
"72","RASGRF2",5,4,0.49278041109074,1.77485412309625,9.37580341444479,0.363563281907807,0.72548227188359,"IV",81
"73","GNAS",6,5,0.526912745141827,1.71389944163444,7.49430119575054,0.41200119506473,0.754766905203157,"I",59
"74","ZFHX3",6,5,0.526912745141827,1.71389944163444,7.49430119575054,0.41200119506473,0.754766905203157,"IV",81
"75","FAT1",6,6,0.560280741544767,1.41150141544605,5.5978547021641,0.356055867204204,0.781444192154544,"I",59
"76","NOTCH4",6,6,0.560280741544767,1.41150141544605,5.5978547021641,0.356055867204204,0.781444192154544,"IV",81
"77","RNF43",7,7,0.57672678586164,1.41940381499668,5.05918124240423,0.398472779741927,0.793935575341998,"I",59
