gene	I_gain	II_gain	III_gain	IV_gain	I_gain_ratio	II_gain_ratio	III_gain_ratio	IV_gain_ratio
ACAP3	1	1	2	1	1.1628 	1.1628 	3.4483 	1.7544 
ACTRT2	1	1	2	1	1.1628 	1.1628 	3.4483 	1.7544 
AGRN	1	1	2	1	1.1628 	1.1628 	3.4483 	1.7544 
ANKRD65	1	1	2	1	1.1628 	1.1628 	3.4483 	1.7544 
ATAD3A	1	1	2	1	1.1628 	1.1628 	3.4483 	1.7544 
ATAD3B	1	1	2	1	1.1628 	1.1628 	3.4483 	1.7544 
ATAD3C	1	1	2	1	1.1628 	1.1628 	3.4483 	1.7544 
AURKAIP1	1	1	2	1	1.1628 	1.1628 	3.4483 	1.7544 
B3GALT6	1	1	2	1	1.1628 	1.1628 	3.4483 	1.7544 
C1orf159	1	1	2	1	1.1628 	1.1628 	3.4483 	1.7544 
C1orf233	1	1	2	1	1.1628 	1.1628 	3.4483 	1.7544 
C1orf86	1	1	2	1	1.1628 	1.1628 	3.4483 	1.7544 
CALML6	1	1	2	1	1.1628 	1.1628 	3.4483 	1.7544 
CCNL2	1	1	2	1	1.1628 	1.1628 	3.4483 	1.7544 
CDK11A	1	1	2	1	1.1628 	1.1628 	3.4483 	1.7544 
CDK11B	1	1	2	1	1.1628 	1.1628 	3.4483 	1.7544 
CPSF3L	1	1	2	1	1.1628 	1.1628 	3.4483 	1.7544 
DDX11L1	1	1	2	1	1.1628 	1.1628 	3.4483 	1.7544 
DVL1	1	1	2	1	1.1628 	1.1628 	3.4483 	1.7544 
FAM132A	1	1	2	1	1.1628 	1.1628 	3.4483 	1.7544 
FAM138A|chr1	1	1	2	1	1.1628 	1.1628 	3.4483 	1.7544 
FAM213B	1	1	2	1	1.1628 	1.1628 	3.4483 	1.7544 
FAM41C	1	1	2	1	1.1628 	1.1628 	3.4483 	1.7544 
FAM87B	1	1	2	1	1.1628 	1.1628 	3.4483 	1.7544 
GABRD	1	1	2	1	1.1628 	1.1628 	3.4483 	1.7544 
GLTPD1	1	1	2	1	1.1628 	1.1628 	3.4483 	1.7544 
GNB1	1	1	2	1	1.1628 	1.1628 	3.4483 	1.7544 
HES4	1	1	2	1	1.1628 	1.1628 	3.4483 	1.7544 
HES5	1	1	2	1	1.1628 	1.1628 	3.4483 	1.7544 
ISG15	1	1	2	1	1.1628 	1.1628 	3.4483 	1.7544 
KIAA1751	1	1	2	1	1.1628 	1.1628 	3.4483 	1.7544 
KLHL17	1	1	2	1	1.1628 	1.1628 	3.4483 	1.7544 
LINC00115	1	1	2	1	1.1628 	1.1628 	3.4483 	1.7544 
LINC00982	1	1	2	1	1.1628 	1.1628 	3.4483 	1.7544 
LINC01128	1	1	2	1	1.1628 	1.1628 	3.4483 	1.7544 
LOC100129534	1	1	2	1	1.1628 	1.1628 	3.4483 	1.7544 
LOC100130417	1	1	2	1	1.1628 	1.1628 	3.4483 	1.7544 
LOC100133331|chr1	1	1	2	1	1.1628 	1.1628 	3.4483 	1.7544 
LOC100133445	1	1	2	1	1.1628 	1.1628 	3.4483 	1.7544 
LOC100288069	1	1	2	1	1.1628 	1.1628 	3.4483 	1.7544 
LOC115110	1	1	2	1	1.1628 	1.1628 	3.4483 	1.7544 
LOC148413	1	1	2	1	1.1628 	1.1628 	3.4483 	1.7544 
LOC729737	1	1	2	1	1.1628 	1.1628 	3.4483 	1.7544 
MIB2	1	1	2	1	1.1628 	1.1628 	3.4483 	1.7544 
MIR200A	1	1	2	1	1.1628 	1.1628 	3.4483 	1.7544 
MIR200B	1	1	2	1	1.1628 	1.1628 	3.4483 	1.7544 
MIR4251	1	1	2	1	1.1628 	1.1628 	3.4483 	1.7544 
MIR429	1	1	2	1	1.1628 	1.1628 	3.4483 	1.7544 
MIR6723	1	1	2	1	1.1628 	1.1628 	3.4483 	1.7544 
MIR6726	1	1	2	1	1.1628 	1.1628 	3.4483 	1.7544 
MIR6727	1	1	2	1	1.1628 	1.1628 	3.4483 	1.7544 
MIR6808	1	1	2	1	1.1628 	1.1628 	3.4483 	1.7544 
MIR6859-1|chr1	1	1	2	1	1.1628 	1.1628 	3.4483 	1.7544 
MMEL1	1	1	2	1	1.1628 	1.1628 	3.4483 	1.7544 
MMP23A	1	1	2	1	1.1628 	1.1628 	3.4483 	1.7544 
MMP23B	1	1	2	1	1.1628 	1.1628 	3.4483 	1.7544 
MORN1	1	1	2	1	1.1628 	1.1628 	3.4483 	1.7544 
MRPL20	1	1	2	1	1.1628 	1.1628 	3.4483 	1.7544 
MXRA8	1	1	2	1	1.1628 	1.1628 	3.4483 	1.7544 
NADK	1	1	2	1	1.1628 	1.1628 	3.4483 	1.7544 
NOC2L	1	1	2	1	1.1628 	1.1628 	3.4483 	1.7544 
OR4F16|chr1	1	1	2	1	1.1628 	1.1628 	3.4483 	1.7544 
OR4F29|chr1	1	1	2	1	1.1628 	1.1628 	3.4483 	1.7544 
OR4F5	1	1	2	1	1.1628 	1.1628 	3.4483 	1.7544 
PANK4	1	1	2	1	1.1628 	1.1628 	3.4483 	1.7544 
PERM1	1	1	2	1	1.1628 	1.1628 	3.4483 	1.7544 
PEX10	1	1	2	1	1.1628 	1.1628 	3.4483 	1.7544 
