gene	I	II	III	IV
ACAP3	1.1628	1.1628	3.4483	1.7544
ACTRT2	1.1628	1.1628	3.4483	1.7544
AGRN	1.1628	1.1628	3.4483	1.7544
ANKRD65	1.1628	1.1628	3.4483	1.7544
ATAD3A	1.1628	1.1628	3.4483	1.7544
ATAD3B	1.1628	1.1628	3.4483	1.7544
ATAD3C	1.1628	1.1628	3.4483	1.7544
AURKAIP1	1.1628	1.1628	3.4483	1.7544
B3GALT6	1.1628	1.1628	3.4483	1.7544
C1orf159	1.1628	1.1628	3.4483	1.7544
C1orf233	1.1628	1.1628	3.4483	1.7544
C1orf86	1.1628	1.1628	3.4483	1.7544
CALML6	1.1628	1.1628	3.4483	1.7544
CCNL2	1.1628	1.1628	3.4483	1.7544
CDK11A	1.1628	1.1628	3.4483	1.7544
CDK11B	1.1628	1.1628	3.4483	1.7544
CPSF3L	1.1628	1.1628	3.4483	1.7544
DDX11L1	1.1628	1.1628	3.4483	1.7544
DVL1	1.1628	1.1628	3.4483	1.7544
FAM132A	1.1628	1.1628	3.4483	1.7544
FAM138A|chr1	1.1628	1.1628	3.4483	1.7544
FAM213B	1.1628	1.1628	3.4483	1.7544
FAM41C	1.1628	1.1628	3.4483	1.7544
FAM87B	1.1628	1.1628	3.4483	1.7544
GABRD	1.1628	1.1628	3.4483	1.7544
GLTPD1	1.1628	1.1628	3.4483	1.7544
GNB1	1.1628	1.1628	3.4483	1.7544
HES4	-1.1628	-1.1628	-3.4483	-1.7544
HES5	-1.1628	-1.1628	-3.4483	-1.7544
ISG15	1.1628	1.1628	3.4483	1.7544
KIAA1751	1.1628	1.1628	3.4483	1.7544
KLHL17	1.1628	1.1628	3.4483	1.7544
LINC00115	1.1628	1.1628	3.4483	1.7544
LINC00982	1.1628	1.1628	3.4483	1.7544
LINC01128	1.1628	1.1628	3.4483	1.7544
LOC100129534	1.1628	1.1628	3.4483	1.7544
LOC100130417	1.1628	1.1628	3.4483	1.7544
LOC100133331|chr1	1.1628	1.1628	3.4483	1.7544
LOC100133445	1.1628	1.1628	3.4483	1.7544
LOC100288069	1.1628	1.1628	3.4483	1.7544
LOC115110	1.1628	1.1628	3.4483	1.7544
LOC148413	1.1628	1.1628	3.4483	1.7544
LOC729737	1.1628	1.1628	3.4483	1.7544
MIB2	1.1628	1.1628	3.4483	1.7544
MIR200A	1.1628	1.1628	3.4483	1.7544
MIR200B	1.1628	1.1628	3.4483	1.7544
MIR4251	1.1628	1.1628	3.4483	1.7544
MIR429	1.1628	1.1628	3.4483	1.7544
MIR6723	1.1628	1.1628	3.4483	1.7544
MIR6726	1.1628	1.1628	3.4483	1.7544
MIR6727	1.1628	1.1628	3.4483	1.7544
MIR6808	1.1628	1.1628	3.4483	1.7544
MIR6859-1|chr1	1.1628	1.1628	3.4483	1.7544
MMEL1	1.1628	1.1628	3.4483	1.7544
MMP23A	1.1628	1.1628	3.4483	1.7544
MMP23B	1.1628	1.1628	3.4483	1.7544
MORN1	1.1628	1.1628	3.4483	1.7544
MRPL20	1.1628	1.1628	3.4483	1.7544
MXRA8	1.1628	1.1628	3.4483	1.7544
NADK	1.1628	1.1628	3.4483	1.7544
NOC2L	1.1628	1.1628	3.4483	1.7544
OR4F16|chr1	1.1628	1.1628	3.4483	1.7544
OR4F29|chr1	1.1628	1.1628	3.4483	1.7544
OR4F5	1.1628	1.1628	3.4483	1.7544
PANK4	1.1628	1.1628	3.4483	1.7544
PERM1	1.1628	1.1628	3.4483	1.7544
PEX10	1.1628	1.1628	3.4483	1.7544
PLCH2	1.1628	1.1628	3.4483	1.7544
PLEKHN1	1.1628	1.1628	3.4483	1.7544
PRDM16	1.1628	1.1628	3.4483	1.7544
PRKCZ	1.1628	1.1628	3.4483	1.7544
PUSL1	1.1628	1.1628	3.4483	1.7544
RER1	1.1628	1.1628	3.4483	1.7544
RNF223	1.1628	1.1628	3.4483	1.7544
RP11-465B22.5	1.1628	1.1628	3.4483	1.7544
RP4-669L17.10|chr1	1.1628	1.1628	3.4483	1.7544
SAMD11	1.1628	1.1628	3.4483	1.7544
SCNN1D	1.1628	1.1628	3.4483	1.7544
SDF4	1.1628	1.1628	3.4483	1.7544
SKI	1.1628	1.1628	3.4483	1.7544
SLC35E2B	1.1628	1.1628	3.4483	1.7544
SLC35E2	1.1628	1.1628	3.4483	1.7544
SSU72	1.1628	1.1628	3.4483	1.7544
TAS1R3	1.1628	1.1628	3.4483	1.7544
TMEM240	1.1628	1.1628	3.4483	1.7544
TMEM52	1.1628	1.1628	3.4483	1.7544
TMEM88B	1.1628	1.1628	3.4483	1.7544
TNFRSF14	1.1628	1.1628	3.4483	1.7544
TNFRSF18	1.1628	1.1628	3.4483	1.7544
TNFRSF4	1.1628	1.1628	3.4483	1.7544
TTC34	1.1628	1.1628	3.4483	1.7544
TTLL10	1.1628	1.1628	3.4483	1.7544
UBE2J2	1.1628	1.1628	3.4483	1.7544
VWA1	1.1628	1.1628	3.4483	1.7544
WASH7P	1.1628	1.1628	3.4483	1.7544
hsa-mir-1302-2	1.1628	1.1628	3.4483	1.7544
ARHGEF16	1.1628	1.1628	3.4483	1.7544
MEGF6	0	1.1628	3.4483	1.7544
MIR551A	0	1.1628	3.4483	1.7544
hsa-mir-551a	0	1.1628	3.4483	1.7544
TPRG1L	0	1.1628	3.4483	1.7544
WRAP73	0	1.1628	3.4483	1.7544
TP73	0	1.1628	3.4483	1.7544
TP73-AS1	0	1.1628	3.4483	0
CCDC27	0	1.1628	3.4483	0
SMIM1	0	1.1628	3.4483	0
LRRC47	0	1.1628	3.4483	0
CEP104	0	1.1628	3.4483	0
DFFB	0	1.1628	3.4483	0
C1orf174	0	1.1628	3.4483	0
LINC01134	0	1.1628	3.4483	0
RP13-614K11.1	0	1.1628	3.4483	0
RP5-1166F10.1	0	1.1628	3.4483	0
AJAP1	0	1.1628	3.4483	0
MIR4417	0	1.1628	3.4483	0
MIR4689	0	1.1628	3.4483	0
NPHP4	0	1.1628	3.4483	0
KCNAB2	0	1.1628	3.4483	0
CHD5	0	1.1628	3.4483	0
RPL22	0	1.1628	3.4483	0
RNF207	0	1.1628	3.4483	0
ICMT	0	1.1628	3.4483	0
LINC00337	0	1.1628	3.4483	0
GPR153	0	1.1628	3.4483	0
HES3	-0	-1.1628	-3.4483	-0
ACOT7	0	1.1628	3.4483	0
HES2	-0	-1.1628	-3.4483	-0
ESPN	0	1.1628	3.4483	0
MIR4252	0	1.1628	3.4483	0
PLEKHG5	0	1.1628	3.4483	0
TNFRSF25	0	1.1628	3.4483	0
NOL9	0	1.1628	3.4483	0
TAS1R1	0	1.1628	3.4483	0
ZBTB48	0	1.1628	3.4483	0
KLHL21	0	1.1628	3.4483	0
PHF13	0	1.1628	3.4483	0
THAP3	0	1.1628	3.4483	0
DNAJC11	0	1.1628	3.4483	0
LOC100505887	0	1.1628	3.4483	0
CAMTA1	1.1628	2.3256	3.4483	1.7544
VAMP3	0	2.3256	3.4483	0
PER3	0	2.3256	3.4483	0
UTS2	0	2.3256	3.4483	0
TNFRSF9	0	2.3256	3.4483	0
PARK7	0	2.3256	3.4483	0
ERRFI1	-0	-3.4884	-3.4483	-0
SLC45A1	0	3.4884	3.4483	0
RERE	0	4.6512	3.4483	0
ENO1	0	2.3256	3.4483	0
MIR6728	0	2.3256	3.4483	0
ENO1-AS1	0	2.3256	3.4483	0
CA6	0	2.3256	3.4483	0
SLC2A7	0	2.3256	3.4483	0
SLC2A5	0	3.4884	3.4483	0
GPR157	0	3.4884	3.4483	0
MIR34A	0	3.4884	3.4483	0
H6PD	0	3.4884	3.4483	0
SPSB1	0	3.4884	3.4483	0
LOC100506022	0	3.4884	3.4483	0
SLC25A33	0	4.6512	1.7241	0
TMEM201	0	4.6512	1.7241	0
C1orf200	0	4.6512	1.7241	0
PIK3CD	0	4.6512	1.7241	0
CLSTN1	0	5.814	1.7241	0
CTNNBIP1	0	5.814	1.7241	0
LZIC	0	5.814	1.7241	0
NMNAT1	0	5.814	1.7241	0
RBP7	0	5.814	1.7241	0
UBE4B	0	5.814	1.7241	0
KIF1B	0	5.814	1.7241	0
hsa-mir-1273d	0	5.814	1.7241	0
PGD	0	5.814	1.7241	0
APITD1-CORT	0	5.814	1.7241	0
APITD1	0	5.814	1.7241	0
CORT	0	5.814	1.7241	0
DFFA	0	5.814	1.7241	0
PEX14	1.1628	5.814	1.7241	0
CASZ1	1.1628	5.814	1.7241	0
C1orf127	0	4.6512	1.7241	0
TARDBP	0	3.4884	1.7241	0
MASP2	0	3.4884	1.7241	0
SRM	0	3.4884	1.7241	0
EXOSC10	0	3.4884	1.7241	0
MTOR	0	3.4884	1.7241	0
MTOR-AS1	0	3.4884	1.7241	0
ANGPTL7	0	3.4884	1.7241	0
UBIAD1	0	2.3256	1.7241	0
PTCHD2	0	2.3256	1.7241	0
RP1-69M21.2	0	2.3256	1.7241	0
FBXO2	0	2.3256	1.7241	0
FBXO44	0	2.3256	1.7241	0
FBXO6	0	2.3256	1.7241	0
MAD2L2	0	2.3256	1.7241	0
DRAXIN	0	2.3256	1.7241	0
AGTRAP	0	2.3256	1.7241	0
MTHFR	0	2.3256	1.7241	0
CLCN6	0	2.3256	1.7241	0
NPPA-AS1	0	2.3256	1.7241	0
NPPA	0	2.3256	1.7241	0
NPPB	0	2.3256	1.7241	0
KIAA2013	0	3.4884	1.7241	0
PLOD1	0	3.4884	1.7241	0
MFN2	0	3.4884	3.4483	0
MIIP	0	3.4884	3.4483	0
MIR6729	0	3.4884	3.4483	0
TNFRSF8	0	3.4884	5.1724	0
MIR7846	0	3.4884	5.1724	0
TNFRSF1B	0	3.4884	5.1724	0
MIR4632	0	3.4884	5.1724	0
VPS13D	0	3.4884	3.4483	0
SNORA59A|chr1	0	3.4884	1.7241	0
DHRS3	0	3.4884	1.7241	0
MIR6730	0	3.4884	1.7241	0
AADACL4	0	3.4884	1.7241	0
AADACL3	0	3.4884	1.7241	0
C1orf158	0	3.4884	1.7241	0
HNRNPCL1	0	3.4884	1.7241	0
HNRNPCP5	0	3.4884	1.7241	0
LOC649330	0	3.4884	1.7241	0
PRAMEF10	0	3.4884	1.7241	0
PRAMEF11	0	3.4884	1.7241	0
PRAMEF12	0	3.4884	1.7241	0
PRAMEF13	0	3.4884	1.7241	0
PRAMEF15	0	3.4884	1.7241	0
PRAMEF16	0	3.4884	1.7241	0
PRAMEF17	0	3.4884	1.7241	0
PRAMEF18	0	3.4884	1.7241	0
PRAMEF1	0	3.4884	1.7241	0
PRAMEF20	0	3.4884	1.7241	0
PRAMEF21	0	3.4884	1.7241	0
PRAMEF22	0	3.4884	1.7241	0
PRAMEF23	0	3.4884	1.7241	0
PRAMEF2	0	3.4884	1.7241	0
PRAMEF3	0	3.4884	1.7241	0
PRAMEF4	0	3.4884	1.7241	0
PRAMEF5	0	3.4884	1.7241	0
PRAMEF6	0	3.4884	1.7241	0
PRAMEF7	0	3.4884	1.7241	0
PRAMEF8	0	3.4884	1.7241	0
PRAMEF9	0	3.4884	1.7241	0
LRRC38	0	3.4884	1.7241	0
PDPN	0	3.4884	1.7241	0
PRDM2	0	3.4884	1.7241	0
KAZN	2.3256	3.4884	1.7241	0
TMEM51-AS1	1.1628	3.4884	1.7241	0
TMEM51	0	3.4884	1.7241	0
C1orf195	0	3.4884	1.7241	0
FHAD1	0	3.4884	1.7241	0
EFHD2	0	3.4884	1.7241	0
CTRC	0	3.4884	1.7241	0
CELA2A	0	3.4884	1.7241	0
CELA2B	0	3.4884	1.7241	0
CASP9	0	3.4884	1.7241	0
DNAJC16	0	3.4884	1.7241	0
AGMAT	0	3.4884	3.4483	0
DDI2	0	3.4884	1.7241	0
RSC1A1	0	3.4884	1.7241	0
PLEKHM2	0	3.4884	1.7241	0
FBLIM1	0	3.4884	1.7241	0
SLC25A34	0	3.4884	1.7241	0
TMEM82	0	3.4884	1.7241	0
UQCRHL	0	3.4884	1.7241	0
FLJ37453	0	3.4884	1.7241	0
SPEN	-0	-3.4884	-1.7241	-0
ZBTB17	0	3.4884	1.7241	0
C1orf64	0	3.4884	1.7241	0
HSPB7	0	3.4884	1.7241	0
CLCNKA	0	3.4884	1.7241	0
CLCNKB	0	3.4884	1.7241	0
FAM131C	0	3.4884	1.7241	0
EPHA2	0	3.4884	3.4483	0
ARHGEF19	0	3.4884	3.4483	0
RSG1	0	3.4884	3.4483	0
FBXO42	0	3.4884	1.7241	0
SZRD1	0	3.4884	1.7241	0
SPATA21	0	3.4884	1.7241	0
NECAP2	0	3.4884	1.7241	0
CROCCP3	0	3.4884	1.7241	0
ATP13A2	0	3.4884	1.7241	0
CROCCP2	0	3.4884	1.7241	0
CROCC	0	3.4884	1.7241	0
ESPNP	0	3.4884	1.7241	0
FAM231A	0	3.4884	1.7241	0
MFAP2	0	3.4884	1.7241	0
MIR3675	0	3.4884	1.7241	0
MST1L	0	3.4884	1.7241	0
MST1P2	0	3.4884	1.7241	0
NBPF1	0	3.4884	1.7241	0
SDHB	0	2.3256	1.7241	0
PADI2	0	2.3256	1.7241	0
PADI1	0	2.3256	1.7241	0
PADI3	0	2.3256	1.7241	0
PADI4	0	2.3256	3.4483	0
PADI6	0	2.3256	3.4483	0
RCC2	0	2.3256	3.4483	0
ARHGEF10L	0	3.4884	1.7241	0
ACTL8	0	3.4884	1.7241	0
IGSF21	0	3.4884	1.7241	0
KLHDC7A	0	2.3256	1.7241	0
PAX7	0	2.3256	0	0
TAS1R2	0	2.3256	0	0
ALDH4A1	0	2.3256	0	0
MIR4695	0	2.3256	0	0
hsa-mir-1290	0	2.3256	0	0
IFFO2	0	2.3256	0	0
UBR4	0	2.3256	0	0
EMC1	0	2.3256	0	0
MRTO4	0	2.3256	0	1.7544
AKR7A3	0	2.3256	0	1.7544
AKR7L	0	2.3256	0	1.7544
LOC100506730	0	2.3256	0	1.7544
AKR7A2	0	2.3256	0	1.7544
PQLC2	0	2.3256	0	1.7544
CAPZB	0	2.3256	0	1.7544
MINOS1-NBL1	0	2.3256	0	1.7544
MINOS1	0	2.3256	0	1.7544
RPS14P3	0	2.3256	0	1.7544
